#{"t_start": 1754393532.957821, "env_id": "None"}
r,l,t
-0.035218,400,5.143997
-0.110279,400,5.25209
-0.14073,400,5.362373
-0.064143,400,5.489128
-0.092569,400,5.599585
-0.074098,400,11.388115
-0.108699,400,11.497963
-0.15894,400,11.605298
0.064921,400,11.72959
-0.254513,400,11.852609
0.503275,400,17.195325
0.24024,400,17.305845
0.514164,400,17.4185
0.042078,400,17.52657
-0.086956,400,17.672999
0.114234,400,23.427268
0.109629,400,23.538965
0.529032,400,23.646144
-0.528423,400,23.773844
10.122911,156,23.816769
-0.239042,400,29.1526
0.501318,400,29.263368
-0.388136,400,29.374154
-0.040938,400,29.483091
0.343221,400,29.598387
-0.204588,400,34.875363
-0.43036,400,34.98676
-0.196169,400,35.095637
0.157151,400,35.218674
0.457171,400,35.326016
-0.024695,400,41.111741
-0.778086,400,41.233325
0.426338,400,41.370647
0.118459,400,41.508175
0.513818,400,41.64597
0.538096,400,48.404865
0.102036,400,48.518646
0.040749,400,48.625873
0.342927,400,48.733632
-0.780003,400,48.848073
-0.138356,400,53.795873
0.206475,400,53.928947
-0.185267,400,54.038594
0.170155,400,54.145973
-0.146823,400,54.25066
0.471834,400,59.708635
0.297121,400,59.825194
-0.322379,400,59.951035
-0.058497,400,60.062997
0.523794,400,60.171714
0.062364,400,65.437394
-0.639244,400,65.56214
0.415373,400,65.689647
0.244628,400,65.799773
0.38393,400,65.954633
0.258725,400,73.534917
0.021478,400,73.664924
-0.199096,400,73.801613
0.085294,400,73.930304
-0.251322,400,74.042602
0.321138,400,80.880781
0.308346,400,81.03004
-0.252906,400,81.145542
0.071651,400,81.269684
-0.041026,400,81.39681
0.493261,400,87.538497
0.447135,400,87.655456
0.230584,400,87.784421
0.166975,400,87.907295
-0.864752,400,88.030658
10.339738,63,93.931922
-0.390216,400,94.107142
0.033221,400,94.263576
-0.055181,400,94.395766
-0.13917,400,94.532367
0.332124,400,100.594163
-0.660951,400,100.705797
-0.454554,400,100.861604
0.170077,400,100.983021
0.477834,400,101.091357
0.422202,400,19.62971
0.490765,400,19.826668
-0.438125,400,19.980155
-0.601896,400,20.121938
0.38668,400,20.257234
0.33847,400,20.392728
-0.582963,400,20.975133
0.151094,400,21.136964
-0.327297,400,21.270348
0.357741,400,21.409766
-0.759886,400,21.534779
-0.657341,400,22.003061
0.25323,400,22.157429
-0.242327,400,22.280758
0.399678,400,22.404922
-0.304957,400,22.529323
-0.015605,400,23.044122
0.035366,400,23.193369
0.294835,400,23.327899
-0.24186,400,23.961403
-0.653269,400,24.082309
0.040696,400,24.556282
0.108658,400,24.711027
-0.63058,400,24.833614
10.649137,313,24.925925
-0.703706,400,25.045813
-0.476241,400,25.508973
-0.477215,400,25.721817
0.39229,400,25.890619
-0.053958,400,26.030092
0.143781,400,26.154374
-0.361678,400,26.610579
-0.426712,400,26.810023
-0.281207,400,26.930976
0.429498,400,27.050276
0.289545,400,27.171151
0.287211,400,27.626666
0.147115,400,27.845544
0.378294,400,27.98423
0.322495,400,28.103381
0.299349,400,28.226626
-0.369226,400,28.347904
-0.826063,400,28.892154
-0.628632,400,29.025674
0.278404,400,29.721775
-0.531373,400,29.859725
-0.351216,400,29.99771
-0.607541,400,30.523435
-0.409909,400,30.668774
-1.205749,400,30.799473
0.327202,400,30.934783
-0.137211,400,31.085665
-0.595637,400,31.57724
0.225236,400,31.72383
-0.305014,400,31.843352
-0.23717,400,31.976214
0.248794,400,32.096408
0.289204,400,32.574488
-1.018013,400,32.728345
-0.195548,400,32.860394
-0.933462,400,32.981632
-0.019843,400,33.105937
0.321065,400,33.561545
-0.872156,400,33.729889
-0.372816,400,33.852878
-0.726921,400,33.977056
-0.176679,400,34.110393
0.28792,400,34.571142
-0.358605,400,34.743673
-0.273133,400,35.442767
0.401226,400,35.564119
0.287143,400,35.682932
0.297778,400,36.170601
0.318121,400,36.414502
-0.125781,400,36.548389
0.007054,400,36.667549
0.41614,400,36.794219
0.31818,400,37.256564
-0.688655,400,37.440234
0.152959,400,37.568924
0.013718,400,37.709215
0.092371,400,37.859349
-0.194188,400,38.017313
0.160123,400,38.650288
0.322163,400,38.854944
0.105855,400,38.988592
-0.310709,400,39.122918
0.321716,400,39.261314
-0.283014,400,39.817538
-0.096831,400,39.968714
-0.134273,400,40.103097
-0.095208,400,40.240983
-0.635318,400,40.380066
-0.609343,400,40.947231
-0.297193,400,41.777343
-0.16891,400,41.940694
0.239954,400,42.102833
-0.377907,400,42.25383
0.113614,400,43.069861
-0.178892,400,43.220293
0.116561,400,43.34278
0.359344,400,43.499836
0.307953,400,43.63096
0.211418,400,44.30989
0.002872,400,44.528978
-0.080259,400,44.696748
10.280229,123,44.743131
-1.187281,400,44.915747
