#{"t_start": 1754393138.204985, "env_id": "None"}
r,l,t
-0.024159,400,5.351997
-0.106121,400,5.467837
-0.141814,400,5.586068
-0.056268,400,5.702602
-0.089408,400,5.823004
-0.065085,400,11.000317
-0.105185,400,11.121521
-0.164139,400,11.227242
0.079619,400,11.333723
-0.257079,400,11.436588
0.369238,400,16.790822
0.164985,400,16.949671
0.469714,400,17.064531
-0.092981,400,17.166624
0.147502,400,17.272059
0.244088,400,22.536629
0.231097,400,22.686532
0.633984,400,22.81338
-0.444099,400,22.935319
-0.723697,400,23.066665
0.6479,400,28.501704
0.337289,400,28.612063
0.27075,400,28.721261
-0.168544,400,28.831158
0.259352,400,28.940825
-0.714929,400,34.439335
0.215335,400,34.561487
-0.412,400,34.677464
0.522745,400,34.795047
0.6224,400,34.916803
0.479973,400,40.260167
0.064987,400,40.381085
-0.239227,400,40.491873
-0.355719,400,40.599292
-0.642071,400,40.704869
0.324656,400,46.275791
0.521282,400,46.385537
0.016547,400,46.495949
-0.427953,400,46.607251
0.363583,400,46.733268
0.258895,400,51.452054
0.042613,400,51.56259
0.455686,400,51.668271
-0.044885,400,51.780657
-0.035247,400,51.908928
0.393617,400,57.406064
0.409399,400,57.517906
0.14101,400,57.628161
-0.637584,400,57.741047
0.009648,400,57.860062
-0.717009,400,63.353645
0.343322,400,63.47529
0.327768,400,63.600079
0.407348,400,63.71846
0.120538,400,63.840771
0.374791,400,69.28183
0.117306,400,69.388595
-0.031482,400,69.494821
0.22378,400,69.601978
-0.061181,400,69.713845
0.367625,400,75.043701
0.376837,400,75.174693
-0.278666,400,75.293322
0.033861,400,75.401429
0.027223,400,75.506953
0.418009,400,80.797293
0.399089,400,80.90695
0.206033,400,81.018758
0.128538,400,81.146074
-0.890114,400,81.255179
10.331932,96,86.883491
-0.367819,400,86.989092
0.032635,400,87.119763
-0.082156,400,87.236476
-0.010444,400,87.344125
0.349817,400,92.672462
-0.6347,400,92.804111
-0.410771,400,92.922328
0.181136,400,93.054854
0.485836,400,93.18356
0.440349,400,98.583161
0.13595,400,98.711372
-0.629542,400,98.82219
-0.060122,400,98.94145
0.476958,400,99.049872
0.42579,400,104.012758
0.478838,400,104.118899
-0.608716,400,104.252649
0.229562,400,104.400106
-0.73262,400,104.518145
-0.266339,400,109.904598
0.087409,400,110.009518
0.494176,400,110.116535
0.01681,400,110.235762
-0.601716,400,110.340297
86239,400,21.533352
0.107356,400,22.058546
0.015242,400,22.230971
0.274665,400,22.384314
-0.160192,400,23.209933
10.389303,123,23.250788
-0.202309,400,23.383433
-1.040831,400,23.951154
0.118231,400,24.108721
-0.524282,400,24.244076
-0.112478,400,24.372808
-0.789212,400,24.509511
0.272279,400,25.062718
-0.362014,400,25.21995
0.371969,400,25.349996
-0.831296,400,25.480391
0.010239,400,25.601895
-0.306053,400,26.087911
0.064774,400,26.237788
-0.329195,400,26.370112
0.259698,400,26.4876
0.402289,400,26.609087
0.280251,400,27.148342
0.011065,400,27.303164
0.382839,400,27.42955
0.378745,400,27.551514
0.372266,400,27.668256
-0.032776,400,28.127369
0.215624,400,28.292346
0.316703,400,28.988387
-0.115062,400,29.114648
-0.149982,400,29.236859
0.053123,400,29.690809
-0.242786,400,29.86407
-0.740502,400,29.99734
-0.068246,400,30.119247
0.187187,400,30.238071
0.30575,400,30.71886
0.244173,400,30.8984
0.41483,400,31.023971
10.291758,104,31.055735
-0.586868,400,31.174986
-0.831118,400,31.302488
0.230736,400,31.77055
-0.67443,400,31.957673
-0.42459,400,32.10224
0.319637,400,32.27168
0.143545,400,32.393771
-0.199343,400,32.96274
0.469636,400,33.15911
10.255835,188,33.218788
-0.146809,400,33.351395
-0.796627,400,33.484801
-0.015601,400,33.616553
-0.801664,400,34.159936
-0.294069,400,34.32562
-0.093559,400,35.075146
-0.681275,400,35.207766
0.435643,400,35.34634
0.029416,400,35.896624
0.0598,400,36.074366
-0.09312,400,36.192333
0.256845,400,36.337806
0.102144,400,36.468238
-0.341322,400,36.925366
-0.330225,400,37.101816
-0.296693,400,37.230818
-0.236429,400,37.349321
0.119335,400,37.487069
-0.286096,400,37.940701
0.422004,400,38.121111
0.407149,400,38.252558
0.357819,400,38.388212
0.36364,400,38.512735
0.19359,400,38.968932
0.192802,400,39.150822
0.467631,400,39.279909
-0.089804,400,39.401868
-0.199538,400,39.523863
-0.35383,400,39.640918
0.370329,400,40.140087
-0.381594,400,40.842448
0.196409,400,40.962887
0.177671,400,41.084285
0.06525,400,41.200683
-0.603019,400,41.705438
-0.157269,400,41.863902
-0.534377,400,42.017533
0.311174,400,42.165768
-0.041007,400,42.301103
-0.940347,400,42.917717
-0.016571,400,43.059472
-0.26391,400,43.208216
-0.717815,400,43.333428
0.405643,400,43.456991
0.256867,400,43.968581
0.142042,400,44.131629
-0.091461,400,44.247205
0.507435,400,44.368377
-0.180809,400,44.487087
-0.815822,400,45.077913
0.446208,400,45.243661
-1.014025,400,45.366235
-0.855099,400,45.488834
0.265635,400,45.610729
0.294074,400,46.128545
0.22806,400,46.876237
-0.332075,400,46.998877
0.111834,400,47.115061
0.069298,400,47.233717
0.123944,400,47.697957
0.344485,400,47.888845
0.430916,400,48.028612
-0.7683,400,48.144048
0.271733,400,48.265828
-0.385565,400,48.721486
-0.650901,400,48.893322
-0.38955,400,49.02282
0.367331,400,49.150518
-0.927699,400,49.269599
-0.019463,400,49.386333
0.342502,400,49.870478
-0.619546,400,50.002963
0.352016,400,50.12079
0.340585,400,50.247337
0.192785,400,50.365547
-0.75707,400,50.837554
-0.470592,400,50.982149
0.00302,400,51.100777
0.163423,400,51.219995
0.255342,400,51.348323
-0.362061,400,52.451518
-0.688595,400,52.617528
-0.070297,400,52.771294
-0.483012,400,52.921764
-0.256132,400,53.053137
0.42127,400,53.611106
0.207942,400,53.776162
0.131131,400,53.907195
-0.74423,400,54.060911
-0.337031,400,54.190093
-0.814327,400,54.727536
0.082121,400,54.897227
0.016428,400,55.033052
-0.764839,400,55.165762
-0.56393,400,55.296778
0.236348,400,55.786137
-0.270809,400,55.947458
-0.244719,400,56.068722
-0.069556,400,56.18917
0.266946,400,56.308001
0.176563,400,56.769154
0.378874,400,56.937959
-0.25383,400,57.064615
-0.525621,400,57.181908
0.545588,400,57.305743
-0.572007,400,58.329712
0.149584,400,58.502615
-0.098537,400,58.627114
-0.285283,400,58.750326
-0.374595,400,58.882006
-0.37522,400,59.001652
-0.913076,400,59.482741
0.259803,400,59.61552
-0.164149,400,59.734487
0.40114,400,59.857306
0.294929,400,59.990358
0.203333,400,60.495418
-0.396237,400,60.632032
0.363791,400,60.750452
0.225482,400,60.871115
0.074542,400,60.998028
-0.883562,400,61.532572
-1.07886,400,61.679959
0.321579,400,61.801723
-0.640027,400,61.951235
-0.219916,400,62.144374
-1.22517,400,62.774611
-0.59452,400,62.934662
-0.52426,400,63.088437
