#{"t_start": 1754318624.1728418, "env_id": "None"}
r,l,t
0.260637,400,7.231521
-0.175564,400,7.404625
0.595168,400,7.57125
0.442206,400,7.739617
0.496341,400,7.910002
0.357775,400,15.509423
0.402779,400,15.666528
0.389088,400,15.833046
0.030533,400,16.053398
0.058418,400,16.228632
-0.208793,400,23.966276
0.391911,400,24.133764
0.551665,400,24.299299
-0.439422,400,24.463454
0.547592,400,24.622247
-0.261157,400,32.314779
-0.059888,400,32.485888
-0.197895,400,32.661507
0.150342,400,32.82685
-0.268165,400,32.98998
-1.144597,400,40.761453
-0.306542,400,40.929723
-0.878323,400,41.127461
-0.790756,400,41.35117
0.211068,400,41.514961
-0.993755,400,49.253418
0.47356,400,49.429181
-1.237476,400,49.599437
0.033971,400,49.769994
0.415658,400,49.934072
0.068485,400,57.586951
10.02152,87,57.622863
-0.167723,400,57.808049
0.287242,400,57.981755
-0.481859,400,58.145893
-0.299308,400,65.658154
-1.161365,400,65.826789
-0.033939,400,65.996101
-0.335828,400,66.158902
-0.595337,400,66.323856
-0.900042,400,73.637182
-0.081871,400,73.807282
-0.205728,400,73.969937
-1.06528,400,74.135573
0.263637,400,74.31405
-0.302782,400,82.135793
0.426894,400,82.301211
0.373062,400,82.464756
-0.528715,400,82.631959
0.052178,400,82.79696
341272
0.168394,400,16.432135
-1.194781,400,17.218774
-0.966771,400,17.416467
-1.415163,400,17.609461
-1.316968,400,17.796036
0.030236,400,17.987393
-0.361056,400,18.734246
-0.54907,400,18.935307
-0.709751,400,19.127505
0.214927,400,19.327672
0.057336,400,19.514157
0.354777,400,20.217307
-0.550577,400,20.446719
10.038938,101,20.49568
-0.312299,400,20.738328
0.109625,400,20.931953
-0.122118,400,21.117085
0.573244,400,21.828168
-1.010273,400,22.020476
0.272984,400,22.202499
-1.282967,400,22.381359
-0.372332,400,22.564363
0.447269,400,23.277922
-0.047743,400,23.472603
0.178042,400,23.65039
0.1418,400,24.67853
-1.019731,400,24.883913
-0.395201,400,25.590582
-0.368972,400,25.797292
-0.431402,400,25.994242
0.806396,400,26.194629
0.297323,400,26.435963
0.140012,400,27.180079
-1.208959,400,27.383068
0.090749,400,27.565613
-0.236781,400,27.751617
-0.967765,400,27.935411
0.535589,400,28.622032
0.254993,400,28.826092
-1.571721,400,29.010562
-1.585282,400,29.198437
-0.312654,400,29.398889
-0.637173,400,30.083285
-0.954537,400,30.293601
-1.071556,400,30.495619
-0.710915,400,30.684326
-0.52276,400,30.871789
-0.228216,400,31.051395
0.274572,400,31.825399
0.197763,400,32.014283
-0.081504,400,33.047704
-0.664057,400,33.239376
-0.266444,400,33.42185
-0.18567,400,34.112281
0.337055,400,34.304794
0.255101,400,34.488504
-0.416755,400,34.670339
-0.198212,400,34.870235
0.203738,400,35.558258
-1.409581,400,35.746262
0.341224,400,35.958414
-0.204934,400,36.148757
-0.686244,400,36.387166
0.265681,400,37.227971
-1.322334,400,37.423397
10.407332,372,37.600363
-1.26516,400,37.784974
-0.467034,400,37.971464
0.2879,400,38.727556
0.187843,400,38.932279
0.168711,400,39.143263
-0.064996,400,39.338188
-0.53093,400,39.53397
-0.652236,400,40.229905
-1.303495,400,40.43064
0.070108,400,41.560237
0.313642,400,41.750616
-0.204119,400,41.936755
0.340108,400,42.62402
0.120456,400,42.823275
0.304822,400,43.001127
-1.414941,400,43.181807
-0.63333,400,43.367969
-0.007962,400,43.572941
0.115498,400,44.248769
-0.280892,400,44.430135
0.357058,400,44.627843
-0.954866,400,44.818715
0.258826,400,45.002849
-0.918698,400,45.71663
-0.112541,400,45.906157
-1.121114,400,46.088952
-0.267228,400,46.26387
-0.072043,400,46.475772
-0.444251,400,47.383238
0.166865,400,47.579601
-0.061612,400,47.775014
-0.929603,400,47.980231
-0.524248,400,48.17057
0.245662,400,48.925499
0.076264,400,49.976663
-0.452817,400,50.181049
0.288747,400,50.370349
-1.354264,400,50.558049
-0.302682,400,51.267609
-1.259461,400,51.4859
-0.783341,400,51.725969
0.297841,400,51.919154
-0.551858,400,52.10021
0.046359,400,52.806788
-0.470454,400,53.003466
-1.209513,400,53.181915
-0.00587,400,53.378547
-0.739546,400,53.564647
-0.79757,400,54.247539
0.096391,400,54.450739
0.431382,400,54.640621
-1.122978,400,54.82183
0.23795,400,55.010207
-0.607978,400,55.712663
0.025256,400,55.917775
-0.482606,400,56.107293
0.266261,400,56.294906
0.390166,400,56.485051
-0.018998,400,57.24384
-1.002644,400,58.191545
-0.592959,400,58.38462
-0.061853,400,58.572661
-1.081334,400,58.758157
-0.991632,400,58.962449
-0.793388,400,59.668377
0.256061,400,59.856174
0.087976,400,60.065129
0.084059,400,60.256688
0.112626,400,60.442489
0.125858,400,61.149862
0.103309,400,61.34214
-0.617122,400,61.526111
0.149814,400,61.710403
-1.068035,400,61.898034
-1.207049,400,62.625223
0.161238,400,62.810095
-1.447525,400,62.992404
-1.119324,400,63.176864
0.305059,400,63.374664
-0.069936,400,64.055465
-0.129386,400,64.249586
-0.737478,400,64.441785
-0.051273,400,64.625484
0.202458,400,64.805539
-0.467266,400,66.37416
-1.011551,400,66.604172
0.295962,400,66.81202
-0.937511,400,67.038089
0.158293,400,67.236718
-0.371715,400,68.01268
-0.119105,400,68.225615
0.210965,400,68.409631
-1.268082,400,68.596694
-0.422836,400,68.793565
-0.025131,400,69.527513
-1.541204,400,69.732386
-1.719962,400,69.945782
0.32261,400,70.132726
-0.255699,400,70.318798
-0.02135,400,71.011691
-0.549534,400,71.221761
0.1295,400,71.403378
0.068776,400,71.586245
0.332457,400,71.769071
0.216911,400,71.950112
-1.607949,400,72.753008
0.331171,400,72.946791
-0.705105,400,73.131623
-0.846313,400,73.328316
0.327065,400,74.360746
0.097382,400,75.062295
-0.241757,400,75.255867
-1.393932,400,75.450215
-0.899936,400,75.644638
-1.217695,400,75.830371
-0.452133,400,76.605985
-1.071436,400,76.815516
-0.678659,400,77.008287
-0.765319,400,77.200958
0.28094,400,77.383648
-0.236493,400,78.219834
-0.214975,400,78.414681
-1.202832,400,78.607961
0.139106,400,78.818053
-1.337419,400,79.01095
0.312012,400,79.740356
-1.369565,400,79.947062
-1.406445,400,80.141738
-1.400389,400,80.33641
-1.509247,400,80.517574
-0.763908,400,81.235739
0.154635,400,81.436115
-0.750605,400,81.624659
-1.051462,400,81.808148
-1.212871,400,82.836514
