#{"t_start": 1756123863.4087243, "env_id": "None"}
r,l,t,episode_energy,success
-1.302986,400,8.552902,0.6979443703625464,False
-0.50667,400,8.749604,0.47676050587123425,False
-0.932948,400,8.940895,0.7891303705932586,False
10.004894,143,9.0083,0.2648579203149188,True
-0.406922,400,9.198617,0.7552556430059688,False
0.129055,400,18.268598,0.4840906671370563,False
-1.235406,400,18.473907,0.70635636417531,False
-0.781137,400,18.665344,0.6231675075243123,False
-0.437238,400,18.85639,0.9065890039936023,False
0.189407,400,19.044461,0.4468909828886608,False
-0.075554,400,28.53774,0.42837764614724927,False
-0.291944,400,28.726094,0.9117148541435696,False
-0.729688,400,28.916436,0.5480576295162816,False
-0.884584,400,29.11293,0.6500259093672953,False
-0.921216,400,29.31089,0.6062582838897689,False
-0.741034,400,38.210706,0.8621173363379309,False
-1.30126,400,38.407626,1.050842315746504,False
0.028009,400,38.600332,0.964271522520032,False
0.138918,400,38.789546,0.23882089679823715,False
-0.934959,400,38.984169,1.1612173907949723,False
-0.029225,400,48.497586,0.8131293500551652,False
-0.134249,400,48.709449,1.2972635550849867,False
0.031068,400,48.915822,0.8863657480901463,False
-0.305065,400,49.133042,0.0662361945470283,False
-0.310504,400,49.348929,0.9238762349129132,False
-1.412077,400,58.87454,0.5826880450273035,False
-0.148531,400,59.089286,0.5613823482355907,False
-1.242767,400,59.279858,0.4943659209337128,False
0.174562,400,59.4728,0.6419892248353628,False
0.035034,400,59.660319,0.14277701210943655,False
0.067819,400,68.963272,0.2669309711444422,False
-0.020279,400,69.151097,0.27503210796886923,False
-0.615654,400,69.343521,0.49583615119315094,False
0.238337,400,69.534804,0.18773066104287772,False
10.104883,199,69.629879,0.377063565451148,True
-0.612605,400,78.673667,0.33970733762682614,False
-0.32205,400,78.877272,0.36201511700418215,False
0.251024,400,79.065655,0.4179284702380844,False
-0.884787,400,79.258283,0.3225555074827307,False
-0.794441,400,79.45405,0.3463217044883356,False
-0.430798,400,87.873934,0.42917737913280535,False
0.379405,400,88.071267,0.4653641583503277,False
-0.982278,400,88.270051,0.39953304498482134,False
-0.43382,400,88.473414,0.552022645747789,False
0.10041,400,88.688286,0.4450374771659341,False
0.036387,400,97.665787,0.38993315382220284,False
-0.308416,400,97.863108,0.5201692547073297,False
-1.260137,400,98.058151,0.4513735526770944,False
0.225886,400,98.24985,0.4967218456081472,False
9.989243,188,98.342765,0.2994206864325764,True
10.476531,240,107.252012,0.273098069648817,True
10.649508,276,107.409453,0.3037289064879887,True
0.146778,400,107.599804,0.6611443347968565,False
0.252125,400,107.798962,0.5507067211011663,False
-0.803071,400,107.995481,0.22153662008884709,False
10.425054,263,116.911223,0.20882742006230112,True
-0.406854,400,117.123748,0.20620589313613105,False
0.157232,400,117.340957,0.776800971184516,False
-0.103407,400,117.540921,0.589540302939158,False
-0.448889,400,117.744664,0.4898783146269346,False
-0.008858,400,126.98799,0.7193241743154796,False
-0.014013,400,127.200577,0.5016413834985652,False
0.344347,400,127.399065,0.20163708745089698,False
-0.160239,400,127.600878,0.40616701136778083,False
10.354129,181,127.692022,0.3174579540966407,True
10.28549,148,136.567023,0.37915088704782784,True
0.182513,400,136.763374,0.30383617468774393,False
-0.792735,400,136.979055,0.380223774626489,False
0.065518,400,137.180311,0.3010851967481353,False
0.53486,400,137.377555,0.22989954078192956,False
0.096106,400,146.628792,0.18356796809109566,False
0.062136,400,146.836179,0.193709347499198,False
0.165824,400,147.039799,0.4757172515252381,False
0.298483,400,147.239172,0.2466537831956703,False
-0.281894,400,147.44332,0.29377763762872816,False
0.065398,400,156.719312,0.19849701230315858,False
0.196929,400,156.922654,0.20419754425082062,False
-0.442677,400,157.114658,0.3434283037442892,False
-0.58677,400,157.31379,0.35288081990171183,False
0.206233,400,157.515388,0.322673071946973,False
