#{"t_start": 1754318796.2046714, "env_id": "None"}
r,l,t
-0.025405,400,7.448025
10.025283,157,7.517737
0.518319,400,7.690763
0.322143,400,7.881629
0.408146,400,8.054079
0.379277,400,15.883992
0.397365,400,16.098109
0.409632,400,16.311426
0.122949,400,16.493656
-0.285888,400,16.691105
-1.031849,400,24.194383
0.329883,400,24.377758
0.409206,400,24.547698
-1.299675,400,24.719716
0.406859,400,24.893682
-0.296264,400,32.505124
0.389873,400,32.667319
-0.273331,400,32.836901
0.600717,400,32.9998
10.795194,348,33.157539
-0.150807,400,41.015837
-0.27518,400,41.179674
-0.083465,400,41.344306
-0.293661,400,41.506152
0.15786,400,41.669613
-0.029464,400,49.681059
0.409472,400,49.851852
-0.395339,400,50.017683
-0.012039,400,50.189662
0.457093,400,50.356022
0.025971,400,58.581879
-0.45026,400,58.746716
0.114897,400,58.910671
0.260507,400,59.089888
-0.00324,400,59.259165
0.116662,400,66.880279
-0.453869,400,67.053676
0.195209,400,67.224859
0.140363,400,67.408536
-0.004361,400,67.582767
0.114321,400,74.523431
0.111258,400,74.720584
-0.465042,400,74.910672
0.384817,400,75.121953
0.108216,400,75.322429
0.428811,400,82.837451
0.913504,400,83.001292
-0.658651,400,83.167492
-0.299581,400,83.333713
-1.093264,400,83.494997
65
-1.365008,400,17.62996
-2.095069,400,17.831587
-0.760983,400,18.015173
10.057645,66,18.044996
0.141338,400,18.243835
-0.261225,400,18.441726
0.286324,400,19.180607
-0.35119,400,19.367479
-1.028265,400,19.549132
0.27306,400,19.727072
10.998513,297,19.87057
0.227568,400,20.527799
-0.414341,400,20.717662
9.977831,132,20.775618
-0.930963,400,20.975786
0.181097,400,21.166461
0.250942,400,21.348328
-0.11104,400,22.004809
-1.214993,400,22.203073
0.114871,400,22.383095
-1.008613,400,22.56422
-0.039376,400,22.744772
0.044751,400,23.495667
0.137928,400,23.696405
0.241556,400,23.896106
0.260658,400,24.96853
10.071527,307,25.136321
0.018364,400,25.913277
0.250463,400,26.120415
-0.062648,400,26.310178
0.202371,400,26.523544
0.230339,400,26.716989
0.17966,400,27.446069
-2.240589,400,27.662519
0.159374,400,27.850288
0.253547,400,28.036674
-1.318895,400,28.221456
0.609846,400,28.408077
-0.147296,400,29.130295
0.233573,400,29.313608
-1.743962,400,29.497319
-1.276945,400,29.68066
-0.488217,400,29.877905
-1.648935,400,30.558395
-0.890482,400,30.737304
-0.916792,400,30.936253
-0.721026,400,31.126992
-0.472921,400,31.312982
-0.272544,400,31.983519
0.169985,400,32.178442
-0.273842,400,33.172838
-0.777464,400,33.363977
-0.239511,400,33.551501
-0.434308,400,34.229057
0.236106,400,34.419164
0.262741,400,34.613194
-0.388659,400,34.830108
-0.187189,400,35.02683
0.277597,400,35.861874
-0.991824,400,36.066139
0.180873,400,36.263425
-0.371328,400,36.470437
10.773143,275,36.605745
0.175365,400,37.362084
-1.261812,400,37.579936
10.724327,247,37.700404
-1.109557,400,37.886406
-0.505951,400,38.075327
0.300881,400,38.263552
-1.40978,400,39.022157
0.281136,400,39.223267
0.32086,400,39.410439
0.301492,400,39.605121
-0.115158,400,39.807323
-1.594179,400,40.50131
-0.757594,400,40.696913
0.119837,400,41.750813
0.302386,400,41.942863
-0.407664,400,42.12726
0.260609,400,42.792608
0.196232,400,42.983094
0.263382,400,43.183682
-1.373719,400,43.363549
-0.813237,400,43.543054
0.02006,400,44.330153
-0.165869,400,44.538747
0.291919,400,44.735197
-0.665346,400,44.940038
0.23492,400,45.131785
-0.846445,400,45.919139
-0.011796,400,46.118428
-0.614414,400,46.310251
-0.304326,400,46.505522
0.392798,400,46.6945
-0.308824,400,46.908157
-0.383293,400,47.758506
0.253253,400,47.977289
-0.57897,400,48.183855
-0.81515,400,48.376063
-0.050521,400,48.621546
0.257726,400,49.367941
0.313666,400,50.435417
-0.432362,400,50.624746
0.281435,400,50.823664
-1.002427,400,51.010063
-0.414758,400,51.697724
