#{"t_start": 1754402949.948343, "env_id": "None"}
r,l,t
0.028576,400,5.802577
10.368064,121,5.836544
0.365504,400,5.947049
10.670213,118,5.97946
-0.409799,400,6.090121
0.12986,400,12.464661
10.728594,119,12.497705
10.529144,94,12.528754
0.197103,400,12.644328
10.599584,73,12.662829
0.286033,400,19.118294
0.595934,400,19.226381
10.423145,147,19.283275
10.971701,173,19.342054
0.147089,400,19.448441
0.650559,400,25.788219
0.401091,400,25.895971
10.467332,94,25.919948
0.469011,400,26.031737
-0.354248,400,26.140294
10.390238,92,32.592061
-0.368517,400,32.70302
10.944752,164,32.745478
10.622935,103,32.772689
10.358889,105,32.800998
10.692851,139,40.738196
10.577875,46,40.7756
10.754746,141,40.854014
0.344455,400,41.069329
-0.367704,400,41.232662
10.268358,86,48.768596
0.533429,400,48.890527
10.608622,82,48.913502
0.498723,400,49.040164
10.391928,88,49.065532
78,90,5.687711
0.261269,400,6.820041
0.028093,400,6.984517
-0.508373,400,7.104491
-0.191395,400,7.238481
-0.033292,400,7.372718
10.708034,92,7.400269
10.591279,121,7.43908
0.421751,400,8.199964
0.378459,400,8.342587
-0.05449,400,8.463383
0.393049,400,8.587605
10.844245,152,8.632655
10.77489,88,8.65829
0.204775,400,9.347047
10.152927,87,9.383742
10.75782,137,9.442086
10.355423,105,9.488672
0.40323,400,9.619027
0.461788,400,9.737146
10.845466,168,9.78852
10.754555,130,9.826003
10.858452,172,9.879065
0.407447,400,10.599717
0.414127,400,10.774075
10.501348,79,10.803918
10.942697,181,10.859408
10.63713,148,10.902187
10.711717,88,10.929175
10.719564,142,10.97019
0.025648,400,11.097678
0.496504,400,11.226155
0.40343,400,11.916571
0.388687,400,12.07088
10.548349,49,12.085604
0.381165,400,12.219049
10.377946,121,12.256339
-0.380924,400,12.687646
10.674896,91,12.716173
10.365023,88,12.747297
-0.570053,400,13.492055
0.475142,400,13.664896
10.667069,112,13.697813
10.670895,108,13.729107
0.368665,400,13.853323
10.67042,126,13.890601
0.101289,400,14.010086
-0.724934,400,14.725366
10.668743,138,14.785797
10.551717,81,14.82179
10.825117,83,14.857516
0.477085,400,15.001162
-0.336346,400,15.122852
10.574561,80,15.148962
10.715855,117,15.183571
-0.540033,400,15.307898
10.937484,188,15.370376
0.055704,400,16.100862
10.55046,134,16.162296
10.692327,91,16.197267
0.40219,400,16.336807
10.623085,123,16.373717
-0.667389,400,16.495386
-0.352066,400,16.630315
10.627565,86,16.655969
-0.833458,400,17.381931
10.808697,86,17.418052
10.280547,108,17.463509
0.572937,400,17.594659
-0.395507,400,17.728158
0.397466,400,17.850238
10.916958,175,17.901887
-0.353467,400,18.623241
10.600663,90,18.664753
0.122807,400,18.823772
-0.429583,400,18.940418
10.95528,178,18.994056
-0.228528,400,19.561573
-0.562886,400,19.688009
10.779226,151,20.331555
10.528413,126,20.383246
10.678311,97,20.423792
10.559922,90,20.460056
10.51523,92,20.492568
10.582565,91,20.520165
-0.365829,400,20.640034
10.789231,181,20.696099
-0.026829,400,20.815887
10.587943,87,20.842589
0.422285,400,21.526768
10.51589,75,21.561053
10.319695,92,21.601167
0.365646,400,21.761085
10.447082,80,21.785821
10.35007,111,21.819672
0.412417,400,21.938907
10.751444,157,21.986321
10.476724,144,22.039606
10.322121,75,22.063932
10.699917,128,22.101208
10.763868,147,22.14566
0.343847,400,22.847078
10.804044,151,22.9114
-0.053823,400,23.044331
10.388909,144,23.097684
0.369736,400,23.223972
10.668329,83,23.248818
-0.031806,400,23.369721
0.398641,400,24.083713
10.951088,171,24.177369
10.681412,94,24.221499
10.503121,49,24.238297
0.400105,400,24.361104
0.011008,400,24.481724
0.009928,400,24.60156
10.368769,88,24.629577
0.517552,400,25.346983
-0.876731,400,25.51735
