#{"t_start": 1754321412.7421288, "env_id": "None"}
r,l,t
-0.040897,400,7.523684
-0.291256,400,7.734572
-0.021279,400,7.925373
-0.162172,400,8.124592
0.157615,400,8.306349
0.668424,400,16.094637
0.623721,400,16.273084
0.052122,400,16.446179
0.052784,400,16.617735
10.051563,171,16.689311
0.148448,400,24.164492
0.601159,400,24.332962
0.571322,400,24.506019
-0.122791,400,24.676122
-0.166087,400,24.845586
-0.347131,400,32.131793
-0.475767,400,32.307457
0.64673,400,32.489267
-0.741807,400,32.668397
-1.099801,400,32.869694
0.152889,400,40.543479
0.049024,400,40.734093
-1.036345,400,40.921832
0.060996,400,41.156512
-0.400471,400,41.33932
-0.010001,400,9.234125
-0.63315,400,9.445995
-1.810372,400,9.636617
0.288453,400,9.836134
-0.373969,400,10.480733
0.899397,400,10.813757
-0.732857,400,11.052974
0.595822,400,11.253355
-0.527859,400,11.446415
-0.648088,400,12.117376
-1.307247,400,12.341836
10.459077,353,12.520718
-1.039975,400,12.716853
0.210484,400,12.922698
0.69079,400,13.118497
0.114846,400,13.809561
-0.488125,400,14.020412
-0.409537,400,14.213653
0.391241,400,14.40262
-0.383972,400,14.593089
0.004595,400,15.305135
0.146995,400,15.499628
-1.332227,400,15.699174
0.46924,400,15.884041
-0.753605,400,16.876415
-1.870279,400,17.513113
0.831716,400,17.713694
-0.244706,400,17.902706
-0.616618,400,18.093555
-0.088325,400,18.284586
-0.277179,400,18.922605
0.226888,400,19.132042
-1.312633,400,19.337591
-0.489309,400,19.556005
0.174424,400,19.749611
-0.601964,400,20.388465
-0.914597,400,20.618619
-0.214704,400,20.817492
-0.318098,400,21.016105
-0.220399,400,21.204276
-0.868765,400,21.90144
-1.270135,400,22.110784
0.25241,400,22.307013
-0.555655,400,22.509731
0.017569,400,22.705671
-0.080019,400,23.353814
-0.305284,400,23.56826
-0.528185,400,23.767671
-1.348861,400,23.981408
0.033645,400,25.053626
0.041352,400,25.648596
0.272382,400,25.854541
-0.642831,400,26.052302
-1.026061,400,26.256813
-1.440047,400,26.447391
-0.390736,400,26.633519
-0.022541,400,27.252965
0.444698,400,27.447931
-0.432719,400,27.63627
-1.087856,400,27.821
0.621571,400,28.00094
0.213159,400,28.644538
-0.357395,400,28.855818
-0.745383,400,29.051552
0.351438,400,29.239862
-1.460488,400,29.449192
-1.54078,400,30.095849
0.40354,400,30.302983
-0.456838,400,30.503899
-0.03702,400,30.709518
-0.063754,400,30.89515
-0.910457,400,31.538161
0.045527,400,31.753383
0.279302,400,31.945541
-0.73157,400,33.062427
-1.300998,400,33.252803
-0.13465,400,33.969145
-0.19219,400,34.167427
-0.682951,400,34.371398
-0.096047,400,34.569728
-0.63731,400,34.772165
-0.544476,400,35.527518
-1.087205,400,35.745171
0.266437,400,35.950178
-1.349458,400,36.164389
-0.118769,400,36.370936
-0.314275,400,36.973093
-0.843952,400,37.221685
-0.039337,400,37.447904
0.192025,400,37.668041
-0.077649,400,37.90583
0.059355,400,38.561589
-0.155066,400,38.783954
0.203171,400,38.981468
0.19487,400,39.166813
-0.226523,400,39.355268
-1.380379,400,39.937131
0.353456,400,40.154185
-0.344541,400,40.343626
0.266919,400,41.539027
-0.723109,400,41.754417
-0.546606,400,41.958427
0.073037,400,42.570019
-0.63157,400,42.780424
-1.494524,400,42.985146
-0.379088,400,43.208824
0.125519,400,43.42802
0.099087,400,44.222455
0.670968,400,44.445286
0.376863,400,44.708096
-1.904252,400,44.932727
-0.990666,400,45.151115
-0.788693,400,45.885541
-0.75331,400,46.180959
-0.465373,400,46.395039
0.239005,400,46.660279
0.307246,400,46.952421
-0.757488,400,47.957687
0.141317,400,48.203604
-1.314842,400,48.461294
-0.099127,400,48.70671
-0.902258,400,48.941548
0.296413,400,49.605282
-0.823604,400,49.833559
