#{"t_start": 1754392842.2446063, "env_id": "None"}
r,l,t
-0.024274,400,4.951553
-0.106052,400,5.059041
-0.14181,400,5.165744
-0.056283,400,5.281745
-0.089417,400,5.399753
-0.063811,400,11.207766
-0.104721,400,11.358789
-0.163487,400,11.475693
0.080511,400,11.583711
-0.258476,400,11.717825
0.365238,400,16.88901
0.170281,400,17.002184
0.472671,400,17.114091
-0.087697,400,17.249356
0.161942,400,17.381913
0.247887,400,23.042204
0.235133,400,23.150824
0.638061,400,23.264858
-0.439341,400,23.37169
-0.719146,400,23.487906
0.641062,400,28.866037
0.331131,400,28.978502
0.264588,400,29.086734
-0.174169,400,29.21304
0.253561,400,29.327075
-0.751285,400,34.566922
0.175867,400,34.677956
-0.448447,400,34.789947
0.497008,400,34.899718
0.590419,400,35.010611
0.341238,400,40.760495
-0.071817,400,40.871238
-0.373529,400,40.980593
-0.490925,400,41.105073
-0.776676,400,41.237062
0.372125,400,46.409606
0.187301,400,46.568261
0.37904,400,46.683273
-0.124947,400,46.792928
-0.571072,400,46.902793
0.213759,400,52.348583
-0.044362,400,52.456812
0.38436,400,52.564214
-0.133079,400,52.671121
-0.081748,400,52.799126
-0.578896,400,58.153135
0.329085,400,58.270064
0.346461,400,58.387997
10.535321,153,58.430632
-0.705401,400,58.53758
-0.669106,400,63.673596
0.402962,400,63.782785
0.373636,400,63.902522
0.465767,400,64.023516
0.164832,400,64.135488
0.417357,400,69.74918
0.114822,400,69.886634
0.004562,400,70.012189
0.229617,400,70.133551
-0.024966,400,70.256823
-0.287791,400,75.743274
0.019493,400,75.857968
0.068641,400,75.970495
0.280807,400,76.091923
0.173051,400,76.208032
0,15.362668
-0.799449,400,15.52415
0.154894,400,15.64766
-0.18785,400,15.766842
0.205651,400,15.888629
0.099755,400,16.370636
-0.192225,400,16.541827
-0.266778,400,16.659583
-0.733739,400,16.779344
-0.524612,400,17.58662
0.132706,400,18.156513
0.342734,400,18.361266
-0.28293,400,18.499363
-0.441024,400,18.632476
-0.496463,400,18.779351
-0.385483,400,19.294112
0.504551,400,19.509188
0.098402,400,19.642037
-0.75414,400,19.775323
0.220407,400,19.906919
0.506218,400,20.047523
0.504912,400,20.614949
0.247449,400,20.757147
-0.249757,400,20.888382
0.176138,400,21.02324
-0.949671,400,21.146001
-0.668051,400,21.648105
-0.273739,400,21.797144
-0.239443,400,21.913927
0.476277,400,22.038123
-0.185189,400,22.154208
0.110805,400,22.652704
0.013035,400,22.809536
0.28243,400,22.931614
-0.157553,400,23.622453
10.389001,123,23.659659
-0.202838,400,23.79912
-1.029996,400,24.293177
0.110001,400,24.43367
-0.533817,400,24.555735
-0.115596,400,24.688229
-0.783825,400,24.815158
0.267513,400,25.307023
-0.367391,400,25.456441
0.371244,400,25.592553
-0.77394,400,25.769856
-0.045394,400,25.889428
-0.304249,400,26.422954
0.066987,400,26.575195
-0.333044,400,26.694156
0.283478,400,26.818601
0.391256,400,26.938127
0.278859,400,27.458254
-0.02358,400,27.631915
0.383693,400,27.771994
0.388029,400,27.896249
0.36894,400,28.02056
-0.033822,400,28.511277
0.203636,400,28.678713
0.318661,400,29.374832
-0.118426,400,29.501123
-0.161401,400,29.620182
0.04671,400,30.063457
-0.243348,400,30.245541
-0.747113,400,30.372281
-0.06682,400,30.495199
0.199502,400,30.631109
0.312416,400,31.143012
0.243429,400,31.339961
0.421485,400,31.46414
10.289985,103,31.494382
-0.610856,400,31.611893
-0.821839,400,31.736345
0.206452,400,32.224095
-0.67611,400,32.394215
-0.412716,400,32.522492
0.310963,400,32.64185
0.147131,400,32.764421
-0.2604,400,33.19493
0.468484,400,33.364338
10.238611,197,33.433964
-0.146126,400,33.567495
-0.800875,400,33.694153
-0.031506,400,33.819926
-0.773408,400,34.298821
-0.323473,400,34.46019
0.286675,400,35.153211
-0.711602,400,35.274652
0.447372,400,35.398117
0.082684,400,35.874168
0.062427,400,36.054006
10.262946,344,36.209795
0.198401,400,36.334084
0.103247,400,36.452869
-0.342991,400,36.961453
-0.314866,400,37.13277
-0.255836,400,37.274721
-0.246886,400,37.419061
0.107062,400,37.558181
-0.275968,400,38.154687
0.436701,400,38.354938
0.334985,400,38.492615
0.334289,400,38.63031
0.361329,400,38.766605
0.132076,400,38.905272
0.324275,400,39.480999
0.348668,400,39.622405
0.507214,400,39.77359
-0.080199,400,39.917158
-0.169346,400,40.059593
-0.410801,400,40.615898
10.402675,116,41.267553
0.06698,400,41.404202
0.129711,400,41.537906
0.024413,400,41.658717
-0.859495,400,41.781346
-0.15969,400,42.302499
-0.089783,400,42.43167
-0.480907,400,42.55161
