#{"t_start": 1754392451.1817205, "env_id": "None"}
r,l,t
-0.015688,400,7.195837
0.182117,400,7.313769
0.022935,400,7.430446
0.044846,400,7.548024
-0.091115,400,7.664833
0.657601,400,13.677508
0.664007,400,13.804607
0.505072,400,13.919931
0.142968,400,14.03098
-0.639153,400,14.146293
0.249524,400,20.382001
0.055286,400,20.51711
0.439861,400,20.643526
-0.214564,400,20.767327
0.152022,400,20.886389
-0.037271,400,26.770143
0.109093,400,26.892504
0.096446,400,27.007379
0.506991,400,27.153205
-0.565453,400,27.273529
0.526563,400,33.202732
0.25548,400,33.348321
0.177356,400,33.510342
-0.294758,400,33.658845
0.116365,400,33.788165
-0.793142,400,40.281087
0.113118,400,40.415389
-0.527343,400,40.536652
0.395728,400,40.656883
0.533672,400,40.77377
0.460432,400,47.20156
0.131284,400,47.324329
-0.538699,400,47.480543
-0.879059,400,47.637203
10.182161,148,47.717005
0.527204,400,53.949741
0.324054,400,54.066659
0.547902,400,54.1851
0.013248,400,54.32681
-1.031178,400,54.47142
0.285778,400,60.016295
0.018332,400,60.140132
0.503882,400,60.267079
-0.076369,400,60.384988
0.194834,400,60.494558
-0.885476,400,65.863522
0.442646,400,65.977435
0.436857,400,66.089536
0.113427,400,66.205207
-1.533466,400,66.332618
0.188765,400,72.226886
-1.549475,400,72.367911
0.493221,400,72.480731
0.465225,400,72.598233
0.509389,400,72.712338
0.556149,400,78.192422
0.123986,400,78.354579
0.428921,400,78.502973
0.099684,400,78.667877
-0.189474,400,78.808013
0.57859,400,84.935037
-0.887903,400,85.044287
-0.15315,400,85.169873
0.240543,400,85.295551
0.337256,400,85.410232
0.573204,400,90.932203
0.535399,400,91.042026
0.283482,400,91.160588
0.438524,400,91.273632
10.203635,134,91.311021
10.345463,87,96.411767
10.462588,159,96.457729
0.152677,400,96.565284
-0.682125,400,96.681066
0.09546,400,96.792017
0.024821,400,102.54297
0.457011,400,102.665795
10.192358,90,102.689544
10.530345,157,102.732799
0.270041,400,102.844372
0.526556,400,108.413996
0.469448,400,108.579025
-1.604563,400,108.757737
-0.232984,400,108.900449
0.601377,400,109.023533
400,23.257628
-0.145167,400,23.374377
0.104664,400,23.986321
-0.054035,400,24.179867
-0.675487,400,24.30091
0.218012,400,24.424024
-1.345987,400,24.54394
-0.817193,400,24.984171
0.048649,400,25.184712
-0.344842,400,25.334702
0.362792,400,25.495352
-0.221661,400,25.6768
-0.56112,400,25.823614
-1.590633,400,26.406608
0.121366,400,26.550406
0.34822,400,27.333858
-0.815554,400,27.488724
-0.359781,400,27.638449
0.147082,400,28.234053
-0.022862,400,28.387071
-0.658564,400,28.516366
0.056159,400,28.645994
-0.889988,400,28.777608
0.039373,400,29.359124
-0.506726,400,29.521064
0.142835,400,29.645584
-1.249266,400,29.781903
-0.731871,400,29.912858
-0.527798,400,30.487487
-0.086224,400,30.647867
-0.304589,400,30.779413
0.18535,400,30.911587
0.209488,400,31.042381
0.137617,400,31.592402
-0.854595,400,31.761375
-0.470766,400,31.88813
0.153034,400,32.014601
0.270404,400,32.147036
-0.565009,400,32.676845
10.537545,371,32.864115
0.174368,400,33.829491
10.106446,327,33.94771
-0.410815,400,34.081882
0.016885,400,34.269032
0.25917,400,35.073264
-0.259382,400,35.243837
-1.9237,400,35.376854
-0.33497,400,35.546988
0.269367,400,35.701514
0.177389,400,36.464105
0.158254,400,36.613003
0.370167,400,36.775912
-0.755332,400,36.970632
-0.384558,400,37.160223
-0.787105,400,37.74608
9.791452,331,37.885137
-1.390362,400,38.027863
0.225148,400,38.209181
0.032732,400,38.340516
-0.626123,400,38.846286
0.206177,400,39.021012
-0.217007,400,39.155172
-0.097689,400,39.312781
-0.795051,400,39.446261
-0.199232,400,39.96353
-0.517115,400,40.148725
-0.093721,400,40.906626
10.214216,270,40.993884
0.099027,400,41.124562
-0.035474,400,41.26087
-0.766383,400,41.933577
-0.250887,400,42.085542
-0.845163,400,42.234645
-0.19236,400,42.366492
-0.784151,400,42.505401
-0.423237,400,43.04081
-0.384115,400,43.195951
-0.589159,400,43.323065
-0.261774,400,43.477303
-1.028691,400,43.740592
-0.326501,400,44.427441
0.148035,400,44.591476
0.321052,400,44.741521
-0.070793,400,44.879966
0.263035,400,45.018434
-0.856237,400,45.707666
0.120225,400,45.905386
0.339685,400,46.053237
0.04593,400,46.194376
0.295508,400,46.33814
-0.421369,400,46.939537
-0.217803,400,47.813864
0.205365,400,47.985615
-0.446312,400,48.157262
0.175552,400,48.32881
-0.70485,400,48.991925
-0.281316,400,49.189574
10.440498,241,49.275851
0.27278,400,49.467162
0.181144,400,49.606053
-1.7192,400,49.742528
-0.061608,400,50.34405
-0.21887,400,50.51551
10.543102,203,50.58447
-1.244656,400,50.719428
-0.526429,400,50.859587
-0.644492,400,51.484401
0.052994,400,51.678532
-0.485892,400,51.801021
0.42052,400,51.93109
-0.061594,400,52.081487
-1.660901,400,52.218562
0.087563,400,52.776596
0.374557,400,52.911817
-1.806285,400,53.034814
-2.210462,400,53.164219
-0.049666,400,53.29073
0.2299,400,54.587586
0.369626,400,54.748168
-0.672219,400,54.899166
0.099637,400,55.045225
-1.02486,400,55.188611
-0.06459,400,55.755073
-0.025406,400,55.919079
0.342486,400,56.048132
-1.501264,400,56.173663
-0.782336,400,56.318967
-1.800585,400,56.910096
-0.685761,400,57.070042
-0.515171,400,57.197408
0.241868,400,57.347466
-1.478326,400,57.492345
-0.433639,400,58.090813
