#{"t_start": 1754402746.4045098, "env_id": "None"}
r,l,t
0.342451,400,4.773481
0.037914,400,4.880813
10.369,114,4.911739
0.379092,400,5.029641
10.66819,118,5.060691
10.723614,118,10.052248
10.528952,84,10.07403
0.191722,400,10.191765
-0.71334,400,10.305979
10.396547,47,10.318351
0.267631,400,15.38036
0.578726,400,15.496096
10.420233,135,15.536968
10.964332,172,15.585635
0.197669,400,15.701057
0.399842,400,20.77324
10.467365,89,20.79808
0.443279,400,20.931272
-0.34386,400,21.042026
-0.156926,400,21.156208
0.209339,400,26.196749
0.401843,400,26.302681
10.386227,83,26.325007
-0.318836,400,26.436451
10.953099,172,26.488174
10.337299,89,31.528866
10.696933,150,31.571995
10.594798,48,31.585096
10.759144,141,31.621557
10.541869,134,31.65837
0.179799,400,38.020165
0.547461,400,38.208631
10.599158,87,38.24342
0.448723,400,38.403824
10.392787,84,38.437051
10.293111,88,44.142332
-0.363809,400,44.287831
10.32593,128,44.322168
0.033605,400,44.432292
0.069003,400,44.559544
10.737242,115,49.296175
0.077104,400,49.426122
-0.350577,400,49.530696
0.243062,400,49.641162
0.552718,400,49.750043
-0.752198,400,54.870978
0.440968,400,54.980259
0.302464,400,55.089605
0.06342,400,55.202415
10.137721,83,55.223599
-0.060828,400,60.386263
0.442526,400,60.504935
10.48094,118,60.536476
0.310285,400,60.648197
10.625503,98,60.675594
0.386814,400,65.849204
0.416185,400,65.960032
-0.638236,400,66.084807
10.421559,62,66.104703
0.395629,400,66.216295
0.203973,400,71.343235
0.248301,400,71.453909
10.825818,150,71.493934
0.434054,400,71.608243
-0.135818,400,71.71699
10.877327,84,76.861504
10.800765,132,76.899221
-0.366151,400,77.006565
-0.039977,400,77.115654
0.4295,400,77.224449
0.529325,400,82.463961
0.090212,400,82.575569
10.903316,155,82.619068
10.732083,113,82.650493
10.78432,85,82.674728
10.279762,146,87.817393
10.818462,210,87.888118
-0.595803,400,87.999273
-0.306345,400,88.106839
10.779553,134,88.144944
-0.428203,400,93.318959
0.097191,400,93.435383
10.802246,86,93.457509
0.048894,400,93.564051
10.702165,127,93.598102
38549
10.69777,122,11.898577
10.550221,80,11.931962
10.807285,86,11.967227
0.491354,400,12.093982
-0.341048,400,12.212836
10.563676,93,12.241408
10.72489,107,12.272283
10.705605,108,12.307296
10.935807,164,12.366241
0.060041,400,12.810637
10.546186,139,12.867848
0.279256,400,13.032915
0.383896,400,13.15091
10.622337,80,13.175326
-0.731746,400,13.295021
-0.35417,400,13.425056
10.654368,86,13.45573
-1.028588,400,13.919178
10.800038,86,13.958477
10.281791,102,13.999409
0.571519,400,14.120614
-0.43638,400,14.241752
0.393048,400,14.363202
-0.454059,400,14.815801
10.585516,74,14.859452
0.187547,400,15.036162
-0.394358,400,15.152725
0.029404,400,15.27164
-0.026489,400,15.830371
10.616152,80,15.853766
-0.304878,400,16.316399
0.271585,400,16.477593
-0.464577,400,16.595032
10.560785,82,16.623713
10.498803,77,16.645756
0.195518,400,16.782165
10.768819,136,16.821527
10.797853,181,16.872996
10.894778,185,16.928842
-0.589608,400,17.420273
10.518496,80,17.451576
-0.393169,400,17.578293
0.388934,400,17.699146
-0.202223,400,17.838609
10.342025,133,17.886429
0.395505,400,18.326878
10.830837,157,18.391948
10.904852,185,18.474679
10.387074,139,18.518976
10.772031,91,18.546132
10.686525,87,18.574378
10.202361,99,18.603797
0.148664,400,18.726373
-0.446612,400,18.846606
10.767059,86,18.876652
10.692917,129,18.919629
10.637687,91,18.947108
10.989465,192,19.329107
-0.016078,400,19.500021
10.663987,99,19.53184
-0.850302,400,19.647706
0.393802,400,19.772374
0.020552,400,19.894278
-0.01282,400,20.347569
10.612937,64,20.377149
-0.347536,400,20.537374
-0.777015,400,20.660474
10.977256,94,21.181905
10.69546,116,21.218673
0.355957,400,21.338895
-0.003179,400,21.463808
10.298932,88,21.797454
10.983959,91,21.838644
10.327547,83,21.871444
0.260046,400,22.024434
-0.403875,400,22.15235
10.64644,72,22.18054
-0.51997,400,22.299222
-0.072047,400,22.419283
0.474786,400,22.880983
10.486166,51,22.905164
0.491671,400,23.044454
-0.70795,400,23.16632
10.80738,142,23.215771
-0.034677,400,23.342635
10.415067,119,23.377284
0.619465,400,23.845414
0.132857,400,24.025749
10.716071,83,24.051878
0.392273,400,24.167539
10.68193,124,24.204148
0.573922,400,24.336003
10.520098,122,24.373986
0.003639,400,24.805078
0.54205,400,24.979931
-0.156274,400,25.109203
0.413778,400,25.227732
10.729388,266,25.30605
-0.284295,400,25.436809
10.277552,83,25.461472
0.062907,400,25.916345
10.318709,333,26.037057
0.080892,400,26.570285
10.350031,95,26.598972
10.395901,113,26.632362
-0.17842,400,26.7558
10.235611,99,26.784216
10.38859,123,26.820644
0.240535,400,27.324834
10.517447,53,27.346957
10.369993,45,27.367233
0.136159,400,27.508819
-0.4654,400,27.635924
-0.254906,400,27.757861
10.913348,209,27.820598
0.589076,400,28.258969
0.403969,400,28.424831
10.354381,133,28.466065
10.464033,48,28.479553
10.765999,127,28.514421
10.820624,170,28.562836
10.641989,125,28.602172
10.753229,133,28.647205
10.18949,86,28.678143
-0.007304,400,28.801164
10.43526,48,28.815342
10.738534,136,28.855764
-0.374072,400,29.33907
10.617093,73,29.368438
10.518429,75,29.402191
10.440182,136,29.453539
-0.439058,400,29.570786
0.394435,400,29.695611
10.802276,146,29.747487
10.808955,84,29.772508
0.207117,400,29.900477
10.848369,89,30.259767
0.122687,400,30.434344
10.449242,114,30.47754
0.033568,400,30.596972
10.754254,154,30.64307
0.376528,400,30.769908
0.460711,400,30.899938
10.901718,179,31.265925
10.34726,113,31.311687
0.104397,400,31.482518
10.549393,91,31.674348
0.399308,400,31.796834
10.688685,122,31.834715
10.733608,86,31.863713
0.380237,400,31.999077
-0.464718,400,32.128286
-0.444692,400,32.676163
10.937759,161,32.735943
10.640282,109,32.768193
0.222998,400,32.892588
10.865592,153,32.968612
10.636681,82,32.999824
0.395668,400,33.13097
10.889843,157,33.179974
10.604658,80,33.204345
0.26226,400,33.7975
10.29456,137,33.873044
10.923847,160,33.935616
10.706714,88,33.968096
-0.81717,400,34.130118
10.762405,84,34.160949
0.395563,400,34.323827
0.441648,400,34.480635
10.519351,95,34.524063
-0.379546,400,35.116642
0.389109,400,35.275156
11.023766,99,35.306898
0.148676,400,35.43396
10.883156,207,35.508335
-0.392953,400,35.697051
0.192652,400,36.405613
10.586406,97,36.468878
10.636827,83,36.504436
10.819538,91,36.545414
10.259114,110,36.598662
10.346377,88,36.639066
-0.014951,400,36.802661
10.402242,47,36.825077
10.732798,133,36.889835
0.398111,400,37.075658
0.01199,400,37.696505
10.588862,82,37.737388
0.097879,400,38.523088
0.360815,400,38.697761
10.74222,145,38.770941
11.110674,98,38.813363
10.587408,131,38.878244
10.830653,140,38.957332
-0.379547,400,39.160077
0.129103,400,39.838786
-0.825279,400,40.022763
10.74385,144,40.071774
0.384003,400,40.22024
0.03734,400,40.348719
0.385049,400,40.47324
-0.247573,400,40.965645
10.496308,131,41.023567
10.57888,83,41.05679
10.308716,146,41.101529
