#{"t_start": 1754403669.470586, "env_id": "None"}
r,l,t
0.033461,400,8.717152
10.367409,114,8.768335
0.388343,400,8.942447
10.67059,117,8.994832
-0.388876,400,9.172117
0.138989,400,19.123432
10.728275,119,19.182971
10.528396,84,19.21829
0.18168,400,19.394637
10.590336,78,19.429577
0.243685,400,29.035854
0.606792,400,29.226563
10.418091,141,29.291339
10.9674,174,29.371742
0.187148,400,29.55312
-0.704816,400,39.309279
0.696751,400,39.484547
0.415854,400,39.668998
10.468577,89,39.703982
0.493627,400,39.884482
0.186174,400,49.547317
0.420463,400,49.722628
10.390125,82,49.758373
-0.24304,400,49.938982
10.953302,171,50.012263
10.600556,79,59.606089
10.560638,77,59.646219
10.339234,87,59.692433
10.701519,157,59.769941
10.591075,48,59.792257
0.152652,400,70.515917
0.585758,400,70.69286
10.614802,84,70.730922
0.435608,400,70.904079
10.402241,78,70.936947
351
-0.470762,400,8.454092
10.298073,49,8.480397
10.484071,85,8.522219
0.232692,400,10.262463
0.046116,400,10.471904
10.647159,86,10.512164
-0.21295,400,10.714791
-0.161809,400,10.923632
0.213676,400,11.122081
10.585584,117,11.181257
0.409171,400,12.191761
0.382539,400,12.398613
-0.073673,400,12.616477
0.390566,400,12.821888
-0.247251,400,13.025608
10.769022,84,13.072631
0.187897,400,14.119517
10.158399,89,14.171658
-0.463945,400,14.393945
10.353349,106,14.452986
0.44297,400,14.671406
0.460391,400,14.903097
10.851692,168,14.995893
-0.449179,400,16.320645
0.41312,400,16.547238
-0.188652,400,16.76167
10.936044,167,16.851329
10.642578,151,16.926871
10.710362,100,16.978714
10.714104,152,17.056951
10.438945,46,17.084016
0.480524,400,17.293284
0.386712,400,18.361062
0.404668,400,18.555408
10.555279,50,18.581555
0.495545,400,18.804687
10.388298,93,18.852187
-0.048158,400,19.539565
-0.524201,400,20.568265
0.481501,400,20.783705
10.670532,108,20.838044
10.684162,107,20.897846
10.698755,108,20.95333
-0.524713,400,21.168792
0.111132,400,21.370255
10.54033,48,21.395483
10.94415,98,21.445959
10.788913,102,21.495499
0.210488,400,22.606658
10.693906,126,22.679643
10.567847,76,22.713693
10.832472,87,22.753581
0.519533,400,22.952943
-0.338375,400,23.147734
10.569862,99,23.204873
10.712851,115,23.279277
10.701131,101,23.331035
10.927711,156,23.420664
0.081354,400,24.466592
10.549676,132,24.542198
10.686475,82,24.594082
0.416384,400,24.794385
10.624267,77,24.833109
-0.74698,400,25.034091
-0.350701,400,25.235079
10.646773,83,25.276407
-0.737967,400,26.295326
0.298038,400,26.517602
10.281789,96,26.575116
0.600756,400,26.795491
10.799515,136,26.864262
0.391908,400,27.065886
10.897148,165,27.144133
10.668871,104,27.196114
10.533783,130,27.260748
-0.510213,400,28.306594
10.602374,88,28.356553
0.176263,400,28.553887
-0.408626,400,28.74859
10.97036,183,28.847886
-0.140433,400,29.768785
-0.686776,400,30.831521
10.526173,146,30.913146
10.677789,93,30.967965
10.557801,76,31.006604
10.514148,77,31.044116
10.584374,84,31.090482
-0.331741,400,31.293459
10.800816,177,31.38595
0.023462,400,31.58511
10.602473,82,31.623163
0.397273,400,31.828001
0.375063,400,32.884089
10.523811,81,32.926591
-0.391656,400,33.137826
0.40762,400,33.349499
-0.197781,400,33.554092
-0.139231,400,33.75069
0.414462,400,34.797529
10.816172,154,34.873588
10.894572,191,34.976521
0.0685,400,35.172346
10.776002,88,35.217745
10.687946,86,35.262108
-0.047833,400,35.471245
0.489164,400,36.530587
-0.046257,400,36.760889
10.682834,106,36.810179
-0.403738,400,37.016929
0.38207,400,37.228598
0.006554,400,37.429763
10.272438,110,37.482872
10.376805,75,37.516596
0.594121,400,38.721965
-0.788693,400,38.94193
-0.330301,400,39.909513
10.864496,145,39.992603
0.379823,400,40.215944
10.716112,112,40.272223
0.408157,400,41.395635
10.979237,93,41.445636
10.33177,86,41.496556
0.28167,400,41.708636
-0.399026,400,41.917348
10.624693,76,41.956115
10.224746,87,42.002452
-0.081695,400,42.209026
0.528829,400,42.433267
0.407537,400,43.477226
-0.462934,400,43.683116
0.398727,400,43.884306
10.674086,104,43.933901
-0.324936,400,44.137566
-0.015996,400,45.18908
0.13473,400,45.415515
0.167222,400,45.625101
0.449627,400,45.84129
10.667193,133,45.90838
0.642804,400,46.110738
10.507484,107,46.166604
-0.023958,400,47.222739
0.59105,400,47.429534
10.790504,208,47.529942
0.431486,400,47.728801
10.743185,250,47.851834
-0.281571,400,48.070409
10.279553,82,48.111996
0.066084,400,49.126655
10.309355,364,49.309358
0.067734,400,50.176468
10.354969,90,50.227194
10.391852,110,50.279041
-0.163912,400,50.481231
10.237171,108,50.536143
-0.007877,400,51.605124
10.510737,46,51.632773
10.363724,46,51.658684
0.094906,400,51.859909
-0.469092,400,52.062131
-0.246955,400,52.265945
0.054803,400,52.47996
