#{"t_start": 1754320897.2094412, "env_id": "None"}
r,l,t
-0.031479,400,5.677323
-0.749143,400,5.810055
-0.001942,400,5.937561
-0.299588,400,6.06479
0.307695,400,6.188302
0.655429,400,12.311524
0.631359,400,12.433152
0.248457,400,12.559284
0.010315,400,12.677709
10.06405,111,12.71283
0.119365,400,18.823112
0.265891,400,18.952162
0.566757,400,19.088874
-0.203996,400,19.222569
-0.01363,400,19.349996
-0.261339,400,25.229772
-0.386013,400,25.382878
0.544058,400,25.531872
-0.654504,400,25.659688
-0.995076,400,25.783592
0.21633,400,31.812972
0.103602,400,31.93293
-0.894546,400,32.057887
0.001681,400,32.1939
-0.34441,400,32.31417
-1.096142,400,38.48316
0.076463,400,38.616254
-0.707606,400,38.747972
0.484515,400,38.888385
0.480378,400,39.018325
0.411588,400,44.861566
-0.27758,400,45.000334
-0.752993,400,45.123142
-0.473965,400,45.253324
-0.912057,400,45.386943
0.553467,400,51.428337
0.504509,400,51.553188
0.535975,400,51.674337
-0.005771,400,51.79659
-0.286317,400,51.917618
0.471478,400,57.806885
0.060274,400,57.945039
0.508776,400,58.123395
-0.071849,400,58.25784
0.155685,400,58.389704
0.011754,400,64.757675
0.414866,400,64.880706
0.388655,400,65.068278
-0.311328,400,65.20765
-0.428325,400,65.337317
2,400,13.483363
-0.026239,400,13.633147
-1.239782,400,13.76833
-0.811464,400,13.911265
-0.084904,400,14.051727
-0.061516,400,14.625993
0.165628,400,14.791346
-1.264063,400,14.930672
-0.305031,400,15.078684
0.201633,400,15.222903
-0.6836,400,15.829882
-0.87414,400,16.003584
-0.350252,400,16.145303
0.025342,400,16.281543
-0.084125,400,16.429235
-1.604384,400,17.030817
-1.217625,400,17.207463
-0.122586,400,17.342586
0.360908,400,17.486413
-0.326302,400,17.640146
0.241516,400,18.215204
-0.551874,400,18.400449
-0.334262,400,18.543004
-2.174884,400,18.692701
-0.034759,400,19.510309
0.472295,400,20.072687
-0.292024,400,20.262635
-0.60305,400,20.39435
-0.893631,400,20.528074
-1.451652,400,20.660925
-0.516305,400,21.186769
0.588074,400,21.378252
-0.109993,400,21.517215
-1.293972,400,21.651259
0.010683,400,21.786237
0.533251,400,21.921554
