#{"t_start": 1754391549.938934, "env_id": "None"}
r,l,t
-0.035218,400,7.242715
-0.110279,400,7.412535
-0.14073,400,7.589626
-0.064143,400,7.762349
-0.092569,400,7.936182
-0.074098,400,15.436668
-0.108699,400,15.612925
-0.15894,400,15.780303
0.064921,400,15.953882
-0.254513,400,16.139165
0.503275,400,23.738534
0.24024,400,23.921042
0.514164,400,24.104178
0.042078,400,24.282516
-0.086956,400,24.473669
0.114234,400,32.402316
0.109629,400,32.599536
0.529032,400,32.778266
-0.528423,400,32.952845
10.122911,156,33.023775
-0.239042,400,40.702627
0.501318,400,40.875946
-0.388136,400,41.051893
-0.040938,400,41.22565
0.343221,400,41.421513
-0.204588,400,49.171549
-0.43036,400,49.347726
-0.196169,400,49.524983
0.157151,400,49.697294
0.457171,400,49.864118

-0.324295,400,10.251578
-0.223736,400,10.453762
0.000277,400,10.659261
0.503616,400,10.885187
-0.456464,400,11.525646
-0.861321,400,11.757352
0.36154,400,11.960746
-0.519984,400,12.156637
0.51923,400,12.345375
0.624565,400,12.981174
0.361855,400,13.199012
0.088626,400,13.3954
0.218323,400,13.587674
-0.551737,400,13.795068
-0.515161,400,13.993957
-0.943034,400,14.652697
0.236153,400,14.851683
-0.382814,400,15.061144
-0.439693,400,15.257686
-0.502716,400,16.352664
-0.98113,400,16.966182
0.741286,400,17.18215
-0.187235,400,17.374849
-0.423631,400,17.565043
-0.050277,400,17.754843
-0.1152,400,18.388084
0.465711,400,18.586883
-0.313042,400,18.784518
-0.151173,400,18.980556
0.303187,400,19.169684
-0.210673,400,19.844601
-0.517661,400,20.062655
-0.534505,400,20.26893
-0.526496,400,20.482907
0.085902,400,20.667259
-0.351195,400,21.275757
-0.208948,400,21.580202
0.431321,400,21.790865
-0.600557,400,21.999423
0.40826,400,22.211478
0.375594,400,22.957224
-0.734294,400,23.173172
-0.464704,400,23.366149
-0.516321,400,23.564309
0.184541,400,24.704005
0.067977,400,25.322301
0.257883,400,25.517171
-0.074161,400,25.71843
-0.229192,400,25.949495
-0.999961,400,26.156853
-0.422202,400,26.804737
0.490765,400,27.026234
-0.438125,400,27.210897
-0.601896,400,27.401803
0.38668,400,27.621042
0.33847,400,27.832196
-0.582963,400,28.528393
0.151094,400,28.749482
-0.327297,400,28.958178
0.357741,400,29.201974
-0.759886,400,29.428694
-0.657341,400,30.359761
0.25323,400,30.556946
-0.242327,400,30.751317
0.399678,400,30.939916
-0.304957,400,31.138323
-0.015605,400,31.803249
0.035366,400,32.009305
0.294835,400,32.233319
-0.24186,400,33.263339
-0.653269,400,33.463362
0.040696,400,34.14324
0.108658,400,34.348963
-0.63058,400,34.552946
10.649137,313,34.718161
-0.703706,400,34.920303
-0.476241,400,35.553002
-0.477215,400,35.766777
0.39229,400,35.976031
-0.053958,400,36.163102
0.143781,400,36.356271
-0.361678,400,36.99087
-0.426712,400,37.204181
-0.281207,400,37.397184
0.429498,400,37.596463
0.289545,400,37.796915
0.287211,400,38.391603
0.147115,400,38.601822
0.378294,400,38.822456
0.322495,400,39.033407
0.299349,400,39.236758
-0.369226,400,39.436926
-0.826063,400,40.280623
-0.628632,400,40.498475
0.278404,400,41.602904
-0.531373,400,41.799942
-0.351216,400,41.997638
-0.607541,400,42.737313
-0.409909,400,42.939006
-1.205749,400,43.132476
0.327202,400,43.325331
-0.137211,400,43.549673
-0.595637,400,44.318694
0.225236,400,44.536198
-0.305014,400,44.752279
-0.23717,400,44.955617
0.248794,400,45.151794
0.289204,400,45.848658
-1.018013,400,46.039456
-0.195548,400,46.233032
-0.933462,400,46.424452
-0.019843,400,46.633322
0.321065,400,47.306035
-0.872156,400,47.519477
-0.372816,400,47.717691
-0.726921,400,47.910815
-0.176679,400,48.128397
0.28792,400,48.750082
-0.358605,400,48.954703
-0.273133,400,50.037589
0.401226,400,50.255678
0.287143,400,50.454321
0.297778,400,51.087846
0.318121,400,51.308706
-0.125781,400,51.515497
0.007054,400,51.705935
0.41614,400,51.896258
0.31818,400,52.533213
-0.688655,400,52.75455
0.152959,400,52.964046
0.013718,400,53.163855
0.092371,400,53.359891
-0.194188,400,53.574972
0.160123,400,54.235766
0.322163,400,54.441494
0.105855,400,54.638994
-0.310709,400,54.850713
0.321716,400,55.04719
