#{"t_start": 1754401579.9446895, "env_id": "None"}
r,l,t
0.334624,400,7.431056
0.020741,400,7.619265
10.367212,121,7.686918
0.435091,400,7.88086
10.66969,117,7.937845
10.725896,119,16.15196
10.53165,105,16.196616
0.181311,400,16.394073
10.596746,77,16.424685
0.385959,400,16.59766
0.15394,400,24.162771
0.285965,400,24.336263
0.637233,400,24.509442
10.419037,160,24.579116
10.963432,172,24.656825
0.418199,400,32.619232
10.468801,105,32.674926
0.51519,400,32.917651
-0.344256,400,33.133701
-0.209974,400,33.315281
0.237564,400,41.141658
0.432778,400,41.324361
10.393744,88,41.365304
-0.179445,400,41.550104
10.955411,182,41.632355
699
0.40219,400,5.20243
10.850112,172,5.303531
0.130368,400,5.515021
10.562835,107,5.571729
-0.025185,400,6.282106
-0.698768,400,6.519489
0.399288,400,6.743319
0.140232,400,6.964229
-0.46725,400,7.167404
10.28178,80,7.210392
0.015119,400,8.801806
-0.002045,400,9.025276
-0.700248,400,9.251182
-0.205698,400,9.473326
-0.056784,400,9.707233
10.713933,87,9.757919
10.590838,129,9.822968
0.41293,400,10.442785
0.408477,400,10.67514
-0.063829,400,10.913734
0.399261,400,11.140072
10.847651,145,11.219547
10.783346,83,11.26628
0.200649,400,12.257661
10.155295,87,12.30927
-0.424792,400,12.546273
10.352915,91,12.600526
0.421415,400,12.842291
0.474976,400,13.104701
10.844336,173,13.270272
10.751009,132,13.347159
10.859995,173,13.428916
0.41487,400,14.032757
0.414617,400,14.258407
-0.182663,400,14.449602
10.93731,166,14.526989
-0.178235,400,14.716367
10.688602,92,14.76038
10.712737,145,14.830426
0.293235,400,15.454762
0.410507,400,15.655197
10.556223,53,15.679272
0.40078,400,15.871652
10.38271,118,15.928182
-0.182334,400,16.113498
0.082898,400,16.808542
10.363302,109,17.26477
0.485976,400,17.494313
10.660142,104,17.545942
10.676105,106,17.596898
0.402046,400,17.791038
10.68518,113,17.845941
0.106489,400,18.033849
10.531434,50,18.057364
10.889286,173,18.140657
10.770861,140,18.205713
0.287155,400,18.833371
10.690656,130,18.905953
10.567432,105,18.966113
10.836105,89,19.022008
0.518669,400,19.251975
-0.339607,400,19.485671
10.570254,98,19.532848
10.713668,113,19.59298
10.674688,109,19.659815
-0.414118,400,20.324867
10.547678,127,20.405806
0.306641,400,20.648131
0.422438,400,20.907348
10.621572,97,20.954853
10.566125,51,20.986056
-0.342168,400,21.203677
10.64995,77,21.242779
-0.642049,400,21.441666
10.221906,85,21.880596
10.803894,84,21.932505
10.274916,123,21.998675
0.607659,400,22.206724
-0.516178,400,22.398958
0.410288,400,22.591444
10.895702,157,22.674196
10.66195,124,22.742216
10.559309,156,22.827993
10.181955,96,22.878633
10.751818,158,23.363276
-0.401773,400,23.562828
0.169637,400,23.77351
-0.467836,400,23.969775
-0.027982,400,24.854426
10.360733,124,24.911818
10.641707,69,24.945295
10.773153,156,25.026468
0.419597,400,25.779573
10.535482,137,25.847874
-0.472715,400,26.041944
-0.348413,400,26.249141
0.190989,400,26.47365
0.22655,400,27.079267
10.507494,78,27.118229
10.308634,98,27.171753
0.393347,400,27.377874
10.446121,93,27.435007
-0.121086,400,27.642231
0.420614,400,27.844742
-0.34494,400,28.040907
10.464899,111,28.541432
10.827535,159,28.642955
-0.030101,400,28.849296
0.096375,400,29.044601
0.396148,400,29.322285
10.691427,86,29.391019
-0.038648,400,29.589172
0.414667,400,30.305724
10.946926,178,30.411851
10.677303,99,30.464658
-0.78906,400,30.672689
0.422497,400,30.896831
0.007518,400,31.105492
10.269025,163,31.191121
10.376641,95,31.244116
0.60043,400,32.026077
10.597553,72,32.069653
-0.357914,400,32.274338
10.556827,79,32.313673
0.721668,400,33.419687
10.721311,117,33.481451
0.412516,400,33.679093
10.879056,187,33.770742
10.297542,108,34.338439
0.727252,400,34.583698
-0.344598,400,34.78292
10.750872,88,34.826256
-0.391183,400,35.016553
10.634237,77,35.053797
-0.481443,400,35.250516
10.279769,133,35.327732
0.507785,400,36.00513
10.467501,49,36.038356
0.433228,400,36.277634
10.676086,109,36.332568
10.798687,143,36.415544
-0.018729,400,36.645723
10.412345,148,36.720745
0.668687,400,36.9293
10.661109,90,36.973001
-0.33474,400,37.640507
0.160052,400,37.839558
10.727309,85,37.882895
0.446113,400,38.07847
10.691336,126,38.14342
0.649744,400,38.34233
10.512521,136,38.412331
10.246574,157,38.956982
0.604494,400,39.179927
-0.163704,400,39.380788
0.425938,400,39.576186
10.739957,248,39.703962
-0.278851,400,39.911465
10.267409,104,39.96456
0.058342,400,40.630895
0.252105,400,40.835374
0.088789,400,41.791433
10.353412,106,41.843274
10.393917,91,41.887609
10.506402,78,41.929279
10.236252,107,41.991058
10.376251,175,42.088434
0.174287,400,42.793228
10.507645,46,42.820066
0.20945,400,43.02799
0.100881,400,43.233828
-0.467992,400,43.425607
10.43103,77,43.464708
0.092048,400,43.651954
0.429421,400,44.309355
0.487107,400,44.529128
10.344391,151,44.60497
0.097993,400,44.80806
-0.345739,400,45.012722
