#{"t_start": 1754401236.7427466, "env_id": "None"}
r,l,t
0.331111,400,8.224078
0.008297,400,8.396663
10.364929,123,8.451422
0.284282,400,8.643971
10.673452,115,8.697143
0.149836,400,16.333528
10.727955,118,16.389113
10.528918,83,16.430732
0.189891,400,16.613795
10.59452,78,16.648556
0.012591,400,24.387898
0.287458,400,24.561636
0.603704,400,24.738035
10.422948,158,24.810896
10.973174,172,24.887472
,97,2.86536
10.482673,46,2.889929
0.393403,400,3.108236
0.15303,400,4.049528
0.156155,400,4.266506
10.701505,279,4.492427
0.404273,400,4.724635
0.413808,400,4.96468
10.532553,122,5.026314
0.199614,400,5.705528
-0.41579,400,5.904253
0.400611,400,6.124392
10.83568,175,6.208475
0.119198,400,6.401107
10.568692,113,6.459485
10.971999,179,6.542032
10.563675,147,6.621287
10.383312,91,7.15863
-0.916402,400,7.392365
0.369291,400,7.603194
0.141035,400,7.795369
10.686525,119,7.8532
0.145793,400,8.042069
0.030439,400,9.324332
0.082988,400,9.530197
10.642778,97,9.582259
-0.203679,400,9.781902
-0.164671,400,9.972127
10.708116,79,10.011655
10.603302,168,10.08632
0.413435,400,10.712604
0.386585,400,10.934301
10.860288,212,11.03634
0.392852,400,11.234312
10.836787,143,11.313105
10.75366,80,11.354506
0.225753,400,11.566877
0.629327,400,12.198183
10.155222,84,12.244693
-0.490357,400,12.455674
10.354229,82,12.500107
0.396451,400,12.79593
0.457187,400,13.002075
10.843315,171,13.086666
10.765016,134,13.151233
10.847557,182,13.239707
0.410285,400,13.927004
0.417439,400,14.125866
-0.19389,400,14.325117
10.941652,171,14.406699
-0.150105,400,14.61576
0.287387,400,14.832445
-0.211287,400,15.505529
0.390644,400,15.743771
10.551966,49,15.769027
0.400296,400,15.983833
10.38738,85,16.034436
-0.486127,400,16.729036
10.673541,88,16.772422
10.367808,68,16.808807
10.563537,69,16.841358
0.448945,400,17.53438
0.469819,400,17.767013
10.670282,105,17.834448
-0.69943,400,18.05366
0.335995,400,18.25896
10.680772,114,18.312671
0.128922,400,18.931612
10.672995,134,19.006109
10.55728,79,19.048643
10.823983,83,19.09312
0.488635,400,19.291155
-0.333514,400,19.523288
10.57321,78,19.568284
-0.546273,400,19.769665
10.692887,103,19.823127
-0.371104,400,20.460131
10.546184,155,20.550336
10.690567,88,20.613459
0.362066,400,20.822601
10.618002,106,20.877952
-0.676784,400,21.092779
-0.349038,400,21.291318
10.66469,74,21.329614
-0.76451,400,22.005228
10.786233,82,22.048244
10.272396,129,22.123181
0.59421,400,22.318493
-0.38881,400,22.515256
0.394467,400,22.717662
10.900202,156,22.804793
-0.352616,400,22.99787
10.527494,129,23.508772
-0.379834,400,23.746789
0.184659,400,24.003112
-0.438473,400,24.202633
-0.008243,400,25.097863
10.361913,121,25.160133
-0.532931,400,25.81166
10.534006,129,25.883555
10.667005,115,25.94916
10.565186,70,25.988368
10.51042,110,26.045986
10.583796,96,26.103311
10.773159,138,26.180444
-0.220822,400,26.395684
10.930653,191,26.486902
10.594145,111,26.539714
0.436843,400,26.730328
0.416652,400,27.421372
10.496354,79,27.465574
10.326738,86,27.507427
0.37441,400,27.705761
10.441842,83,27.750076
-0.110554,400,27.937947
0.401275,400,28.132273
-0.275613,400,28.751396
10.806506,155,28.833519
10.895533,186,28.934381
10.367766,189,29.031927
0.353302,400,29.229965
10.674421,81,29.271119
10.205704,100,29.32115
0.463455,400,29.526
-0.454096,400,29.72068
