#{"t_start": 1754391430.0613098, "env_id": "None"}
r,l,t
0.013924,400,7.283677
0.031552,400,7.462308
-0.143758,400,7.644759
0.024526,400,7.823199
-0.045998,400,7.999722
0.519614,400,15.720173
0.361031,400,15.901125
0.497972,400,16.080091
0.191409,400,16.253993
-0.604722,400,16.43183
0.294785,400,23.839458
0.100691,400,24.02797
0.479044,400,24.20927
-0.164825,400,24.38899
0.202039,400,24.591594
0.177558,400,31.896547
0.159393,400,32.06993
0.544027,400,32.248337
-0.543285,400,32.430985
-0.81451,400,32.60575
-0.210027,400,39.720534
0.498005,400,39.893276
-0.409347,400,40.092221
0.043342,400,40.260769
0.423388,400,40.434912
-0.099411,400,47.671159
-0.241654,400,47.834879
-0.433969,400,47.994812
-0.07259,400,48.163047
0.231133,400,48.327213
0.077244
-0.10848,400,10.30308
-0.059028,400,10.489674
0.459965,400,10.678676
-0.346881,400,10.867189
-0.585145,400,11.494161
-0.884252,400,11.698514
10.347038,400,11.892743
-0.548333,400,12.085953
0.503024,400,12.278574
10.951254,323,12.446471
0.148035,400,13.239023
-0.043467,400,13.438991
-0.454613,400,13.652898
0.204021,400,13.883465
-1.208911,400,14.128186
-0.198545,400,14.8812
0.046236,400,15.083865
-0.263044,400,15.29061
0.441255,400,15.495078
-0.447103,400,16.608019
-1.159616,400,17.257468
0.602669,400,17.454982
0.220966,400,17.649678
-0.160376,400,17.846171
0.00055,400,18.061835
0.14765,400,18.672968
0.309323,400,18.879818
-0.535634,400,19.094945
-0.625713,400,19.294307
0.30876,400,19.486754
-0.265709,400,20.080034
-0.863301,400,20.292774
-0.291535,400,20.489391
-0.097381,400,20.684785
-0.226277,400,20.878579
-0.310013,400,21.543441
-0.866274,400,21.750904
-0.346613,400,21.943135
0.062588,400,22.136804
0.306338,400,22.339031
-0.288729,400,22.973325
-0.893982,400,23.211782
-0.456128,400,23.436137
-1.210373,400,23.643154
0.184941,400,24.765834
0.065471,400,25.363828
-0.668415,400,25.578051
-0.511833,400,25.789112
-0.736541,400,25.984163
-1.093243,400,26.1743
-0.569608,400,26.370356
0.079422,400,27.031407
0.156093,400,27.233082
-0.174169,400,27.431558
-0.785696,400,27.619585
0.184357,400,27.817974
0.465681,400,28.446646
0.125243,400,28.645172
-0.425103,400,28.840209
0.441201,400,29.057567
-1.18288,400,29.258059
-0.598101,400,29.86388
0.432273,400,30.082429
-0.277151,400,30.287739
0.383689,400,30.480207
-0.164202,400,30.67485
0.023278,400,31.290805
0.2276,400,31.496176
0.098652,400,31.696354
-0.421153,400,32.780658
-0.678331,400,32.967177
-0.52809,400,33.574896
0.197366,400,33.770831
-0.862527,400,33.982532
0.181654,400,34.182292
-0.769365,400,34.378472
-0.179779,400,34.981197
-1.011068,400,35.187774
0.313644,400,35.382578
0.000543,400,35.574191
0.464125,400,35.773043
-0.760151,400,36.346834
-0.262802,400,36.552155
-0.033695,400,36.762718
-0.217137,400,36.956432
0.295945,400,37.145872
0.217145,400,37.721987
0.032556,400,37.945828
0.403925,400,38.138391
0.292349,400,38.332142
0.23935,400,38.527246
-1.343702,400,38.721593
-0.879141,400,39.331733
-0.628362,400,39.519882
-0.064187,400,40.609668
-0.488821,400,40.797767
-0.601345,400,40.994135
-0.501849,400,41.60366
10.504217,123,41.66162
-0.884908,400,41.85404
0.282103,400,42.047976
-0.404408,400,42.257839
-0.603805,400,42.446376
0.252131,400,43.057503
0.155081,400,43.251708
-0.34582,400,43.453702
-0.223919,400,43.642637
0.056004,400,43.827884
0.196934,400,44.47345
-1.039206,400,44.670385
-1.052283,400,44.867998
-1.324837,400,45.065478
0.057391,400,45.264629
-0.515709,400,45.890291
-1.805132,400,46.088948
-0.351792,400,46.283628
-0.620789,400,46.477587
-0.185865,400,46.680652
0.269634,400,47.350748
-0.328978,400,48.364919
0.064691,400,48.547172
0.466632,400,48.726972
0.017948,400,48.919933
0.173111,400,49.479185
-0.449696,400,49.663822
-0.326154,400,49.843751
0.057607,400,50.042161
0.184473,400,50.226552
0.352963,400,50.77236
10.273468,117,50.837658
0.280491,400,51.048683
0.134185,400,51.239367
0.12779,400,51.430125
0.093606,400,51.660972
0.224511,400,52.284088
0.206182,400,52.474213
0.134687,400,52.660148
0.076405,400,52.851083
0.3503,400,53.053632
-0.255965,400,53.644239
0.086675,400,53.824357
-0.125704,400,54.009283
0.02423,400,54.197479
-0.431757,400,54.391574
-0.543482,400,54.925378
