#{"t_start": 1754320474.6034586, "env_id": "None"}
r,l,t
-0.18936,400,4.931524
-0.964579,400,5.044743
0.370575,400,5.172714
0.312427,400,5.286697
0.550366,400,5.400634
0.536936,400,10.739853
0.453324,400,10.851992
0.238948,400,10.966567
-0.16055,400,11.081857
10.065264,80,11.105738
0.093148,400,16.842175
0.18034,400,16.953903
0.446795,400,17.070791
-0.17531,400,17.205317
-0.250196,400,17.340765
-0.489603,400,24.159508
-0.608777,400,24.288942
0.391133,400,24.416958
-0.74912,400,24.547778
-1.119497,400,24.6762
0.379638,400,31.889625
-0.030021,400,32.018418
-0.188366,400,32.141168
-1.086909,400,32.268107
0.025265,400,32.397892
0.289819,400,39.322383
-1.324923,400,39.468284
-0.205861,400,39.591813
-0.963052,400,39.716987
0.576461,400,39.841996
0.252339,400,45.965301
-0.207213,400,46.100228
-1.012147,400,46.241558
-1.364257,400,46.367626
-1.037434,400,46.497992
0.532923,400,52.711658
0.686,400,52.8512
0.435933,400,52.979706
-0.331444,400,53.111547
0.092565,400,53.240572
0.38951,400,58.936593
0.761611,400,59.070093
-0.439822,400,59.244805
0.267032,400,59.373489
-0.592823,400,59.512756
0.254378,400,65.768765
0.302587,400,65.894922
-0.932366,400,66.022423
-1.276367,400,66.170912
-0.269185,400,66.301782
00,11.702401
0.134152,400,11.872921
-0.476862,400,11.994726
0.22448,400,12.121481
-0.377367,400,12.244182
0.008643,400,12.728463
0.413542,400,12.90241
-1.267995,400,13.029761
-0.666977,400,13.155943
0.141561,400,13.278912
-0.658681,400,13.740933
-0.939991,400,13.913045
-0.121091,400,14.042785
0.046707,400,14.164587
-0.033782,400,14.288891
-0.895928,400,14.864755
-0.878734,400,15.069419
0.199349,400,15.253947
0.122991,400,15.434953
0.321965,400,15.584849
0.229196,400,16.057886
-0.285339,400,16.301314
-0.013768,400,16.483372
10.12376,214,16.586823
-0.070591,400,17.395319
0.001022,400,17.541762
-0.866351,400,18.080266
0.435454,400,18.249526
-0.851908,400,18.389528
-1.191334,400,18.567589
-1.060098,400,18.709748
-0.648167,400,19.264814
0.303142,400,19.449179
-0.475636,400,19.644016
-1.215338,400,19.889197
0.309074,400,20.062884
0.286995,400,20.835509
0.067577,400,21.060949
-0.896385,400,21.240024
0.337696,400,21.415189
-1.38461,400,21.59641
-1.519853,400,22.337139
0.269345,400,22.562653
-0.468893,400,22.710814
0.213965,400,22.865623
-0.76041,400,23.015981
-0.409507,400,23.15924
10.094914,48,23.590617
0.087585,400,23.790437
0.299438,400,23.934169
-0.765558,400,24.745322
-1.24106,400,24.902191
-0.050309,400,25.114859
-0.58948,400,25.895793
0.179165,400,26.078277
-0.716682,400,26.254976
-0.088544,400,26.41545
-0.427601,400,26.59362
-0.968226,400,27.32697
-1.091812,400,27.472615
0.31585,400,27.627935
-0.533265,400,27.806467
-0.363892,400,27.990986
-0.347197,400,28.669143
-0.777159,400,28.871733
-0.233427,400,29.011425
0.311855,400,29.15555
-0.010336,400,29.294157
0.356335,400,29.889662
0.159019,400,30.089058
0.283656,400,30.274857
0.295099,400,30.443664
0.353863,400,30.640261
-0.489585,400,31.41133
0.243615,400,31.63134
0.269474,400,32.474176
-0.472845,400,32.624781
-0.51371,400,32.780047
-0.740685,400,33.542938
-0.332652,400,33.755489
-1.24648,400,33.946176
0.274219,400,34.120559
-0.167848,400,34.31229
0.336323,400,35.115355
0.343149,400,35.342182
0.457398,400,35.511057
-1.357306,400,35.697365
-0.994706,400,35.872263
-0.828866,400,36.474767
-1.168263,400,36.68104
-1.082105,400,36.828113
0.148827,400,36.980353
0.656956,400,37.137647
-0.641614,400,37.347359
-0.889211,400,37.927188
0.257611,400,38.071672
-1.314409,400,38.209733
-0.099732,400,38.366342
-0.948067,400,38.507829
-0.102531,400,39.102908
-0.854822,400,39.910813
-0.821962,400,40.048074
-0.43158,400,40.186981
0.301823,400,40.323762
0.086438,400,40.945445
-0.461589,400,41.103955
-1.034076,400,41.260466
-0.003286,400,41.405819
-1.028484,400,41.557184
-1.137192,400,42.170968
-0.729554,400,42.332296
-0.870275,400,42.471056
-0.247961,400,42.612432
-0.501256,400,42.75825
-0.476581,400,43.344305
