#{"t_start": 1754321532.4074707, "env_id": "None"}
r,l,t
0.009957,400,7.564099
-0.027256,400,7.768504
-0.04002,400,7.93508
-0.01624,400,8.093809
0.027337,400,8.247695
0.212606,400,15.189581
0.197871,400,15.333043
0.000103,400,15.45645
0.081236,400,15.590421
0.024689,400,15.744155
0.353361,400,22.424742
0.388946,400,22.594579
0.554421,400,22.772148
0.255613,400,22.904217
0.039472,400,23.056495
-0.156991,400,29.275908
-0.116311,400,29.390627
-0.197872,400,29.512803
0.585244,400,29.627562
-0.573803,400,29.748968
10.10102,246,35.522466
0.55915,400,35.658945
-0.34513,400,35.784034
-0.066671,400,35.90466
0.264834,400,36.024986
-0.059825,400,42.320035
-0.232558,400,42.447323
-0.189932,400,42.565847
-0.231314,400,42.68493
0.372314,400,42.805317
10.426142
0.563603,400,10.640106
-0.280173,400,10.878945
0.630956,400,11.026523
-0.230328,400,11.218442
-0.760572,400,11.862899
-1.184158,400,12.054659
-0.30312,400,12.20995
-0.772917,400,12.369552
-0.276038,400,12.535966
0.427274,400,13.181615
0.277428,400,13.41745
-0.656848,400,13.585294
0.034996,400,13.739856
-0.628532,400,13.882816
-0.739679,400,14.011595
-0.993124,400,14.656772
0.170089,400,14.791467
-1.550023,400,14.928514
-0.498059,400,15.058844
-1.223513,400,15.942159
-2.312538,400,16.556749
0.075713,400,16.733746
-1.171463,400,16.875115
-0.199581,400,17.016645
-0.135629,400,17.155648
-0.015399,400,17.724676
0.239487,400,17.954799
-1.276396,400,18.157546
-0.314234,400,18.324397
0.168554,400,18.522957
-0.693556,400,19.335716
9.895928,351,19.492445
-0.464234,400,19.646417
-0.700079,400,19.788439
-0.326447,400,19.93565
-0.910141,400,20.592658
-0.727833,400,20.771184
0.13143,400,20.909354
-0.175165,400,21.042599
-0.102028,400,21.195207
0.019518,400,21.750054
-0.570796,400,21.951335
-0.600586,400,22.090499
-1.193004,400,22.253637
-0.046448,400,23.292645
-0.026341,400,24.116097
0.309988,400,24.3015
-0.592216,400,24.44465
-0.928309,400,24.583916
-1.523218,400,24.72159
-0.186332,400,24.854871
-0.313882,400,25.499926
0.307393,400,25.645619
-0.445227,400,25.783937
-0.574867,400,25.917983
0.812273,400,26.047995
0.329253,400,26.598712
-0.862274,400,26.76883
-0.684334,400,26.905318
-0.429101,400,27.0403
9.957513,124,27.084157
-1.455767,400,27.587813
-0.461827,400,27.780108
-0.222074,400,27.923619
0.689287,400,28.065101
-1.149486,400,28.209664
-0.517405,400,28.344072
-1.455873,400,28.907161
-0.003632,400,29.056763
0.422917,400,29.797082
-1.092518,400,29.937879
9.995296,233,30.033264
-0.325734,400,30.604384
0.210042,400,30.784358
-0.561223,400,30.919732
-0.196221,400,31.055977
-0.658916,400,31.207244
-0.991784,400,31.798558
-0.925688,400,31.977571
-0.506013,400,32.106094
0.059236,400,32.24343
-0.169376,400,32.385323
-0.365025,400,32.88984
-1.090318,400,33.076952
-0.166774,400,33.20475
0.28222,400,33.341272
-0.671988,400,33.481223
0.613852,400,33.982527
-0.135765,400,34.182219
0.278281,400,34.3163
0.318078,400,34.453569
0.283741,400,34.590271
-1.517533,400,34.720804
-0.767611,400,35.26462
-1.116494,400,35.434627
0.113915,400,36.149848
-0.630654,400,36.281079
-1.881102,400,36.416549
-0.625358,400,37.115026
-1.497019,400,37.273978
-1.318543,400,37.419323
0.281541,400,37.586855
0.432878,400,37.851149
-0.430848,400,38.489005
0.275217,400,38.653173
10.069683,400,38.812312
-0.908935,400,39.013484
0.157397,400,39.190897
-0.030647,400,39.792673
-1.022643,400,39.958244
-0.873123,400,40.101304
-0.921732,400,40.230088
-0.225025,400,40.359902
0.149395,400,40.87461
-1.512413,400,41.050171
-0.899588,400,41.187744
-1.306799,400,41.317179
-0.370987,400,41.442541
-0.149256,400,41.980222
-0.834393,400,42.167063
-0.545508,400,42.932492
0.295435,400,43.065037
0.166537,400,43.197695
0.123203,400,43.695333
-0.43828,400,43.881977
-0.741528,400,44.018713
-0.603924,400,44.147316
0.383134,400,44.282615
0.410073,400,44.792042
-0.817263,400,44.983544
0.134436,400,45.113432
0.104402,400,45.250638
0.472585,400,45.37938
-0.206778,400,45.541051
-0.656001,400,46.17644
-0.373748,400,46.313958
-0.211463,400,46.443742
-0.239148,400,46.623947
0.50105,400,46.911569
-0.245428,400,47.888874
-0.1056,400,48.158337
-0.126869,400,48.416424
0.062526,400,48.681254
-1.072199,400,48.95371
-0.689883,400,49.756058
