#{"t_start": 1754319490.5545774, "env_id": "None"}
r,l,t
0.008065,400,4.782102
-0.029356,400,4.950567
0.182468,400,5.113684
-0.036079,400,5.27887
0.242498,400,5.440524
0.340314,400,12.240223
0.400819,400,12.413137
0.35872,400,12.588762
0.022244,400,12.75257
10.032358,400,12.914018
0.467197,400,19.816175
0.029648,400,19.978812
0.035815,400,20.144078
0.109152,400,20.313369
0.100608,400,20.474074
0.166802,400,27.298936
0.190832,400,27.462529
0.127401,400,27.625056
0.424728,400,27.789615
0.219752,400,27.966288
0.5661,400,34.720302
0.456271,400,34.884453
0.321821,400,35.047564
-0.748126,400,35.212369
0.383887,400,35.378609
10.008522,151,42.070065
0.351131,400,42.245603
-0.874364,400,42.417466
0.424419,400,42.580838
0.480334,400,42.745595
0.325267,400,49.494265
0.629631,400,49.661345
-0.931236,400,49.829385
-0.633555,400,50.0008
-1.01122,400,50.168603
.287271
-0.82163,400,8.880967
-1.38478,400,9.068002
-0.677972,400,9.272372
-0.583121,400,9.460195
0.925543,400,9.639443
0.19802,400,10.208001
-0.475708,400,10.406928
-0.20677,400,10.583485
0.525199,400,10.76459
-0.653704,400,10.947659
-0.101475,400,11.491426
0.323233,400,11.678445
-1.25681,400,11.857569
0.428646,400,12.039537
-0.643327,400,13.059188
-1.656803,400,13.631582
0.227429,400,13.825869
-0.233192,400,14.008473
0.499807,400,14.189466
0.015938,400,14.369638
0.045889,400,14.935539
0.415797,400,15.129507
10.098914,137,15.193294
-0.618507,400,15.385347
0.5251,400,15.566798
-0.542616,400,15.768575
-1.072288,400,16.327123
-0.886129,400,16.518505
-0.501391,400,16.701421
-0.332209,400,16.895134
-1.013977,400,17.077561
-0.838545,400,17.746641
-0.913614,400,17.978608
0.144354,400,18.177569
0.797134,400,18.364676
0.29686,400,18.552042
-0.325882,400,19.11867
-0.694244,400,19.315358
-0.30021,400,19.492878
-1.752712,400,20.502582
-0.461729,400,20.687693
-0.200602,400,21.252377
0.135531,400,21.448508
-1.637627,400,21.631178
-1.893928,400,21.817487
-0.804851,400,22.003392
-1.007582,400,22.579917
0.296515,400,22.77329
-0.493117,400,22.952397
-1.326864,400,23.136667
0.288528,400,23.314584
0.843189,400,23.887844
0.224575,400,24.090649
-1.501531,400,24.275233
-0.322861,400,24.461808
-1.728161,400,24.679685
-1.316153,400,24.859463
-1.207786,400,25.444934
0.298702,400,25.635688
-0.584893,400,25.833848
-0.384689,400,26.02378
-0.715119,400,26.208575
-0.228336,400,26.78197
0.142841,400,26.979914
0.334889,400,27.992629
9.831742,193,28.084597
-1.130982,400,28.264127
-0.07206,400,28.810534
0.364132,400,29.014605
-0.704826,400,29.203981
0.310489,400,29.386374
-0.773605,400,29.570237
-0.304639,400,30.137905
-1.042543,400,30.353062
-0.117975,400,30.53123
-0.394891,400,30.71827
-0.207118,400,30.899774
-0.344615,400,31.080877
-1.087286,400,31.665135
-0.43487,400,31.846457
0.053852,400,32.028152
0.315949,400,32.211301
0.081441,400,32.406564
0.304708,400,32.974472
-0.181576,400,33.156902
-0.332652,400,33.33675
-0.214109,400,33.532319
-0.184382,400,33.715096
-0.498,400,34.269753
-0.131849,400,34.454622
0.262162,400,35.494156
0.122551,400,35.690448
-0.24328,400,35.873114
-0.761563,400,36.468821
0.012966,400,36.656842
-1.117575,400,36.84837
-0.138542,400,37.032536
0.019587,400,37.21359
0.388893,400,37.769806
0.252224,400,37.968935
0.307304,400,38.150747
-1.472431,400,38.337674
-0.901625,400,38.527467
-0.885515,400,39.09751
-0.949499,400,39.29351
0.081606,400,39.475241
0.190936,400,39.659594
0.113564,400,39.843674
-0.473607,400,40.423599
0.289896,400,40.620552
-1.104821,400,40.803676
-0.339063,400,40.984096
-1.044386,400,41.189434
0.1094,400,41.736775
-0.839453,400,41.936503
0.21574,400,42.861485
-0.764676,400,43.045648
0.337995,400,43.232863
-0.066746,400,43.428017
-1.260137,400,43.996997
-0.396593,400,44.179244
-0.816811,400,44.357799
-0.110349,400,44.551356
-0.203013,400,44.734572
-1.082124,400,45.313265
-0.512862,400,45.503696
-0.897467,400,45.697488
-0.57183,400,45.881516
-0.260582,400,46.060076
-0.197948,400,46.624916
0.405319,400,46.816543
0.321555,400,46.995764
0.282137,400,47.178098
-0.337647,400,47.360823
-0.436061,400,47.937486
0.076145,400,48.125738
0.351458,400,48.305733
-0.053541,400,48.490005
-0.038091,400,48.673637
-0.628078,400,49.240433
-1.348633,400,50.291868
