#{"t_start": 1754318281.5067253, "env_id": "None"}
r,l,t
-0.097817,400,7.245701
-1.131226,400,7.454168
0.504726,400,7.634853
0.257654,400,7.804317
0.351056,400,7.971602
0.46084,400,15.478654
0.575071,400,15.645053
0.611712,400,15.806134
-0.644494,400,15.972887
0.275273,400,16.144921
-0.955802,400,23.992476
0.33017,400,24.154902
0.348266,400,24.323547
-1.191818,400,24.496104
0.340668,400,24.659029
0.039568,400,32.204998
-0.119718,400,32.374493
0.283965,400,32.556693
-0.186111,400,32.732891
0.354657,400,32.893744
-1.124096,400,40.665719
-0.350864,400,40.827353
-0.782528,400,40.985615
-0.814969,400,41.154146
0.367743,400,41.33752
-0.013103,400,48.959253
0.422715,400,49.138519
-0.024192,400,49.306786
0.097188,400,49.475365
-0.015151,400,49.647577
0.55057,400,57.207948
9.986402,174,57.281474
-0.070245,400,57.453424
0.46314,400,57.637042
-0.406997,400,57.812288
0.469077,400,65.499066
-0.020092,400,65.68963
0.13392,400,65.860777
-0.198619,400,66.042944
0.341912,400,66.217489
0.086237,400,73.465034
-0.0496,400,73.630483
0.095754,400,73.79726
0.459299,400,73.959331
-0.520934,400,74.118275
-0.135963,400,81.779356
0.562073,400,81.940804
0.204971,400,82.117587
0.496978,400,82.283989
0.533365,400,82.45044
5.147954
0.036679,400,16.178683
10.073039,85,16.2223
-0.950971,400,16.892965
-0.843144,400,17.159988
-0.982853,400,17.36336
10.044771,73,17.403514
-0.6215,400,17.597006
-0.509342,400,17.801339
-0.156373,400,18.599663
-0.611272,400,18.820814
-0.625987,400,19.02415
0.286524,400,19.2142
-0.021277,400,19.420389
-0.663183,400,20.173322
-0.513328,400,20.37583
-1.195445,400,20.580026
-0.663478,400,20.765732
0.185053,400,20.965206
0.346885,400,21.148068
-0.696282,400,21.877676
-1.195793,400,22.059471
0.021915,400,22.243415
-0.977583,400,22.431605
-0.607512,400,22.621338
-0.316016,400,23.299416
-0.077533,400,23.493052
0.235756,400,23.726391
-0.062281,400,24.772017
-0.758848,400,24.961965
-0.431621,400,25.633747
-0.006554,400,25.812098
-0.082626,400,26.007804
-0.114759,400,26.18968
0.045598,400,26.370874
0.249819,400,27.156402
-1.769674,400,27.383219
0.256075,400,27.590318
0.206611,400,27.777006
-1.175041,400,27.961823
0.145857,400,28.688914
0.318966,400,28.877903
-1.434815,400,29.063501
-1.238703,400,29.256612
-0.399031,400,29.444457
-0.340531,400,30.11666
-0.752874,400,30.314158
-0.833776,400,30.508009
-0.974827,400,30.688801
-0.553497,400,30.869863
-0.642826,400,31.543257
-0.087008,400,31.751033
-0.221648,400,31.957783
-0.329184,400,33.006037
0.270146,400,33.187706
-0.755302,400,33.866113
0.323741,400,34.091118
0.060194,400,34.297017
-0.382874,400,34.491416
-0.092942,400,34.675057
0.370192,400,34.88176
-0.640875,400,35.532848
-1.509113,400,35.717798
0.218583,400,35.92025
-0.35721,400,36.104224
-0.286717,400,36.28385
0.313707,400,37.020007
-1.282236,400,37.261281
-0.271413,400,37.455834
-0.966793,400,37.659154
-0.456776,400,37.882155
0.105754,400,38.659357
0.221546,400,38.86062
-0.201724,400,39.053593
0.186684,400,39.267799
-0.627844,400,39.459599
-0.532803,400,40.205532
-1.391034,400,40.418867
0.221533,400,41.467919
-0.01078,400,41.654719
-0.673354,400,41.834379
0.060101,400,42.552447
0.104235,400,42.745145
0.222149,400,42.927215
-1.456822,400,43.109571
-0.597001,400,43.295795
-0.006145,400,43.996172
-0.101143,400,44.189674
0.26641,400,44.381364
-0.666948,400,44.572023
0.27259,400,44.783129
-0.536749,400,45.46673
0.055566,400,45.665152
-0.870152,400,45.860932
0.145775,400,46.041289
0.537096,400,46.218322
-0.490065,400,46.841769
0.11734,400,47.067418
-0.490729,400,47.300901
9.95368,351,47.471956
-0.626066,400,47.670805
0.23522,400,47.874568
0.323928,400,48.677282
-0.478459,400,49.739849
-0.429355,400,49.934814
0.217747,400,50.131591
10.112567,84,50.178383
-0.208278,400,50.377604
-1.121502,400,51.081421
-1.300665,400,51.273905
0.271297,400,51.476823
0.256813,400,51.659756
-0.878269,400,51.840561
0.171237,400,52.559846
-0.440233,400,52.749178
-0.705003,400,52.932745
0.112786,400,53.114976
0.074065,400,53.29637
-0.784722,400,54.037648
0.314683,400,54.226635
-0.362092,400,54.408085
-0.177767,400,54.615391
0.237598,400,54.812155
-0.523226,400,55.490942
0.226758,400,55.700466
10.407368,231,55.805954
0.393568,400,55.988819
0.133142,400,56.168763
-1.103226,400,56.851652
-0.616162,400,57.863974
0.053821,400,58.082903
0.053433,400,58.279247
-0.755825,400,58.459589
-0.990106,400,58.648527
-0.093769,400,59.354738
0.269753,400,59.533568
0.223468,400,59.711358
0.378549,400,59.89068
0.326391,400,60.082107
0.029027,400,60.755457
0.254746,400,60.93507
-0.571723,400,61.116511
-0.023519,400,61.31034
-0.530103,400,61.4905
-0.724932,400,62.171969
0.085386,400,62.378691
10.052732,84,62.419962
-0.917041,400,62.605293
0.347993,400,62.795429
0.103953,400,62.983751
0.37516,400,63.68659
0.278833,400,63.876346
-0.208904,400,64.053789
-0.083298,400,64.232939
0.111052,400,64.44852
0.233776,400,66.309622
-0.056132,400,66.507033
0.328091,400,66.696574
-0.147949,400,66.883571
0.337742,400,67.066683
-0.103267,400,67.882477
0.214545,400,68.10062
0.22355,400,68.29404
10.195958,161,68.37148
-0.271747,400,68.561216
-0.070088,400,68.750493
-0.143819,400,69.587376
-0.78196,400,69.788668
-1.014062,400,69.987374
0.264959,400,70.191383
0.317982,400,70.388312
0.120323,400,71.10326
10.626582,400,71.301348
-0.109117,400,71.479635
0.197226,400,71.662269
0.437808,400,71.841106
0.173011,400,72.533024
0.384078,400,72.713681
-0.457266,400,72.895967
10.447925,178,72.974123
0.065688,400,73.154457
-1.141344,400,74.178726
0.115896,400,74.860044
-0.095288,400,75.043273
-0.336809,400,75.22287
10.224178,243,75.336954
-0.250466,400,75.538307
-0.055032,400,76.195446
-0.757033,400,76.382037
-0.360519,400,76.565824
0.159009,400,76.763304
0.219106,400,76.943208
0.230672,400,77.812613
0.009783,400,78.034326
-0.297576,400,78.248778
0.366054,400,78.441309
10.0067,297,78.579991
0.396283,400,78.775531
10.115007,87,79.360261
0.21212,400,79.572125
-0.353513,400,79.760399
10.129088,95,79.805424
-0.346674,400,80.006543
-0.298176,400,80.19514
-0.532711,400,80.864095
-0.008524,400,81.09172
-0.576152,400,81.269448
-0.113083,400,81.446999
-0.138841,400,82.468794
