#{"t_start": 1754318198.209882, "env_id": "None"}
r,l,t
-0.15088,400,6.743748
-1.005299,400,6.922881
0.257346,400,7.089205
-0.105435,400,7.254246
0.569876,400,7.421194
0.418277,400,14.746703
0.376945,400,14.913447
0.245411,400,15.079219
-0.054586,400,15.243881
10.065679,67,15.273049
0.065919,400,22.249324
0.115315,400,22.434898
0.546072,400,22.604423
-0.225908,400,22.783357
0.005666,400,22.959377
0.320335,400,29.857165
0.179857,400,30.050916
0.56194,400,30.251873
-0.302871,400,30.42434
-0.302248,400,30.587864
0.393746,400,37.418638
0.136454,400,37.582579
0.038969,400,37.772544
-1.067239,400,37.937476
0.070167,400,38.10238
0.301066,400,45.249333
-0.740487,400,45.437075
0.211077,400,45.6021
-0.39598,400,45.767542
0.378818,400,45.93451
0.575611,400,53.037931
-0.097282,400,53.22775
-0.227132,400,53.398236
-0.691825,400,53.569975
-0.154443,400,53.742811
0.49771,400,60.69952
0.490067,400,60.8827
0.407819,400,61.054265
0.355569,400,61.216758
0.130669,400,61.382208
0.557137,400,67.799019
0.39238,400,67.961797
11.028431,324,68.095437
0.949491,400,68.255058
0.477922,400,68.419049
0.582189,400,75.619645
0.295018,400,75.815217
0.780227,400,76.005112
0.047571,400,76.181888
-0.142464,400,76.355035
00,15.479568
-1.247997,400,16.035531
0.188822,400,16.22067
-1.424543,400,16.405394
-0.39306,400,16.584123
-0.186049,400,16.772811
0.087243,400,17.336556
0.390012,400,17.516328
-1.246148,400,17.703705
-0.561967,400,17.903377
0.574799,400,18.092273
-0.69851,400,18.644869
-0.964774,400,18.847297
-0.199067,400,19.049736
0.056907,400,19.241059
-0.139907,400,19.425449
-0.845307,400,19.995742
-0.620783,400,20.256499
0.280968,400,20.474688
0.308664,400,20.666857
0.308316,400,20.862173
0.214415,400,21.503325
-0.268752,400,21.705503
-0.441397,400,21.903615
-0.733307,400,22.093507
0.386388,400,23.175973
-0.056978,400,23.752719
0.292507,400,23.987947
-0.271465,400,24.187217
-0.920979,400,24.390127
-0.883028,400,24.587558
-0.366211,400,25.141463
0.309985,400,25.337642
0.219598,400,25.519727
-0.933609,400,25.720027
0.326904,400,25.905361
0.302874,400,26.087994
0.263342,400,26.666365
0.121131,400,26.863096
-0.425145,400,27.04266
0.390149,400,27.225403
-1.074408,400,27.401173
9.779598,209,27.881374
0.371547,400,28.07495
-0.656914,400,28.279649
0.30129,400,28.462937
-0.434467,400,28.651537
0.137595,400,29.226711
0.230853,400,29.430434
0.361498,400,29.614957
-0.584844,400,30.706055
-0.505214,400,30.902979
0.10323,400,31.45089
0.20586,400,31.647678
-0.516671,400,31.827511
-0.072487,400,32.011478
-0.581047,400,32.196706
-0.153077,400,32.726616
-0.781121,400,32.924494
0.337697,400,33.108992
-0.386396,400,33.337338
-0.027457,400,33.519106
-0.328504,400,33.69993
-0.825185,400,34.317884
-0.351708,400,34.536045
-0.191087,400,34.720873
0.326777,400,34.902539
-0.091006,400,35.088639
0.298853,400,35.670903
0.173288,400,35.859934
0.305826,400,36.044831
0.327061,400,36.226505
0.376311,400,36.418163
-0.352436,400,36.988528
0.156971,400,37.179409
0.317089,400,38.228309
-0.242721,400,38.434552
0.073984,400,38.63138
-0.490562,400,39.214522
-0.205663,400,39.415489
-1.391595,400,39.602509
0.187959,400,39.781141
-0.556166,400,39.989866
0.292765,400,40.624757
0.349164,400,40.83353
0.388452,400,41.057186
-1.607531,400,41.253267
-0.609387,400,41.444755
-0.661818,400,42.072179
10.064343,233,42.190938
-0.265692,400,42.387147
-0.234372,400,42.575935
0.352993,400,42.762998
-0.513488,400,42.951802
-1.404182,400,43.565947
0.194629,400,43.754888
10.037472,62,43.783561
-0.133116,400,43.969338
-1.003441,400,44.152339
0.062717,400,44.362275
-0.317399,400,44.9498
-0.489428,400,46.005387
-0.765158,400,46.188371
-0.699944,400,46.374288
0.285086,400,46.572299
0.640009,400,47.157156
-0.456191,400,47.347179
-0.384739,400,47.53327
0.296235,400,47.734936
-0.38973,400,47.915848
-0.928018,400,48.450116
0.045463,400,48.644232
-0.615546,400,48.857223
-0.182618,400,49.039586
0.214228,400,49.220866
-0.45956,400,49.782075
0.302644,400,50.001689
0.344339,400,50.224662
0.293001,400,50.43412
0.35975,400,50.63602
-0.010206,400,51.307804
0.489545,400,51.516608
0.280722,400,51.70655
0.176188,400,51.897115
-0.004492,400,52.114056
-0.263473,400,52.714065
-0.931514,400,53.810541
0.308169,400,53.998371
0.214554,400,54.183672
0.337416,400,54.388557
-0.767874,400,54.991271
-0.427156,400,55.19137
0.0675,400,55.390701
0.043712,400,55.581415
0.249067,400,55.782942
-0.271392,400,55.9683
0.33572,400,56.53898
0.170156,400,56.721781
0.222189,400,56.903521
-0.698937,400,57.085703
0.295048,400,57.264065
0.321174,400,57.829886
0.487968,400,58.010755
0.050331,400,58.197419
0.299443,400,58.380746
0.349421,400,58.569836
-0.356805,400,59.217621
0.304632,400,59.409487
-0.599533,400,59.590164
10.054177,51,59.61374
0.397725,400,59.819365
0.399149,400,60.006354
0.234414,400,61.47668
0.323007,400,61.659864
0.175031,400,61.839828
0.320162,400,62.042077
0.124486,400,62.222576
0.653384,400,62.784274
0.245766,400,62.968371
0.416757,400,63.173747
-0.075932,400,63.352528
0.366528,400,63.532332
10.135061,187,63.617244
-0.092837,400,64.226049
0.077144,400,64.407647
0.44061,400,64.587546
-0.578318,400,64.771039
0.370626,400,64.949524
10.197015,354,65.530076
0.30327,400,65.722632
0.422308,400,65.906558
10.263848,305,66.046391
0.079646,400,66.230232
-1.366019,400,66.800743
0.400446,400,66.992318
-0.747778,400,67.173423
0.015159,400,67.354166
0.425497,400,67.554858
-0.2472,400,68.922935
0.153898,400,69.188025
-0.746949,400,69.403019
-0.254828,400,69.59444
-0.026299,400,69.780152
-0.134782,400,70.413252
0.708296,400,70.641765
-0.786527,400,70.858819
-0.579696,400,71.060992
0.343022,400,71.256337
0.065233,400,71.450802
9.743287,260,72.032273
0.417126,400,72.228282
0.400609,400,72.41649
-0.105369,400,72.604323
-0.25913,400,72.795253
10.877563,211,73.309552
0.324754,400,73.510376
0.232043,400,73.691975
-0.652277,400,73.88015
-0.105206,400,74.082716
0.457247,400,74.266084
0.447681,400,74.839067
0.358367,400,75.022889
0.363782,400,75.21797
-0.221742,400,75.401711
-0.107061,400,76.499015
