#{"t_start": 1754391809.973799, "env_id": "None"}
r,l,t
0.132716,400,5.178973
-0.171813,400,5.303188
-0.012463,400,5.422904
-0.05458,400,5.541292
0.595104,400,5.660686
0.540877,400,11.364409
0.513833,400,11.479562
0.375266,400,11.595414
0.053908,400,11.711974
-1.276659,400,11.831934
0.204071,400,17.707221
0.140825,400,17.82739
0.360613,400,17.944385
-0.02494,400,18.067044
0.198066,400,18.190147
-0.263484,400,23.879979
-0.366485,400,23.994256
0.476003,400,24.128716
-1.696694,400,24.257157
-1.917605,400,24.385881
0.314613,400,30.20716
0.226239,400,30.335895
-1.017897,400,30.450093
-0.18723,400,30.598765
-1.320495,400,30.737176

0.165408,400,6.354903
-0.149702,400,6.493831
-0.865779,400,6.620897
0.073176,400,6.757149
-0.291889,400,7.241942
0.28159,400,7.415721
0.278915,400,7.552073
0.172173,400,7.695426
0.251913,400,7.833059
-0.397032,400,8.36722
-1.516104,400,8.599548
0.289207,400,8.751152
-0.62803,400,8.878711
0.420172,400,9.008997
0.495394,400,9.522571
0.303439,400,9.715039
-0.610145,400,9.88268
0.089251,400,10.02924
-0.470339,400,10.166539
-0.002194,400,10.306039
-0.227752,400,10.850353
0.392961,400,10.997107
-0.583737,400,11.123595
0.301212,400,11.258983
-0.327364,400,11.984657
-1.081199,400,12.508177
0.267641,400,12.656492
-0.08516,400,12.796115
-0.0356,400,12.93001
-0.019131,400,13.070059
0.280912,400,13.580814
0.328246,400,13.73617
-0.389373,400,13.863804
-1.243619,400,13.998126
0.256986,400,14.127382
-0.417871,400,14.666347
-0.984878,400,14.829998
-0.128061,400,14.970766
0.443009,400,15.105707
-0.047709,400,15.255717
-0.212592,400,15.895578
-0.142508,400,16.082657
0.115837,400,16.22021
0.25171,400,16.350954
0.287473,400,16.512834
0.28506,400,17.142476
0.006073,400,17.321218
-0.096273,400,17.4514
-0.386039,400,17.596421
0.197468,400,18.332397
10.475722,240,18.412609
-0.160638,400,19.009544
0.268405,400,19.154544
-0.431477,400,19.29629
-0.565448,400,19.434498
-1.243264,400,19.568737
-0.516931,400,20.107977
0.390975,400,20.263375
0.12245,400,20.397682
-0.393561,400,20.529794
0.293924,400,20.657577
0.26351,400,21.205082
0.171553,400,21.377975
-0.447323,400,21.505477
0.235691,400,21.642341
-1.315991,400,21.776861
-1.253641,400,22.31406
0.264724,400,22.487284
-0.75791,400,22.61721
0.060289,400,22.75006
-0.269511,400,22.882419
-0.130824,400,23.409365
0.196386,400,23.580999
0.264621,400,23.711882
-0.472599,400,24.486158
-0.713822,400,24.636796
-0.830473,400,25.144863
0.297412,400,25.330349
10.108789,185,25.406541
-0.715019,400,25.537051
-1.020079,400,25.66962
-0.225719,400,25.797913
-1.652036,400,26.320328
-0.666995,400,26.497048
0.332561,400,26.627281
-0.396364,400,26.770296
0.076258,400,26.904743
-0.817394,400,27.416221
-0.440366,400,27.594247
-0.704293,400,27.729264
0.255305,400,27.865506
0.224463,400,27.990896
0.244312,400,28.49608
0.34399,400,28.681081
0.328106,400,28.823121
0.307629,400,28.963797
0.359574,400,29.140355
-0.102369,400,29.747445
10.604614,220,29.867875
0.313838,400,30.030275
0.354314,400,30.851772
-0.097039,400,31.00604
0.14879,400,31.144716
0.390687,400,31.775596
-0.781065,400,31.99112
-1.159912,400,32.187547
-0.569586,400,32.327011
0.22148,400,32.478574
0.288269,400,33.163034
0.376319,400,33.333577
0.378323,400,33.510464
-1.482784,400,33.670215
-0.387079,400,33.813985
-1.469109,400,34.412277
10.200791,101,34.464177
-1.115884,400,34.634493
