#{"t_start": 1754320090.3072827, "env_id": "None"}
r,l,t
0.012799,400,6.127621
-1.136695,400,6.290977
0.492294,400,6.413413
0.362679,400,6.528917
0.449595,400,6.657035
0.396837,400,13.273601
0.431033,400,13.413116
0.458746,400,13.549437
-0.640386,400,13.69585
-0.097464,400,13.833862
0.417361,400,21.540822
0.453127,400,21.657409
-1.132343,400,21.776129
0.451345,400,21.899189
-1.283287,400,22.084845
0.05077,400,29.53262
-0.183985,400,29.661467
0.277271,400,29.793254
-0.230945,400,29.926625
0.314898,400,30.051417
-1.106378,400,36.60378
-0.305509,400,36.733057
-0.745512,400,36.860989
-0.724318,400,37.00576
0.265805,400,37.153894
0.599884,400,43.606729
-0.761458,400,43.795706
0.094312,400,43.936992
0.49048,400,44.080389
0.590823,400,44.208898
0.766884,400,50.526025
-0.823692,400,50.638308
0.02627,400,50.752519
0.448057,400,50.865174
0.005214,400,50.981477
0.413996,400,59.447419
-0.385896,400,59.689776
0.090907,400,59.937419
-0.083229,400,60.190429
0.014719,400,60.431076
-0.008398,400,70.686618
-0.308265,400,70.818439
0.391282,400,70.944837
-0.294995,400,71.063083
0.675462,400,71.183307
0.086216,400,78.84364
0.605933,400,78.973238
0.496695,400,79.119045
0.284181,400,79.262011
0.968088,400,79.389709
935539
10.090702,66,13.959967
-0.534525,400,14.965796
-1.361591,400,15.179992
-1.496768,400,15.42227
10.055647,52,15.446898
0.274575,400,15.603829
-1.143097,400,15.740922
0.283387,400,16.414373
-0.835123,400,16.588143
-0.838462,400,16.746871
0.346331,400,16.907384
0.033971,400,17.085145
0.214463,400,17.949959
-0.440501,400,18.164597
-1.392809,400,18.326364
-0.492797,400,18.562515
0.183357,400,18.77144
0.376901,400,19.686637
-1.153919,400,19.892171
-0.285116,400,20.028629
-0.920642,400,20.15712
-0.645274,400,20.294116
0.616235,400,20.945625
0.065442,400,21.132425
0.173918,400,21.271809
0.157686,400,21.409166
-1.127342,400,22.232171
-0.575591,400,22.381043
-0.223437,400,23.211467
0.364413,400,23.355256
0.134732,400,23.490977
0.073119,400,23.63291
0.224865,400,23.820843
0.225769,400,24.727294
10.157943,85,24.768255
0.29332,400,24.913394
0.088351,400,25.069186
-1.052666,400,25.208447
0.370621,400,25.345403
-0.090906,400,26.159562
0.309583,400,26.301856
-1.381781,400,26.444204
-1.070186,400,26.582015
-0.249843,400,26.716233
-0.659566,400,27.427503
-1.10946,400,27.573302
-0.943675,400,27.710129
-0.931085,400,27.842999
-0.472737,400,27.979465
-0.202846,400,29.045224
-0.22621,400,29.221223
-0.280368,400,29.411035
-0.473806,400,30.211529
-0.040735,400,30.368135
-0.614458,400,31.209114
0.307615,400,31.378693
0.240273,400,31.537445
-0.445622,400,31.667357
-0.039674,400,31.794367
0.363044,400,32.424992
-1.36489,400,32.600853
0.323243,400,32.737755
-0.401986,400,32.865928
-0.273193,400,32.995814
0.334521,400,33.619571
