#{"t_start": 1754401632.305665, "env_id": "None"}
r,l,t
0.040098,400,7.481819
10.368176,114,7.540221
0.36122,400,7.719021
10.670346,116,7.768116
-0.391551,400,7.936768
0.128112,400,16.488573
10.728146,119,16.553591
10.529795,86,16.596694
0.180935,400,16.770984
10.592677,78,16.799263
-0.004437,400,24.002656
0.257983,400,24.172252
0.590688,400,24.361212
10.419046,150,24.426068
10.967494,174,24.500724
10.465882,89,30.902103
0.457618,400,31.040462
-0.340608,400,31.176254
-0.18564,400,31.313211
0.415989,400,31.450001
0.403975,400,37.794353
10.379113,89,37.82497
-0.248333,400,37.959966
10.954556,172,38.01781
10.654205,93,38.046751
10.333862,91,44.294003
10.702755,156,44.350011
10.594408,48,44.367728
10.76121,140,44.422937
10.538761,135,44.469288
0.872845,400,6.59621
0.383729,400,6.798553
0.148603,400,6.995366
-0.455226,400,7.206453
10.298003,44,7.22936
10.483066,86,7.271264
0.234163,400,8.808712
0.049705,400,9.07132
10.647363,88,9.119389
-0.212315,400,9.323848
-0.047778,400,9.53259
0.213365,400,9.775735
10.590943,116,9.836746
0.402401,400,10.5892
0.376473,400,10.817476
-0.074654,400,11.017443
0.390783,400,11.21652
-0.27345,400,11.404088
10.773531,84,11.444922
0.189081,400,12.541657
10.156104,88,12.612356
-0.445488,400,12.838216
10.3532,105,12.889635
0.479148,400,13.123608
0.454856,400,13.35533
10.848211,168,13.440979
-0.453561,400,14.153371
0.412735,400,14.352175
-0.188715,400,14.559215
10.935199,167,14.643364
10.643312,152,14.72172
0.371658,400,14.929954
10.717192,162,15.010533
10.453201,46,15.033176
0.480925,400,15.680383
0.389233,400,15.874215
10.549186,50,15.900641
0.527417,400,16.111842
10.384996,94,16.15783
-0.293153,400,16.856977
10.638783,99,16.903153
10.367601,83,16.942641
10.554804,67,16.976613
0.461193,400,17.844185
0.471495,400,18.033955
10.6539,101,18.075901
-0.52825,400,18.241415
0.359094,400,18.402349
10.680707,115,18.449595
0.134941,400,19.092604
10.679785,135,19.173934
0.152865,400,19.349609
10.831253,86,19.378508
0.503005,400,19.535247
-0.333112,400,19.694037
10.573834,87,19.731342
10.715282,114,19.784445
10.710593,113,19.827538
10.899178,162,19.888256
0.049165,400,20.466366
10.544821,114,20.525656
10.686272,94,20.560991
0.40998,400,20.707706
10.620074,123,20.750681
10.519626,68,20.775895
-0.345796,400,20.931653
10.643432,79,20.958735
-0.24266,400,21.104495
-0.041721,400,21.798862
10.794106,86,21.853624
10.283007,93,21.895864
0.592087,400,22.084438
10.817769,136,22.137656
0.398737,400,22.315856
10.908351,192,22.397809
10.665564,112,22.439324
10.545522,147,22.496809
10.176187,95,22.527559
10.759257,160,23.104629
10.595731,86,23.180148
0.17607,400,23.423136
-0.412605,400,23.642807
0.003961,400,24.538637
-0.119876,400,24.736454
10.638162,76,24.771591
-0.263723,400,25.430707
0.271978,400,25.602231
-0.46603,400,25.748183
-0.603276,400,25.889071
10.512883,80,25.917143
10.575951,87,25.949407
10.763362,142,26.005155
10.796831,180,26.071891
10.886266,195,26.596663
-0.074296,400,26.802009
-0.389142,400,26.951511
0.396206,400,27.098742
-0.200948,400,27.242937
10.342512,137,27.291111
0.397344,400,27.917849
10.831184,156,28.003531
10.921038,182,28.160575
10.39206,130,28.213525
0.350861,400,28.357647
10.697119,82,28.386206
-0.051987,400,28.525687
0.521975,400,28.676462
-0.44686,400,29.287302
10.948825,178,29.380862
10.669041,100,29.419992
-0.868255,400,29.560193
0.397771,400,29.707803
0.012445,400,29.87025
-0.006772,400,30.451372
10.638432,59,30.483728
-0.353805,400,30.676038
-0.801914,400,30.819219
10.976422,93,30.851398
0.370277,400,31.588563
0.339647,400,31.73058
10.880827,188,31.79843
10.298359,92,32.307275
10.982009,95,32.359505
10.325346,87,32.40269
10.749542,86,32.445557
-0.393541,400,32.607812
-0.536059,400,32.754132
10.218826,95,32.792233
10.271049,142,32.856135
