#{"t_start": 1754321167.3453054, "env_id": "None"}
r,l,t
0.019251,400,8.297383
-0.022387,400,8.493431
-0.017245,400,8.683444
-0.008875,400,8.878289
0.066796,400,9.060226
0.325508,400,17.432436
0.322276,400,17.611448
0.04153,400,17.801244
0.100231,400,17.977605
-0.006985,400,18.153863
0.115914,400,26.39031
0.131945,400,26.617304
0.153721,400,26.92443
0.070914,400,27.131963
0.016975,400,27.324193
-0.01544,400,35.489358
0.01739,400,35.661271
0.34014,400,35.836334
-0.001247,400,35.999075
-0.170083,400,36.204994
0.067469,400,44.470115
-0.034499,400,44.749097
0.063684,400,45.014178
0.317985,400,45.286904
0.241049,400,45.556473
0.344544,400,53.206293
-1.025495,400,53.382908
-0.167526,400,53.554075
-0.788431,400,53.72221
0.427912,400,53.894558
0,11.456513
0.607464,400,11.686189
-0.449699,400,11.964672
0.635935,400,12.202171
-0.104802,400,12.428037
-0.759653,400,13.236006
-1.124981,400,13.486144
-0.464673,400,13.697247
-0.76595,400,13.925973
0.035944,400,14.16225
0.411393,400,14.90355
0.277279,400,15.16563
-0.627695,400,15.387884
0.017931,400,15.598428
-0.626334,400,15.789669
-0.72438,400,15.977531
-0.943479,400,16.633233
0.151199,400,16.827601
-1.615867,400,17.035404
-0.360778,400,17.245431
-1.194245,400,18.375781
-1.668284,400,19.004174
0.177989,400,19.198197
-1.069134,400,19.391249
-0.555598,400,19.588374
-0.065254,400,19.779544
0.000276,400,20.452892
0.039639,400,20.652395
-1.249658,400,20.863884
-0.174434,400,21.096587
0.222531,400,21.382371
-0.682299,400,22.084206
-1.083546,400,22.293416
-0.4002,400,22.491531
-0.469992,400,22.695146
-0.038862,400,22.982646
-1.274359,400,23.726347
-1.692206,400,23.964268
-0.438701,400,24.199295
0.406091,400,24.42066
-0.517546,400,24.647524
0.249909,400,25.356719
-0.989567,400,25.595393
-0.371237,400,25.823273
-1.808897,400,26.134973
0.000664,400,27.557619
0.220217,400,28.310059
0.161415,400,28.541203
-0.456379,400,28.774924
-0.591244,400,28.988814
-0.929981,400,29.211726
-0.312812,400,29.986801
0.611328,400,30.23564
-0.721486,400,30.435822
-1.278626,400,30.651835
0.27669,400,30.879538
0.608542,400,31.084933
0.274825,400,31.762541
-0.797945,400,31.974978
-0.852835,400,32.164197
-0.435138,400,32.396806
-2.024968,400,32.633413
-1.566308,400,33.413254
0.410851,400,33.616681
-0.537513,400,33.822107
0.274551,400,34.034374
-0.83838,400,34.234247
-0.261287,400,34.924483
0.151944,400,35.132444
0.306317,400,35.330658
-0.555831,400,36.423624
-0.981958,400,36.614869
-0.107971,400,37.32946
10.802007,388,37.587023
-0.243527,400,37.806141
0.008499,400,38.018259
-0.207941,400,38.233916
-0.713122,400,38.929265
-1.022639,400,39.146589
0.03122,400,39.337813
-1.299435,400,39.537261
0.001428,400,39.737155
-0.534171,400,40.472244
-0.814535,400,40.700875
-0.386481,400,40.96073
-0.413207,400,41.166285
-0.028063,400,41.374343
0.790888,400,42.069905
-0.014345,400,42.286495
0.587915,400,42.490109
0.545654,400,42.689197
-0.711385,400,42.895936
-0.56151,400,43.565832
0.130919,400,43.885977
-0.181852,400,44.195852
0.221466,400,45.863729
-0.527038,400,46.13678
-0.800558,400,46.352958
0.242864,400,47.019022
-0.276919,400,47.212894
-1.963916,400,47.422568
-0.302531,400,47.631198
-0.336292,400,47.841375
0.094645,400,48.49142
0.279581,400,48.68578
0.429833,400,48.879832
9.996204,94,48.928868
-1.007419,400,49.118271
-0.836029,400,49.307225
0.159429,400,49.96434
-1.018628,400,50.156692
-0.624159,400,50.346543
-0.082768,400,50.540962
0.193913,400,50.73995
-1.023405,400,51.418565
0.380833,400,51.609951
-2.502846,400,51.807204
-0.205868,400,52.013991
-0.912485,400,52.201845
0.110183,400,52.868704
-0.817939,400,53.958866
-1.020305,400,54.173117
-1.315515,400,54.379518
0.31135,400,54.581004
0.231097,400,55.23729
-1.540609,400,55.429395
10.328931,165,55.507531
-0.05491,400,55.693381
