#{"t_start": 1754403757.393945, "env_id": "None"}
r,l,t
10.492989,80,9.925176
0.332558,400,10.187017
0.039927,400,10.478273
10.36868,114,10.551833
0.356116,400,10.830163
10.727888,118,22.758147
10.527818,83,22.803403
0.186026,400,23.023898
10.585447,81,23.059647
10.391982,49,23.081564
10.523548,78,35.275413
-0.348375,400,35.481959
10.649049,82,35.518775
0.360524,400,35.696007
10.555785,61,35.724054
0.417077,400,46.669538
10.289555,92,46.710147
10.168106,101,46.752534
0.139773,400,46.933449
10.396724,114,46.981973
0.408022,400,57.42362
10.390381,84,57.460073
-0.227259,400,57.644189
10.957496,171,57.73207
10.65269,93,57.777218
10.76308,139,68.090605
10.542613,134,68.153856
-0.355022,400,68.333765
0.402705,400,68.511574
10.701807,121,68.572475
10.543017,81,78.845058
0.160854,400,79.050435
0.55315,400,79.237263
10.614698,86,79.276421
0.463556,400,79.463349
,400,9.751054
0.128061,400,11.028427
-0.375592,400,12.365222
0.096083,400,12.684596
10.642666,88,12.750985
-0.206007,400,13.04754
10.676367,295,13.274781
10.70978,83,13.340491
10.58405,124,13.431905
0.410681,400,14.832875
0.409934,400,15.109736
10.858497,212,15.256349
0.384656,400,15.541173
10.844819,141,15.640759
10.753505,91,15.706338
0.202539,400,16.010606
0.615068,400,17.26011
10.15612,88,17.3217
10.757172,138,17.403374
10.353539,104,17.465792
0.401866,400,17.736993
0.464165,400,18.018548
10.859653,167,18.133735
10.773631,132,18.235593
10.859125,173,18.364202
0.409832,400,19.802104
0.415905,400,20.007441
-0.185388,400,20.158899
10.93154,165,20.217836
10.636641,126,20.267582
10.714178,97,20.312214
10.714136,144,20.38525
-0.215685,400,20.57804
0.487902,400,21.951043
0.389129,400,22.187854
10.540068,51,22.217405
0.426453,400,22.430008
10.384988,104,22.479146
-0.261122,400,22.694663
0.059741,400,23.30333
10.365495,93,23.350517
-0.361431,400,24.69677
0.45951,400,24.973176
-0.422512,400,25.259304
10.694258,110,25.35139
10.698536,85,25.441561
-0.54021,400,25.916157
0.112686,400,27.769659
10.679804,128,27.865047
10.561365,77,27.915381
10.81926,86,27.978529
0.503767,400,28.272715
-0.337222,400,28.512631
0.240267,400,28.810019
10.684083,118,28.880191
10.696786,108,28.947343
10.929694,185,29.051284
0.05413,400,30.499204
10.549235,134,30.566851
0.27943,400,30.774418
0.377002,400,30.987953
10.619017,94,31.041169
-0.819656,400,31.235992
-0.361515,400,32.537501
-0.786437,400,32.762428
0.475001,400,33.098456
-0.09021,400,33.293941
0.421301,400,33.488348
0.385494,400,34.526651
10.528189,78,34.578835
10.783329,163,34.701823
10.279494,112,34.764417
-0.179069,400,34.971999
10.573385,109,35.026342
10.83624,88,35.070548
0.498458,400,35.810755
0.486172,400,36.024301
0.381972,400,37.413238
0.385282,400,37.699831
0.076942,400,37.912244
10.275536,103,37.9661
10.267901,101,38.021097
-0.15453,400,38.245138
10.816989,164,38.32898
0.034963,400,39.46251
0.451965,400,39.70804
-0.435658,400,39.94282
10.297451,277,40.081557
0.062304,400,40.283429
-0.322999,400,40.483337
-0.032742,400,41.749791
10.996592,187,41.848056
10.543916,70,41.882262
0.428729,400,42.113465
-0.084179,400,42.317438
0.127545,400,42.549426
10.117586,74,42.590022
-0.842931,400,43.944395
0.407022,400,44.149236
10.433662,109,44.211261
-0.505702,400,44.422012
10.587057,115,44.48106
-0.558181,400,44.676847
10.293127,186,44.768425
10.662143,114,44.825593
-0.361521,400,46.082423
10.91807,171,46.172918
-0.055187,400,46.370706
10.622938,95,46.419682
10.602364,82,46.467863
-0.806366,400,47.200417
10.754125,159,47.294634
-0.44658,400,47.507847
10.626613,98,48.494143
10.988926,94,48.552752
10.330991,76,48.599113
10.754088,85,48.650536
-0.398655,400,48.87761
10.642627,73,48.917615
10.218026,93,48.963136
10.286695,106,49.015037
0.510849,400,49.209118
0.402485,400,49.407196
0.393689,400,50.700989
10.478868,48,50.732668
0.388848,400,50.959737
-0.690571,400,51.185517
10.82032,139,51.260216
-0.039532,400,51.478646
10.410862,123,51.542082
0.636743,400,51.741928
10.596589,104,52.764494
0.148009,400,52.993172
0.147655,400,53.197537
0.407013,400,53.414514
10.682422,125,53.474652
0.606479,400,53.670826
10.512881,133,53.737623
-0.010737,400,54.92956
0.587518,400,55.138162
10.766478,224,55.254393
0.384426,400,55.463918
10.737695,251,55.599091
10.727638,133,55.670009
10.27525,95,55.715349
0.062817,400,56.85851
10.391964,48,56.890956
0.09171,400,57.136923
0.119482,400,57.886499
10.390798,110,57.945998
10.492962,80,57.984866
10.23966,91,58.030573
10.374598,166,58.113798
10.384423,46,58.136535
10.354509,118,58.194834
10.310946,120,58.253845
0.030476,400,59.374248
10.524506,49,59.401448
10.310421,178,59.514528
0.124062,400,59.720924
-0.468306,400,59.931936
-0.242912,400,60.134443
0.08675,400,60.331778
0.274062,400,61.466071
0.410324,400,61.677902
10.359105,129,61.755451
10.467008,48,61.784212
10.739417,139,61.859834
10.814478,172,61.953887
10.654797,131,62.031742
10.777567,124,62.0912
10.187341,86,62.133359
-0.016927,400,62.362727
0.197511,400,63.555633
10.62049,72,63.612224
10.523228,80,63.672345
10.436488,140,63.74645
-0.435697,400,63.956923
0.404491,400,64.154024
10.801916,151,64.230829
10.812324,85,64.271602
10.600298,96,64.320745
0.503364,400,65.526774
0.117939,400,65.783014
10.452492,111,65.85926
0.028785,400,66.056381
10.764576,168,66.134799
0.406503,400,66.325962
0.485143,400,66.518015
10.893523,178,67.637288
10.354377,117,67.730153
10.586663,83,67.801028
10.549964,87,67.854127
10.328762,89,67.89847
10.685737,158,67.989704
10.592001,49,68.603435
0.388652,400,68.842301
-0.461455,400,69.050241
-0.408419,400,69.268435
10.185775,93,69.317975
