#{"t_start": 1754403132.9699314, "env_id": "None"}
r,l,t
0.340218,400,7.276258
0.023497,400,7.442712
10.367858,115,7.487391
0.308777,400,7.62597
10.671428,118,7.665337
10.722649,119,18.856987
10.528798,84,18.910542
0.191385,400,19.170834
-0.721399,400,19.424673
10.395734,47,19.451058
0.038514,400,30.353987
-0.031108,400,30.543452
0.272225,400,30.746289
0.600431,400,30.962738
10.419362,122,31.034328
-0.72504,400,42.274364
0.418693,400,42.507145
10.287897,90,42.558272
10.170913,98,42.612872
10.262941,128,42.678255
0.404417,400,53.100448
10.38711,79,53.17209
10.72123,133,53.249863
10.94026,167,53.329231
10.618872,108,53.377425
10.31715,96,62.919839
10.343411,89,62.956568
10.38725,107,63.002508
10.131681,85,63.040511
0.552579,400,63.238268
0.143921,400,72.726598
0.178081,400,72.905095
0.551076,400,73.083043
0.278004,400,73.277029
0.516537,400,73.44968
10.754313,82,82.807018
10.65229,95,82.859896
0.513566,400,83.05016
10.196399,108,83.100083
-0.419641,400,83.295876
0.537021,400,91.824922
10.770118,158,91.891467
10.666154,78,91.926043
0.115286,400,92.101844
10.523563,118,92.154776
0.617035,400,101.451948
10.370177,305,101.582138
0.039519,400,101.767001
10.143495,86,101.802862
0.151566,400,101.979465
0.415133,400,111.386216
10.482714,91,111.425575
0.127833,400,111.60377
-0.665287,400,111.772996
10.114107,86,111.809146
.845666,173,13.947493
10.763923,128,14.055315
10.844115,179,14.166265
0.373021,400,15.508107
0.420842,400,15.777099
-0.200722,400,16.074662
10.919724,157,16.179683
10.617837,115,16.255551
10.712565,89,16.323134
10.720797,168,16.438531
-0.065675,400,16.702744
10.819608,93,17.842632
0.388063,400,18.095564
10.540392,49,18.128376
0.382942,400,18.388713
10.398057,69,18.433432
-0.459326,400,18.687456
0.059192,400,19.617606
10.367688,79,19.669391
10.56329,73,19.717181
0.463454,400,20.964722
0.474106,400,21.221164
10.658509,104,21.265993
10.657141,111,21.304936
10.697193,113,21.343376
10.678554,117,21.397147
0.114834,400,21.53448
10.52973,47,21.552928
10.892762,156,21.611128
10.772055,124,21.651973
-0.056408,400,22.795227
10.694253,126,22.909335
10.564,77,22.957235
10.832613,88,23.014684
0.519243,400,23.222604
-0.333491,400,23.39906
10.568086,112,23.449302
10.67174,126,23.506198
10.696083,106,23.553132
10.926201,170,23.628001
0.082255,400,25.078673
10.553947,135,25.154916
10.688163,86,25.193955
0.385558,400,25.376952
10.608702,93,25.425608
10.561013,51,25.454298
-0.343025,400,25.657969
10.639238,101,25.703517
-0.802326,400,25.882385
-0.030796,400,27.290698
10.805163,85,27.356574
10.28057,113,27.420925
0.58655,400,27.636816
10.804984,145,27.71311
0.361676,400,27.919689
10.914251,191,28.019876
10.665644,119,28.084925
10.540056,125,28.148799
10.174189,95,28.200242
10.752626,149,28.278897
-0.011382,400,29.642985
-0.797093,400,29.853639
0.19462,400,30.075158
-0.465875,400,31.243673
0.161185,400,31.500235
10.34847,129,32.877601
0.367968,400,33.135652
10.270989,100,33.187311
10.907118,139,33.262899
11.000843,99,33.315993
10.222468,276,33.460153
10.92504,95,33.509267
10.241814,137,33.587534
0.44777,400,33.801304
10.20269,109,33.860409
-0.212316,400,35.166223
0.429397,400,35.394974
-0.268225,400,35.606697
10.362392,45,35.633095
0.049391,400,35.833711
-0.316722,400,36.06744
-0.032206,400,37.305298
10.998116,182,37.427381
10.554366,69,37.471634
0.394288,400,37.676007
10.207475,81,37.717121
0.145991,400,37.915667
10.119506,79,37.954119
-0.862368,400,38.220239
-0.434938,400,39.517896
0.403387,400,39.791022
10.431278,101,39.844012
-0.510803,400,40.049434
10.591601,83,40.090542
10.649013,104,40.144672
10.335649,45,40.166601
10.701364,105,40.215584
10.737597,117,40.273954
0.385946,400,40.479768
10.634155,109,40.538029
10.672903,107,41.477388
10.923534,183,41.578553
-0.066327,400,41.767451
10.616824,90,41.818401
-0.690949,400,42.715709
10.807387,88,42.772025
10.751157,160,42.869184
10.731721,127,42.948989
10.612141,103,43.018668
10.914627,171,43.115944
10.48299,46,43.142299
10.877245,155,43.2255
0.536084,400,44.287038
10.978854,92,44.348774
-0.368941,400,44.563027
10.726672,84,44.603569
-0.406484,400,44.805001
-0.711011,400,45.027432
-0.520886,400,46.287263
-0.700155,400,46.532742
0.39382,400,46.746953
10.67961,111,46.814696
10.825235,140,46.929009
-0.031222,400,47.149141
10.414273,75,47.192768
0.619781,400,47.412647
10.666743,86,48.389938
0.132152,400,48.680022
0.157782,400,48.88993
0.436888,400,49.0914
10.713816,120,49.154866
0.597647,400,49.366544
