#{"t_start": 1754320970.4279022, "env_id": "None"}
r,l,t
0.124841,400,6.335924
-0.36012,400,6.456377
-0.003848,400,6.610296
0.268601,400,6.826136
0.297337,400,7.004877
0.643176,400,16.019917
0.620931,400,16.182641
0.341216,400,16.341772
0.249871,400,16.489298
0.558311,400,16.651901
-0.340823,400,24.824688
0.513405,400,24.976569
0.611096,400,25.142908
-0.513725,400,25.315192
0.608025,400,25.452291
-0.017676,400,32.883177
0.340024,400,33.017307
0.004586,400,33.146257
0.45431,400,33.282806
0.134893,400,33.421336
-0.249044,400,40.372884
0.078637,400,40.508235
0.383177,400,40.6454
-0.152991,400,40.766101
0.415116,400,40.889031
0.600581,400,49.290807
-0.193598,400,49.410339
0.25709,400,49.530918
0.461598,400,49.652229
0.602157,400,49.777889
0.662417,400,56.953115
-0.302222,400,57.112008
0.359345,400,57.262448
0.458156,400,57.42062
0.186555,400,57.632881
0.484178,400,64.472822
-0.540065,400,64.584671
0.400976,400,64.71519
0.319844,400,64.831437
0.025284,400,64.943743
,400,13.185735
-1.32752,400,13.422701
-0.598466,400,13.609557
-0.072722,400,13.776947
0.110727,400,14.002314
-0.576245,400,14.182676
-0.005792,400,15.261409
-0.136888,400,15.451028
0.724417,400,15.629705
-0.584516,400,15.857357
-0.475892,400,16.90174
-1.923441,400,17.839576
-2.023322,400,18.032265
-1.621686,400,18.175493
10.045841,75,18.203219
0.144683,400,18.350771
-1.551335,400,18.480442
-0.135689,400,19.275456
-0.426417,400,19.447368
-0.781765,400,19.613904
0.030285,400,19.818554
0.273145,400,20.033099
0.382691,400,21.031197
-0.682878,400,21.237317
-0.802617,400,21.405981
-0.618325,400,21.569883
-0.483177,400,21.718373
-0.068065,400,22.546923
-1.308912,400,22.725297
-0.265062,400,22.875884
-1.013653,400,23.022865
-0.628948,400,23.182568
0.897396,400,24.134763
0.050586,400,24.336099
-0.012469,400,24.494449
0.428955,400,25.497921
-0.934486,400,25.643324
0.221241,400,26.541879
0.07971,400,26.767451
0.461761,400,26.947847
0.473049,400,27.110384
-0.204437,400,27.26162
-0.061839,400,28.032859
-2.074644,400,28.22874
0.059799,400,28.365622
-0.160053,400,28.501857
-0.325182,400,28.640613
0.201229,400,29.445379
0.343153,400,29.636184
-1.711156,400,29.76888
-1.217759,400,29.896868
-0.588005,400,30.03415
-0.708354,400,30.828216
