#{"t_start": 1754317943.9773571, "env_id": "None"}
r,l,t
0.126711,400,7.20607
-1.071179,400,7.379474
0.52556,400,7.554641
0.412472,400,7.720047
0.461668,400,7.882432
0.398049,400,15.718613
0.425617,400,15.903606
0.416295,400,16.073848
-0.424699,400,16.244256
-0.16922,400,16.413784
-0.875829,400,24.349023
0.325681,400,24.525392
0.527066,400,24.712042
-1.147717,400,24.890365
0.524752,400,25.087856
0.163417,400,32.760733
-0.221937,400,32.935749
0.124594,400,33.098993
-0.141649,400,33.265976
-0.203063,400,33.447357
-0.729006,400,41.14962
-0.364763,400,41.33515
-1.458582,400,41.500235
-0.509007,400,41.692381
0.20378,400,41.872555
0.52135,400,49.750849
-0.782586,400,49.933632
0.091915,400,50.112159
0.098537,400,50.278499
0.523063,400,50.446459
0.776445,400,58.216251
-0.791118,400,58.399345
-0.060068,400,58.589936
0.413706,400,58.765583
-0.373775,400,58.950841
-0.817624,400,66.673279
-1.334848,400,66.852289
0.020582,400,67.058824
-0.290243,400,67.274965
-1.160494,400,67.480614
-0.073556,400,74.857895
-0.202115,400,75.035782
-1.524553,400,75.198958
0.289506,400,75.381259
-0.657389,400,75.604052
-0.227945,400,83.444217
0.536839,400,83.613918
0.502634,400,83.795803
-0.467745,400,83.977141
0.595058,400,84.150558
2
-1.368546,400,17.411891
-1.107633,400,17.60843
-0.937053,400,17.805778
10.058249,60,17.845201
-0.533235,400,18.068127
-1.175844,400,18.27112
0.311398,400,19.000187
-0.514888,400,19.211554
-0.83266,400,19.420553
0.290185,400,19.616431
0.452643,400,19.807145
0.259379,400,20.550579
-0.638662,400,20.744058
-0.992802,400,20.929886
-0.787162,400,21.123152
0.184785,400,21.31333
0.232121,400,22.010972
-1.188178,400,22.198506
-0.815539,400,22.380587
-0.759698,400,22.594081
-0.748249,400,22.805434
0.267888,400,23.619613
0.054538,400,23.862084
0.262729,400,24.066831
-0.112373,400,25.187728
10.078982,235,25.303048
0.132118,400,25.499139
-0.364116,400,26.271608
0.372107,400,26.47225
-0.045882,400,26.664112
-1.251046,400,26.84864
0.025702,400,27.066063
0.023006,400,27.791804
-1.95841,400,27.982453
0.186591,400,28.188691
0.35051,400,28.37856
-0.889659,400,28.561655
0.098748,400,29.3144
0.064094,400,29.512136
-1.236497,400,29.701733
-0.994889,400,29.882349
0.016737,400,30.074324
-0.758652,400,30.784695
-0.797488,400,30.97949
-1.296722,400,31.167448
-0.753251,400,31.372959
-0.647427,400,31.55149
-0.483077,400,32.212184
0.197152,400,32.409846
-0.344828,400,32.605272
-0.856923,400,33.667672
-0.133158,400,33.855389
-0.770438,400,34.5287
0.407364,400,34.731256
-0.334961,400,34.91536
-0.721053,400,35.12297
-0.094818,400,35.322362
0.319168,400,36.027447
-1.045544,400,36.256289
0.240302,400,36.454842
-0.431124,400,36.640835
0.086739,400,36.834139
0.245269,400,37.570918
-0.992986,400,37.76877
-0.202312,400,37.986947
-1.512701,400,38.197832
-0.785128,400,38.393591
0.593267,400,38.585108
-1.570881,400,39.336785
0.299311,400,39.522201
-0.137305,400,39.70771
-0.431816,400,39.893587
-0.973117,400,40.083166
-0.630726,400,40.796591
