#{"t_start": 1754392090.143428, "env_id": "None"}
r,l,t
0.141158,400,6.412222
-0.087551,400,6.525966
0.01108,400,6.640653
0.025651,400,6.751973
0.533669,400,6.861395
0.227721,400,12.697211
0.578288,400,12.806643
-0.24514,400,12.921848
0.055342,400,13.032308
-0.721722,400,13.145843
0.251503,400,20.603857
0.06993,400,20.743633
0.418411,400,20.882891
-0.196379,400,21.020089
0.088969,400,21.153762
0.099484,400,27.368177
0.0911,400,27.51149
0.514999,400,27.633983
-0.536356,400,27.757375
-0.827818,400,27.879217
0.535441,400,34.379756
0.227298,400,34.516468
0.168176,400,34.658768
10.32816,101,34.696487
0.155827,400,34.84423
0.499425,400,41.096186
-0.81496,400,41.23867
0.111539,400,41.374857
-0.503804,400,41.51864
0.455872,400,41.662496
0.462034,400,47.970238
0.084288,400,48.117437
-0.261141,400,48.25386
-0.346948,400,48.382498
-0.641997,400,48.523242
0.60392,400,55.420631
0.539148,400,55.540185
-0.012619,400,55.665287
-0.392461,400,55.792079
0.414032,400,55.940054
0.178312,400,62.001136
0.684209,400,62.153823
0.045626,400,62.287541
0.487416,400,62.415339
-0.040114,400,62.573608
-1.134643,400,69.410809
0.419447,400,69.529886
0.453216,400,69.658149
0.189175,400,69.778042
-0.64882,400,69.900839
-0.576047,400,77.925771
0.441402,400,78.15111
0.405863,400,78.354885
0.497464,400,78.558263
-0.325979,400,78.760844
0.453369,400,87.337494
-0.284447,400,87.535167
0.016505,400,87.736574
10.944331,190,87.838527
-0.065704,400,88.049663
0.493507,400,96.736463
-0.776131,400,96.941675
-0.368097,400,97.149035
0.063264,400,97.35673
0.268322,400,97.557346
0.521983,400,106.336734
0.502355,400,106.566014
-0.07426,400,106.772128
-0.292005,400,106.975899
-0.925007,400,107.182171
-0.337898,400,115.823645
-0.542659,400,116.032842
-0.057005,400,116.256122
-0.230718,400,116.467342
-0.249809,400,116.674607
0.316833,400,125.45794
-0.605458,400,125.674651
-0.847655,400,125.889341
0.160351,400,126.132952
0.500321,400,126.345622
0,22.274554
-0.656301,400,22.412027
-0.735681,400,22.563428
-0.526172,400,23.17772
-0.060743,400,23.345137
-1.185279,400,23.483002
-0.908855,400,23.644147
-0.07493,400,23.794806
0.352089,400,24.366759
0.104899,400,24.547091
-0.624424,400,24.691451
0.351822,400,24.84206
10.163825,75,24.868935
-0.670902,400,25.017366
-1.223938,400,25.598318
0.410342,400,25.763043
-0.151022,400,25.938602
0.137761,400,26.095797
-0.391161,400,26.250979
0.120826,400,26.862561
-0.016809,400,27.05076
0.125651,400,27.205399
-0.288929,400,28.012506
-0.7428,400,28.174235
0.143386,400,28.83382
0.22864,400,29.028342
10.27966,86,29.088355
-0.078992,400,29.293493
-1.153218,400,29.457303
-0.267966,400,29.633847
