#{"t_start": 1754402021.9950294, "env_id": "None"}
r,l,t
0.042099,400,6.727052
10.367512,114,6.767246
0.364507,400,6.919175
10.670227,117,6.956805
-0.389108,400,7.096656
0.126145,400,14.515741
10.727661,119,14.562924
10.527791,84,14.599025
0.183063,400,14.750804
10.586916,80,14.775775
3,400,1.5399
10.613736,85,1.571135
0.41072,400,1.72647
10.689173,150,1.789666
10.695336,117,1.833007
11.073128,97,1.86716
10.478355,46,1.884687
0.40744,400,2.031622
0.15746,400,2.653179
0.131538,400,2.947119
10.726413,252,3.068732
0.40518,400,3.262581
0.401094,400,3.498282
10.547029,143,3.552243
0.199369,400,4.366411
-0.414252,400,4.564041
0.40012,400,4.711032
10.84356,176,4.816521
0.124028,400,5.010493
10.565042,108,5.050974
-0.018874,400,5.75611
-0.863057,400,6.02689
0.384587,400,6.188842
0.148099,400,6.369228
-0.452645,400,6.534698
10.297154,44,6.553792
10.482945,86,6.585057
0.239928,400,7.900921
0.052244,400,8.136878
10.647127,88,8.167838
-0.211639,400,8.319536
-0.055958,400,8.521073
0.21219,400,8.704111
10.589086,116,8.755596
0.397908,400,9.553347
0.38356,400,9.721654
-0.073999,400,9.880641
0.391195,400,10.037913
-0.260164,400,10.200325
10.773083,84,10.23736
0.190763,400,10.928373
10.158502,89,10.971679
-0.431222,400,11.152512
10.35324,106,11.195663
0.440468,400,11.372426
0.453187,400,11.568782
10.847243,171,11.648343
10.772899,130,11.708415
10.878897,170,12.343405
0.376069,400,12.594183
-0.191866,400,12.829302
10.931303,160,12.904321
10.62786,118,12.959249
0.379937,400,13.142551
10.712123,134,13.190153
-0.07143,400,13.813716
0.401395,400,13.997639
-0.545909,400,14.154929
0.383399,400,14.304781
10.390202,89,14.335051
-0.484196,400,14.875849
10.619903,108,14.914359
10.369983,69,14.941559
-0.343366,400,15.607304
0.465605,400,15.827969
-0.414578,400,15.990385
10.702751,104,16.028255
10.698501,84,16.058167
10.683506,117,16.098811
0.117725,400,16.26569
10.531323,49,16.28682
10.897318,157,16.359154
10.751292,153,16.889007
10.703339,126,16.95802
10.572104,78,17.000036
10.823312,84,17.037584
0.508864,400,17.194178
-0.335682,400,17.347554
0.232335,400,17.513357
10.699995,114,17.554927
10.711942,103,17.589582
-0.328938,400,18.227352
10.554497,132,18.295219
10.69062,90,18.339949
0.386901,400,18.507661
10.622194,89,18.556444
10.565561,50,18.584642
-0.342031,400,18.742019
-0.528804,400,18.89641
