#{"t_start": 1754403429.139002, "env_id": "None"}
r,l,t
0.025929,400,9.97997
10.366828,120,10.0401
0.368523,400,10.237945
10.669748,117,10.298132
-0.419869,400,10.482143
0.131161,400,20.469749
10.729175,118,20.519684
10.530618,95,20.55945
0.179919,400,20.738723
10.601325,73,20.774737
0.095648,400,29.694167
0.266742,400,29.872367
0.634507,400,30.047051
10.419764,154,30.114104
10.962314,172,30.190741
0.430962,400,39.977895
10.465695,97,40.020972
0.522672,400,40.206512
-0.33704,400,40.382549
-0.207556,400,40.563571
0.43119,400,50.147303
10.395118,83,50.187041
-0.33543,400,50.372611
10.952563,167,50.449247
10.630568,102,50.494562
398227,400,6.827326
10.839566,175,6.947932
0.146917,400,7.3348
10.562667,104,7.395321
-0.024494,400,8.807858
-0.901194,400,9.087612
0.381778,400,9.298131
0.15798,400,9.497478
-0.464307,400,9.704892
10.29659,45,9.726754
10.488646,88,9.776945
0.267489,400,11.556881
0.038214,400,11.78856
10.646053,92,11.848284
-0.20469,400,12.055137
-0.18147,400,12.266292
10.690013,81,12.30649
10.578019,118,12.362918
0.38187,400,12.570596
-0.01152,400,13.660929
0.379797,400,13.869135
-0.07445,400,14.130807
0.389139,400,14.374961
-0.372639,400,14.631913
10.778866,84,15.690235
10.154361,85,15.742056
10.7621,129,15.828508
10.353382,91,15.889505
0.420412,400,16.098568
0.471304,400,16.346193
10.837694,173,16.434997
-0.478289,400,16.6517
10.851885,180,16.740973
0.411049,400,17.840748
0.391093,400,18.096694
-0.180963,400,18.372839
-0.165342,400,18.570063
10.633346,135,18.638923
0.386929,400,18.834362
-0.200714,400,19.738048
0.396262,400,19.927819
10.545509,49,19.949895
0.498181,400,20.131459
10.387895,97,20.175957
0.196161,400,20.845315
-0.704556,400,21.694235
0.48568,400,21.90219
-0.412344,400,22.091334
10.689318,99,22.135722
10.694586,114,22.189639
10.695677,118,22.240875
0.117007,400,22.426924
10.526764,51,22.450881
10.944493,95,22.499674
10.758399,144,22.564181
0.193533,400,23.421938
10.698487,121,23.492934
10.555485,89,23.535853
10.828779,87,23.577561
0.519486,400,23.776564
-0.329104,400,24.001609
10.577143,115,24.0713
10.712518,114,24.138557
10.699342,104,24.190568
10.925356,157,24.263885
0.060753,400,25.215215
10.553162,160,25.320918
10.693637,81,25.366906
0.420145,400,25.587735
0.29548,400,25.809819
10.549805,49,25.835681
-0.347179,400,26.063711
10.659334,74,26.103051
-0.517953,400,27.102683
10.797446,82,27.147178
10.271166,129,27.210894
0.63162,400,27.422991
-0.455142,400,27.627455
0.402808,400,27.823783
10.902448,159,27.900431
-0.40645,400,28.091223
-0.447987,400,29.051227
10.60245,88,29.09667
0.197499,400,29.288038
-0.442458,400,29.478253
-0.010407,400,30.382956
-0.111502,400,30.582406
10.640143,78,31.315632
10.533453,155,31.39639
10.671373,96,31.445934
-0.620413,400,31.634079
10.508287,117,31.686425
10.584224,80,31.723054
10.774412,138,31.791993
10.782864,182,31.893016
10.895944,183,31.984767
-0.618278,400,32.170361
0.445191,400,33.116856
10.509434,77,33.167018
-0.38977,400,33.420225
0.410191,400,33.619089
10.452637,91,33.669497
-0.090414,400,33.884591
0.421553,400,34.13586
-0.322488,400,35.464519
-0.204614,400,35.674372
-0.041275,400,35.875957
0.05712,400,36.165271
0.394462,400,36.432026
10.695337,82,36.488688
-0.069495,400,37.550201
10.94961,185,37.642504
10.649399,103,37.691897
-0.69184,400,37.891444
0.383402,400,38.094586
0.025319,400,38.297456
-0.012026,400,39.323199
10.627572,59,39.355623
-0.353862,400,39.570734
10.571032,73,39.603522
0.729963,400,40.593573
10.678058,121,40.664291
0.412013,400,40.872675
10.863178,194,40.970478
10.298988,97,41.023784
10.799936,171,41.93923
0.719995,400,42.176672
10.33266,81,42.217463
0.315499,400,42.416067
-0.397654,400,42.668212
10.633177,74,42.706229
-0.527962,400,42.905378
-0.043001,400,43.919685
10.47446,47,43.946668
0.391744,400,44.162803
10.662605,93,44.220316
-0.354445,400,44.427481
10.616597,80,44.468593
10.410205,128,44.537507
0.683885,400,44.740819
10.643895,86,44.788306
-0.332848,400,45.835554
0.161063,400,46.050803
10.729862,80,46.091636
0.438744,400,46.290806
-0.520149,400,46.522406
0.665345,400,46.723257
10.527526,150,46.799131
0.004323,400,47.828151
0.641259,400,48.031984
10.766237,233,48.14618
0.374331,400,48.356468
10.742105,249,48.480974
10.73549,133,48.545486
10.279567,93,48.594683
0.069764,400,49.597292
10.388701,48,49.628209
0.080587,400,49.871128
0.139327,400,50.609972
-0.047402,400,50.816513
-0.168883,400,51.051239
10.238425,102,51.101927
10.3685,163,52.16971
10.5065,46,52.194685
10.323154,156,52.295769
0.115581,400,52.512377
-0.474792,400,52.721028
10.431861,78,52.764519
0.03555,400,52.971486
0.399051,400,53.19947
-0.928753,400,54.243634
0.436914,400,54.48234
-0.064368,400,54.707495
10.47434,47,54.735962
10.747998,135,54.813252
10.818547,168,54.9077
10.652475,114,54.982323
10.736718,130,55.053444
10.186832,86,55.09901
