#{"t_start": 1754404811.6427956, "env_id": "None"}
r,l,t
0.034222,400,7.740885
10.366471,119,7.793626
0.36648,400,7.95047
-0.57413,400,8.104947
-0.381263,400,8.261641
0.152145,400,16.408982
-0.43519,400,16.548442
10.531426,83,16.578476
0.17743,400,16.746211
10.616523,65,16.770773
10.515744,77,25.308363
-0.237959,400,25.432764
10.657673,83,25.456836
0.353586,400,25.597224
10.574772,59,25.625011
10.632299,79,34.021331
10.597188,54,34.042157
0.413415,400,34.193389
10.289522,90,34.226724
-0.188563,400,34.436492
0.435557,400,42.991663
10.395079,80,43.024689
-0.147171,400,43.186361
10.961375,176,43.247265
10.668415,91,43.279416
10.338215,84,51.50898
10.705792,182,51.568058
10.592612,48,51.584704
10.759216,145,51.632744
10.540148,122,51.673039
562363,145,5.965324
10.383643,87,6.862706
-0.797065,400,7.099478
0.378417,400,7.26955
0.140333,400,7.431422
10.698656,117,7.472602
10.178321,272,7.579745
10.48119,102,7.631671
0.2339,400,9.254794
0.082226,400,9.434443
10.63029,87,9.464635
-0.195747,400,9.61922
-0.162235,400,9.767179
10.714614,78,9.794505
10.589529,140,9.844845
0.40845,400,9.999755
-0.019786,400,10.946527
0.364326,400,11.147676
10.850634,219,11.273358
0.369989,400,11.46798
-0.222596,400,11.620802
0.26099,400,12.502932
10.156113,89,12.546511
-0.352026,400,12.702631
10.346957,99,12.733495
0.47541,400,12.864115
0.472268,400,13.003318
10.850363,167,13.05999
10.758386,133,13.102874
10.856436,169,13.165726
0.416803,400,14.157295
0.416754,400,14.354276
-0.186156,400,14.548493
10.91931,158,14.624425
10.637098,131,14.67976
10.711982,85,14.717524
-0.193383,400,14.855633
-0.765134,400,15.802163
0.402721,400,15.955182
10.55874,50,15.97262
0.41985,400,16.127912
10.388459,82,16.164959
-0.38462,400,16.844677
-0.55481,400,17.043727
10.362946,90,17.986164
0.484464,400,18.174536
-0.30421,400,18.317539
-0.417196,400,18.461227
10.696497,86,18.492156
10.69973,110,18.532223
0.11227,400,18.671443
-0.542231,400,19.59966
10.700452,124,19.678973
10.566346,79,19.721109
10.83189,87,19.762583
0.506434,400,19.955344
-0.337449,400,20.145845
10.576669,96,20.186254
10.670559,123,20.236597
10.701824,105,20.288096
10.920967,160,20.358251
0.082883,400,21.266119
10.558169,172,21.368599
10.682666,78,21.4114
0.394178,400,21.557842
0.269794,400,21.712565
-0.640024,400,21.868458
-0.353505,400,22.036733
10.649804,82,23.072456
-0.826951,400,23.258842
0.469478,400,23.41554
10.877613,180,23.494138
0.422722,400,23.635717
0.360735,400,23.773324
-0.24813,400,24.827704
10.523416,102,24.89229
10.791358,189,24.998512
10.279185,114,25.04762
-0.168423,400,25.208358
10.559517,116,25.247131
10.832456,91,25.276354
0.510501,400,25.779793
0.504734,400,25.923768
0.400628,400,26.819043
0.407695,400,27.018581
10.413433,143,27.087668
10.274756,103,27.137983
10.279002,87,27.180217
-0.180103,400,27.371267
10.814962,166,27.445235
0.033715,400,27.605337
-0.41359,400,28.711027
0.470711,400,28.86217
-0.150442,400,29.017587
10.278594,338,29.157323
0.065347,400,29.306338
-0.44197,400,30.415709
10.992172,185,30.501324
-0.259977,400,30.63786
0.421638,400,30.791245
-0.076797,400,30.934704
0.125105,400,31.087673
10.116522,75,31.934589
0.42114,400,32.170084
10.429937,102,32.225127
-0.482453,400,32.42396
-0.278706,400,32.592221
10.686358,95,32.62269
10.333423,44,32.638989
-0.471215,400,32.77349
-0.358702,400,33.704109
-0.297344,400,33.865366
-0.043148,400,34.024867
-0.394779,400,34.765002
10.370965,182,34.845847
0.469022,400,35.031471
10.749898,184,35.891101
0.687995,400,36.059925
10.33715,88,36.089729
0.290479,400,36.223554
-0.392848,400,36.367147
10.631415,73,36.393504
10.224956,87,36.425919
10.283041,119,36.469318
0.51899,400,37.378706
-0.143348,400,37.623129
0.397675,400,37.815314
10.671381,101,37.860647
-0.314485,400,38.046361
10.615126,78,38.080411
10.416194,157,38.149532
0.723227,400,38.322854
10.660146,89,39.192945
0.138496,400,39.41405
10.733169,82,39.444245
0.443955,400,39.59856
10.702757,120,39.658128
0.68677,400,39.813046
10.523561,164,39.902366
-0.017208,400,40.09728
0.394078,400,41.179725
0.623034,400,41.329571
10.783915,219,41.399163
0.440221,400,41.542847
10.741929,245,41.636467
10.723554,152,41.693542
10.282233,81,41.724497
0.063185,400,42.575212
10.402997,47,42.602184
0.07203,400,42.797938
0.127778,400,43.421862
10.38909,113,43.463518
10.498354,79,43.493469
-0.251139,400,43.633065
-0.010554,400,44.505248
10.490728,46,44.530329
10.289761,286,44.673759
0.098798,400,44.822708
-0.487239,400,44.952352
10.437907,71,44.978331
-0.009162,400,45.131435
0.42705,400,45.2918
10.543653,84,46.160263
0.463539,400,46.374638
10.359401,112,46.421776
10.460322,48,46.439799
10.775391,134,46.490158
10.841888,166,46.555719
-0.122635,400,46.714809
-0.384834,400,46.890567
10.192762,80,46.919826
-0.033989,400,47.705776
10.627682,78,47.741446
10.519544,107,47.793624
10.439653,128,47.850104
10.32346,77,47.878645
0.427676,400,48.044853
10.803068,152,48.099216
0.441456,400,48.248879
10.609665,80,48.277621
0.55725,400,48.421114
10.404603,48,48.439726
0.682422,400,49.636925
0.09504,400,49.806303
0.025297,400,49.978687
-0.000819,400,50.162979
10.742209,169,50.247893
0.387322,400,51.263036
-0.066323,400,51.484713
10.593569,75,51.513767
10.563951,77,51.742006
0.419058,400,51.89486
10.680671,127,51.943535
10.730067,110,51.981086
0.413094,400,52.128179
-0.503819,400,53.071886
