#{"t_start": 1754404509.172804, "env_id": "None"}
r,l,t
0.022293,400,7.331677
10.36537,123,7.372609
0.399258,400,7.503419
10.670943,118,7.542676
-0.371185,400,7.66702
10.721478,119,15.58972
10.529755,87,15.616672
0.182668,400,15.743247
10.574224,88,15.771201
0.326353,400,15.904411
10.525734,77,23.83816
10.859799,187,23.895461
10.649098,82,23.919013
10.574669,117,23.955641
10.551496,67,23.977411
-0.712012,400,31.817819
0.41105,400,31.950019
10.288667,86,31.97665
10.167373,99,32.010024
0.121579,400,32.135278
0.425404,400,40.615188
10.386454,73,40.645837
10.713929,147,40.702524
10.942179,165,40.759993
10.631175,103,40.794605
10.688934,144,49.474814
10.586234,48,49.491891
-0.342355,400,49.633522
10.540198,101,49.665842
-0.339482,400,49.79851
10.543232,73,58.074176
0.129093,400,58.200091
0.567883,400,58.333808
10.620391,78,58.360555
0.431054,400,58.52382
10.298813,72,66.971182
-0.354761,400,67.139678
-0.045871,400,67.265558
-0.03102,400,67.408645
10.5953,74,67.432876
0.556294,400,74.65939
10.763436,167,74.712011
10.685134,78,74.736353
0.187134,400,74.870224
10.519419,112,74.907818
10.392161,69,83.17469
-0.651524,400,83.312658
0.428511,400,83.442153
0.264387,400,83.571949
10.802584,291,83.663991
0.126549,400,91.987523
10.236575,78,92.011508
10.445685,69,92.033104
10.686391,143,92.079364
10.519185,72,92.101794
10.480493,73,99.846883
-0.235819,400,99.975914
0.409614,400,100.110519
10.686191,135,100.153495
0.3731,400,100.289506
10.901891,158,108.819098
10.84901,180,108.891745
0.172658,400,109.023661
10.973669,171,109.078029
10.820003,281,109.164804
.99005
0.116026,400,14.142968
0.485051,400,15.040833
0.411735,400,15.216446
10.542044,48,15.239371
0.395918,400,15.384628
10.388914,90,15.413706
0.19903,400,15.5546
0.070228,400,16.079082
10.363724,106,16.84677
0.486811,400,17.055672
10.665808,106,17.103254
10.668342,111,17.146798
10.699259,89,17.190006
10.680043,119,17.288021
0.129683,400,17.449865
10.53222,48,17.466805
10.903066,154,17.521523
10.788855,124,17.565692
0.03077,400,17.70847
0.053617,400,18.660551
10.683545,129,18.724311
10.559559,88,18.75588
10.833977,89,18.78702
0.526695,400,18.933434
-0.331064,400,19.078369
10.568316,80,19.106277
10.700947,115,19.149474
-0.72805,400,19.305982
10.90547,165,20.14337
10.557926,156,20.22617
10.680703,79,20.267589
0.400709,400,20.435085
0.269628,400,20.578651
-0.693255,400,20.725917
-0.348803,400,20.86985
-0.7236,400,21.863717
-0.753578,400,22.025147
0.506453,400,22.168554
10.913552,173,22.234909
0.418116,400,22.37904
0.390381,400,23.287768
10.516022,119,23.351254
10.782023,187,23.444803
-0.128988,400,23.593426
10.856714,157,23.646935
10.560011,109,23.687207
10.831481,92,23.728362
0.52588,400,24.065661
0.523884,400,24.211548
0.406566,400,25.141184
0.401506,400,25.30951
0.072441,400,25.451817
10.273438,99,25.488212
10.261021,93,25.518831
-0.16161,400,25.658535
10.805861,174,25.721147
10.582054,82,25.748904
-0.416879,400,26.67548
0.416315,400,26.845299
10.759967,129,26.890794
10.281325,318,27.00064
0.051413,400,27.152068
0.166829,400,27.30003
-0.050735,400,28.188526
-0.112739,400,28.36717
-0.497817,400,28.511702
0.430477,400,28.656523
10.209219,85,28.691429
0.118784,400,28.842095
10.114556,77,28.868356
-0.853785,400,29.847139
0.374412,400,29.99906
10.43104,68,30.026221
-0.498297,400,30.175427
10.580303,85,30.213036
10.675303,97,30.249362
0.206022,400,30.391544
10.688614,109,30.430013
-0.414562,400,31.370961
10.900999,160,31.445949
-0.060808,400,31.597088
10.618818,95,31.636011
-0.678128,400,32.248338
0.423292,400,32.400165
10.73625,152,32.454272
-0.312781,400,33.483135
10.98241,92,33.529516
-0.358381,400,33.677794
10.75024,82,33.708048
-0.407334,400,33.852108
-0.851718,400,34.011077
-0.580592,400,34.148141
10.287981,101,34.92536
10.479325,51,34.952399
0.422282,400,35.155253
10.673791,103,35.194083
-0.3315,400,35.332387
-0.032341,400,35.467186
10.408279,141,35.519354
0.661047,400,35.663524
10.602485,105,36.425308
0.093447,400,36.627333
10.720624,85,36.659473
0.424691,400,36.802004
10.70944,120,36.846318
0.649472,400,36.988391
10.519283,143,37.038975
-0.02632,400,37.187237
0.360984,400,38.367245
0.603877,400,38.519901
-0.181355,400,38.656944
0.430754,400,38.844579
10.717031,302,38.963115
10.729572,129,39.022953
10.282589,85,39.056302
0.05895,400,40.304636
10.402635,45,40.321958
0.081893,400,40.472907
0.105692,400,41.01338
10.404805,68,41.041207
-0.177073,400,41.223062
10.238506,99,41.264294
10.390007,127,41.321979
0.223677,400,42.516115
10.499632,46,42.5458
10.322599,164,42.623121
0.118513,400,42.860389
-0.429008,400,43.062518
-0.253246,400,43.24878
0.068252,400,44.12169
0.468998,400,44.321954
10.359746,87,44.353871
0.086309,400,44.497411
10.742287,137,44.545911
10.819807,163,44.603712
10.655672,142,44.656904
10.736471,137,44.706586
10.193756,71,44.730177
-0.032151,400,44.875623
0.143948,400,45.86848
10.58744,88,45.911648
10.506744,82,45.943524
10.443661,109,45.98005
-0.445104,400,46.120001
0.377846,400,46.291502
10.779914,151,46.347087
10.791065,80,46.387946
0.209035,400,46.567099
0.53426,400,47.611668
0.086051,400,47.768519
10.452355,74,47.794996
10.259927,109,47.842379
10.748762,129,47.894349
0.418939,400,48.055753
0.484955,400,48.209982
10.897171,171,49.128352
10.35819,83,49.188293
10.594653,77,49.245336
-0.018418,400,49.430529
10.332683,95,49.845223
10.682737,126,49.892805
10.739067,97,49.927664
0.388417,400,50.069112
10.702143,132,50.114609
-0.406439,400,50.271285
-0.542268,400,51.216105
10.980992,93,51.26122
10.645034,108,51.318711
0.177654,400,51.461174
10.885806,153,51.516763
-0.795007,400,51.663525
0.406649,400,51.82639
10.894537,165,51.889327
10.601718,77,51.916695
0.27467,400,52.947502
0.13418,400,53.098243
-0.222329,400,53.243475
0.377265,400,53.387654
10.667833,80,53.41822
10.763717,81,53.44934
0.404168,400,54.341921
0.399863,400,54.539567
11.022205,98,54.574671
0.145458,400,54.718886
10.87984,213,54.796287
-0.458716,400,54.934582
0.16236,400,55.113636
10.351955,83,55.163853
-0.151469,400,56.344532
10.587574,84,56.387101
0.197096,400,56.570966
0.486335,400,56.767843
-0.17718,400,56.919633
10.355115,78,56.949169
-0.046639,400,57.921638
0.03929,400,58.600692
10.775146,83,58.633162
0.398964,400,58.782917
10.728253,162,58.842628
11.103936,96,58.876558
10.602359,138,58.926518
-0.31515,400,59.070438
10.82397,140,59.122289
10.744532,322,60.171543
-0.77024,400,60.354638
10.741943,146,60.4079
0.39569,400,60.551472
0.029287,400,60.710732
0.396959,400,60.861257
-0.257389,400,62.012022
10.495678,106,62.066515
10.609911,71,62.094221
0.057473,400,62.240396
-0.467157,400,62.381721
0.403204,400,62.52885
10.350789,72,62.558991
