#{"t_start": 1754391356.1708703, "env_id": "None"}
r,l,t
0.165776,400,6.92652
-0.130816,400,7.106432
0.040778,400,7.283285
-0.007894,400,7.465155
0.580491,400,7.634584
0.204391,400,15.19244
0.336787,400,15.387572
0.256909,400,15.598921
0.031191,400,15.801507
-0.7539,400,15.985756
0.235399,400,23.623895
0.056005,400,23.792727
0.412976,400,23.954839
-0.203935,400,24.127502
0.032595,400,24.301366
0.088266,400,31.938077
0.083098,400,32.150727
0.529105,400,32.349639
-0.536295,400,32.54828
-0.840784,400,32.745248
0.506074,400,40.630181
0.182073,400,40.810035
0.118822,400,41.007107
-0.306726,400,41.240753
0.126446,400,41.446389
-0.847853,400,48.598653
0.062703,400,48.800924
-0.56085,400,48.980021
0.391671,400,49.156331
0.481422,400,49.338674
0.406631,400,56.482687
0.007106,400,56.657019
-0.299273,400,56.820242
-0.438417,400,56.983548
-0.74503,400,57.148266
0.489999,400,65.416172
0.265461,400,65.592126
0.48681,400,65.770446
0.085581,400,65.946572
-0.386222,400,66.12259
2.593067
0.166459,400,12.7993
-0.605936,400,12.995063
0.141112,400,13.211052
-0.432129,400,13.489698
-0.645723,400,13.708387
-0.267772,400,14.398293
0.119321,400,14.650466
-0.753043,400,14.850118
0.059391,400,15.060652
-0.342882,400,16.243149
-0.494247,400,16.92111
0.660544,400,17.122578
10.446653,396,17.319227
0.085801,400,17.517336
-0.029432,400,17.71191
0.152857,400,18.308349
0.305211,400,18.507531
-0.367957,400,18.719858
-1.691418,400,18.952013
0.191151,400,19.162188
10.155398,314,19.782676
-0.799663,400,20.011975
-0.15698,400,20.228715
0.036621,400,20.428301
0.190697,400,20.62602
-0.326751,400,21.278898
-0.223032,400,21.477909
0.499385,400,21.65943
0.142492,400,21.858714
0.136749,400,22.100441
0.065439,400,22.829157
-0.088751,400,23.043591
-0.080975,400,23.248819
-0.474812,400,23.447254
0.177577,400,24.544013
-0.029019,400,24.741987
-0.238486,400,25.364211
0.392671,400,25.563861
10.2684,193,25.676218
-0.435897,400,25.873454
-0.901595,400,26.074503
-0.433992,400,26.720753
0.06879,400,26.919137
-0.07862,400,27.115763
-0.755233,400,27.307824
0.276187,400,27.518275
0.307937,400,28.096205
0.217346,400,28.295591
-0.449481,400,28.47605
0.345113,400,28.663354
10.155548,90,28.704298
-1.542016,400,28.915482
-1.203539,400,29.556066
0.345618,400,29.773336
-0.196469,400,30.00988
0.1759,400,30.243734
-0.385021,400,30.479862
-0.048773,400,31.231517
-0.000519,400,31.457769
0.080118,400,31.682039
-0.385676,400,32.913347
-0.783336,400,33.134648
-0.626903,400,33.884557
-0.636779,400,34.133295
-1.353617,400,34.355293
-0.181634,400,34.56596
-1.287659,400,34.763298
-0.467927,400,34.958826
-1.074004,400,35.599073
-0.590378,400,35.78347
0.26021,400,35.977576
-0.177482,400,36.171494
-0.428399,400,36.366314
-0.889009,400,36.946608
-0.059455,400,37.14383
-0.140489,400,37.340734
0.327024,400,37.534297
0.113417,400,37.737722
0.194783,400,38.50398
0.03584,400,38.712637
0.044676,400,38.937185
0.298991,400,39.154228
0.313579,400,39.374289
-0.123383,400,40.155168
0.404967,400,40.393935
0.273737,400,41.609683
-0.805567,400,41.813656
-0.003807,400,42.006185
-0.22125,400,42.572416
0.023211,400,42.763671
-0.838101,400,42.959426
-0.810052,400,43.150344
0.021864,400,43.358071
0.26998,400,43.906615
0.212099,400,44.103543
0.345067,400,44.297016
-0.778375,400,44.513669
-0.614083,400,44.713249
-0.727886,400,45.326984
-0.733753,400,45.567809
-0.511816,400,45.76615
0.220654,400,45.958591
0.271489,400,46.151458
-0.293509,400,46.732522
0.280809,400,46.934237
10.29425,75,46.971243
0.042007,400,47.162316
-0.925587,400,47.367745
0.357082,400,47.559552
-1.035346,400,48.182703
-0.365618,400,48.386119
0.203396,400,49.533681
-0.635714,400,49.727635
0.338177,400,49.949324
0.266977,400,50.686643
-0.01902,400,50.89438
-0.157163,400,51.114437
0.086274,400,51.315564
-0.014938,400,51.51957
-0.334044,400,51.719039
0.002775,400,52.30912
-0.324489,400,52.496228
-0.44188,400,52.683241
-0.424851,400,52.86986
0.080973,400,53.057966
-0.252151,400,53.620437
0.321803,400,53.80304
0.31442,400,53.982456
0.268887,400,54.164959
0.230932,400,54.359318
-0.035957,400,54.908756
0.228634,400,55.097969
0.33137,400,55.274398
0.10485,400,55.467068
-0.083978,400,55.648066
-0.358845,400,56.226936
-0.309989,400,57.329357
0.195078,400,57.513376
0.091819,400,57.694671
0.211274,400,57.878397
-0.926011,400,58.46357
10.292425,172,58.635297
-0.182919,400,58.85462
0.259646,400,59.053192
0.121105,400,59.272352
-1.084266,400,59.468762
0.035528,400,60.207537
-0.107281,400,60.440358
-0.220831,400,60.69326
-0.863049,400,60.964963
0.250136,400,61.217353
0.18855,400,62.09462
0.125371,400,62.329099
-0.027083,400,62.544433
0.369944,400,62.760563
-0.014953,400,62.974125
-1.030636,400,63.831942
0.364488,400,64.05966
10.095291,53,64.086246
-1.017493,400,64.302605
0.293954,400,64.503998
0.272259,400,64.69996
0.02362,400,66.233438
0.303117,400,66.443614
