#{"t_start": 1754404285.6057844, "env_id": "None"}
r,l,t
0.042436,400,7.110702
10.367823,114,7.150992
0.353982,400,7.290678
10.670687,116,7.328075
-0.393414,400,7.487096
10.72796,118,15.897403
10.528946,85,15.923653
0.183556,400,16.049303
10.589391,79,16.075166
0.308105,400,16.201404
-0.017894,400,26.359739
0.261435,400,26.584312
0.591072,400,26.736829
10.419269,147,26.793092
10.968259,173,26.860196
0.660065,400,38.532009
0.405588,400,38.702269
10.468906,90,38.739082
0.477781,400,38.913447
-0.348476,400,39.112441
0.406485,400,47.751825
10.390015,84,47.784096
-0.258524,400,47.951284
10.955198,168,48.011422
10.646652,94,48.057043
10.596512,48,57.632457
10.760976,138,57.674063
10.541562,133,57.716265
-0.348867,400,57.846774
0.402509,400,57.976897
10.591827,79,66.083657
10.539894,80,66.11367
0.160138,400,66.343992
0.551961,400,66.485941
10.612584,85,66.514803
10.296139,88,74.807141
-0.365617,400,74.993253
10.323337,130,75.036597
0.012547,400,75.173051
10.593859,79,75.201658
10.492118,80,82.273151
-0.366774,400,82.40144
10.721263,82,82.428725
0.553133,400,82.560506
10.777237,167,82.614641
0.433164,400,91.243089
0.273548,400,91.383447
0.042001,400,91.554599
10.140861,80,91.587161
0.123962,400,91.745787
0.411394,400,100.651242
0.151731,400,100.875927
10.237178,91,100.918984
10.432119,80,100.952343
10.695668,147,101.002707
10.480437,91,109.36802
10.480489,55,109.385458
0.407318,400,109.530996
-0.299172,400,109.659055
0.39411,400,109.808594
10.378405,87,119.594457
10.966473,135,119.644367
10.365022,87,119.676847
10.267351,90,119.715253
10.914262,172,119.798635
10.891376,87,128.728456
-0.337051,400,128.864978
10.473884,53,128.880791
10.92661,172,128.933805
0.423329,400,129.054839
10.493468,81,138.056978
10.909359,158,138.131538
-0.436135,400,138.275319
10.786724,96,138.311908
10.457989,45,138.32836
0.16726,400,147.149733
10.819472,198,147.221475
-0.701706,400,147.387207
-0.305733,400,147.537394
-0.402452,400,147.667846
-0.472243,400,156.444302
0.117412,400,156.574758
10.818451,109,156.6105
0.064574,400,156.764206
10.700746,133,156.806233
0.396214,400,164.10909
10.486415,46,164.124848
10.885254,171,164.181349
0.415686,400,164.314915
0.154104,400,164.445439
10.780033,84,172.364667
0.392743,400,172.495376
0.390699,400,172.627646
10.55142,46,172.642035
10.808203,200,172.706509
10.273076,135,180.974747
0.400512,400,181.102498
0.203408,400,181.242342
10.592668,47,181.259281
10.447843,44,181.274385
-0.139888,400,189.912928
10.723232,109,189.946773
10.912368,156,189.997936
10.413952,44,190.012558
10.430924,111,190.046453
10.372407,46,197.970065
10.386939,199,198.03547
0.403877,400,198.177884
0.397234,400,198.301685
0.109011,400,198.42727
0.108298,400,206.382296
10.551229,46,206.396122
10.38829,80,206.424084
-0.451787,400,206.551336
0.397711,400,206.681157
10.767721,125,214.643625
-0.026569,400,214.77333
-0.360324,400,214.917757
10.286118,144,214.96907
-0.477518,400,215.10168
894051,183,29.237589
10.599749,83,29.276401
0.416106,400,29.471314
0.420124,400,30.715108
-0.081494,400,30.905704
-0.387522,400,31.08054
0.408375,400,31.270114
-0.193855,400,31.44072
10.35086,119,31.488858
0.409663,400,32.932575
10.821848,152,33.136616
-0.030902,400,33.405868
10.377562,177,33.490984
10.772778,88,33.572756
10.674967,85,33.621003
-0.053827,400,33.831912
0.442376,400,34.070405
-0.447635,400,35.33404
10.948129,173,35.402333
10.68557,96,35.443377
-0.749024,400,35.599984
0.389498,400,35.824584
0.011465,400,36.024982
-0.009734,400,37.84223
-0.874753,400,38.074696
-0.343615,400,38.238875
-0.777205,400,39.282964
0.388937,400,39.443988
-0.449007,400,40.61622
10.984473,94,40.67858
10.321412,78,40.725997
10.748961,83,40.765585
-0.408537,400,40.932778
10.622497,77,40.967495
-0.534086,400,41.12663
-0.064861,400,41.291837
0.496956,400,42.289766
-0.51451,400,42.551354
0.401971,400,42.733808
10.656735,101,42.776007
-0.2948,400,42.974152
-0.024729,400,43.145549
10.403183,108,43.18669
0.646817,400,44.123197
0.102548,400,44.292839
0.150906,400,44.425918
0.433012,400,44.558897
10.698568,119,44.600299
0.606011,400,44.748516
10.523284,159,45.537221
0.5678,400,45.889917
-0.158203,400,46.045998
0.424217,400,46.194409
10.745023,243,46.283286
10.744754,132,46.338125
10.273824,90,46.370692
0.053523,400,47.257212
10.344939,222,47.375896
0.107016,400,47.54668
10.292334,205,48.086447
10.395559,108,48.142851
-0.177247,400,48.33154
10.239813,88,48.378729
10.376079,155,48.462269
10.379661,47,48.482315
10.355546,132,48.53642
10.311641,119,48.591794
0.016382,400,50.09443
10.510618,46,50.117447
10.27809,289,50.242033
0.113119,400,50.458038
-0.469238,400,50.652546
-0.241121,400,50.808923
-0.001186,400,52.096945
0.464501,400,52.286844
10.353846,130,52.332878
-0.744703,400,52.588433
10.75335,132,52.647037
10.837198,161,52.714833
10.657314,135,52.767471
10.746179,132,52.820893
10.187175,86,52.854927
-0.022348,400,54.013791
10.596358,82,54.063349
10.512543,89,54.113049
10.434267,142,54.181052
-0.436554,400,54.329076
0.407094,400,54.47795
10.782388,143,54.529005
10.812092,87,54.561308
10.613636,84,54.593641
10.845668,93,54.625874
10.353041,224,54.712545
0.598334,400,55.643271
0.106542,400,55.832059
10.450632,106,55.876542
0.023769,400,56.031333
10.757728,153,56.095483
0.398431,400,56.248071
0.492037,400,56.395743
10.893331,157,57.42544
10.353561,122,57.488044
10.595028,84,57.5343
10.560596,80,57.569509
10.333142,95,57.602262
10.683624,166,58.028171
10.739379,105,58.06419
0.392226,400,58.226447
10.704299,128,58.271021
-0.442642,400,58.419341
10.190664,89,58.454318
-0.438917,400,59.320864
10.994498,97,59.372303
10.662463,103,59.425623
0.210825,400,59.565389
10.896963,156,59.616005
-0.766536,400,59.753099
0.376835,400,59.904345
-0.254044,400,60.819048
10.274095,189,60.919452
10.931345,161,60.996484
0.376474,400,61.142949
-0.775435,400,61.289597
10.76604,90,61.321571
0.377589,400,61.492073
0.449595,400,62.389468
0.384809,400,62.583696
11.023553,97,62.622575
10.714094,87,62.657845
-0.042757,400,62.795399
10.863286,143,62.848955
10.617193,94,62.882598
10.342616,104,62.921867
10.346572,132,62.965492
10.853383,150,63.015975
10.294736,95,63.048174
10.695474,103,63.084043
-0.11643,400,64.187573
0.220576,400,64.369035
10.638766,92,64.401858
0.481429,400,64.551431
10.262421,110,64.599182
-0.298193,400,64.767421
-0.016242,400,64.934239
0.06828,400,66.53821
-0.196208,400,66.68903
10.776465,88,66.720273
0.365145,400,66.894262
10.755144,177,66.981692
11.10205,101,67.023284
10.567553,126,67.074544
10.800551,141,67.134064
-0.400482,400,68.0428
10.558895,50,68.071863
-0.296366,400,68.290792
0.375305,400,68.448109
0.030038,400,68.598942
0.406713,400,68.745003
10.361613,97,68.776897
10.812698,85,68.805842
10.425507,134,69.703965
10.505955,78,69.741904
-0.710178,400,69.93689
0.0884,400,70.094021
10.135673,84,70.131448
0.442611,400,70.272995
-0.407761,400,70.408674
-0.05671,400,71.352245
10.383651,69,71.387772
-0.230911,400,71.575445
10.227964,96,71.612935
0.137395,400,71.773101
10.776861,229,71.861525
10.523211,48,71.881786
-0.389854,400,72.029253
10.798764,145,72.079664
10.299291,243,73.016589
0.159153,400,73.200306
10.209025,89,73.234693
10.78191,86,73.265269
-0.699778,400,73.407573
0.215308,400,73.560018
-0.575086,400,73.713812
10.552261,63,73.740209
0.068237,400,75.322503
10.526326,79,75.352656
10.460762,92,75.388116
10.411253,96,75.420801
0.453874,400,75.566737
10.344391,76,75.594668
10.86733,180,75.658779
11.054073,95,75.69327
10.489802,45,75.710092
10.814458,136,75.758241
-0.840658,400,75.896738
10.592988,84,76.658053
0.095143,400,76.871063
10.38353,237,76.955194
10.404676,112,76.994155
10.988574,93,77.030514
10.998125,91,77.067074
-0.262606,400,77.230575
10.833722,174,77.297314
