#{"t_start": 1754321350.20927, "env_id": "None"}
r,l,t
0.224588,400,7.698462
-0.051272,400,7.884794
0.250288,400,8.054486
0.418314,400,8.219206
0.462654,400,8.385274
0.640334,400,16.463114
0.666701,400,16.647046
0.579266,400,16.81506
0.162288,400,16.990439
0.427746,400,17.154333
-0.37859,400,25.55609
0.520924,400,25.728369
0.59197,400,25.900428
-0.501053,400,26.07543
0.586368,400,26.252256
0.231433,400,34.85351
-0.079536,400,35.024329
0.408998,400,35.20117
-0.02734,400,35.380728
0.489136,400,35.577631
-0.780866,400,44.042449
-0.108884,400,44.232466
-0.286626,400,44.427712
-0.653218,400,44.598742
0.280943,400,44.802435
-0.433829,400,53.3488
0.573712,400,53.539937
-0.717168,400,53.733997
0.124354,400,53.926405
0.586266,400,54.128707
22,400,10.732624
0.646937,400,10.953349
-1.681839,400,11.165028
-0.792731,400,11.351135
-1.096197,400,11.539182
-0.548585,400,12.287001
-0.892436,400,12.530123
-1.556294,400,12.733482
-0.404092,400,12.931929
-0.093948,400,13.133227
-1.611532,400,13.939454
-1.349423,400,14.164912
-0.79098,400,14.390803
-0.425261,400,14.592103
0.149034,400,14.785826
-0.604188,400,14.983448
0.016315,400,15.74722
0.092656,400,15.938401
0.870944,400,16.125825
-0.491176,400,16.311204
-0.67169,400,17.368109
-1.935203,400,18.17436
-2.051065,400,18.369637
-1.765073,400,18.567847
10.043603,82,18.608205
0.259358,400,18.801587
-0.981764,400,19.01628
0.576435,400,19.777438
-0.421843,400,20.026444
-1.05678,400,20.220328
0.120066,400,20.431374
0.016854,400,20.628598
0.354459,400,21.536282
-0.648158,400,21.803511
-0.58663,400,22.003869
10.498959,186,22.101186
0.251763,400,22.31622
0.259208,400,23.152704
-1.353626,400,23.366444
-0.433985,400,23.557543
-0.205352,400,23.751009
-0.804826,400,23.949856
0.439451,400,24.156482
-0.212657,400,24.938528
-0.173087,400,25.129592
0.038675,400,25.313238
-0.5112,400,26.405638
-0.765004,400,26.592909
-0.2564,400,27.463395
-0.479897,400,27.667287
0.363863,400,27.880855
0.251871,400,28.093432
0.265096,400,28.289324
1.017762,400,29.186869
-1.652984,400,29.38896
0.140504,400,29.585298
0.326887,400,29.779377
-0.924563,400,29.988122
0.20246,400,30.808005
0.260916,400,31.00914
-1.148664,400,31.209521
-0.98539,400,31.413653
0.074025,400,31.629637
0.044919,400,32.58255
-0.768704,400,32.780986
-1.348735,400,32.970098
-0.251482,400,33.172458
-0.775018,400,33.38076
-0.332157,400,34.143451
0.731544,400,34.383515
-0.061021,400,34.610471
-0.365945,400,35.733314
-0.315376,400,35.930784
-0.520452,400,36.663649
0.104125,400,36.878344
-0.181474,400,37.098195
-0.402774,400,37.335444
-0.12547,400,37.529832
0.288267,400,38.305149
-0.932158,400,38.50851
0.440086,400,38.708217
-0.161607,400,38.933306
-0.00762,400,39.156496
0.324932,400,40.095546
-0.656469,400,40.333679
-0.012706,400,40.547643
-1.250818,400,40.739534
-0.314065,400,40.951458
0.221602,400,41.15735
10.194072,141,41.773795
0.286767,400,41.980767
0.102766,400,42.204314
-0.517314,400,42.412263
-0.626821,400,42.599426
-0.238572,400,43.371599
-1.61563,400,43.597511
-0.697566,400,44.827713
0.317466,400,45.03759
0.065729,400,45.230804
0.22229,400,45.977372
0.642917,400,46.193303
0.180601,400,46.382715
-1.424095,400,46.573263
-1.463203,400,46.778297
-0.285441,400,46.971363
0.399309,400,47.697746
-0.613407,400,47.896393
0.194364,400,48.090255
10.437765,157,48.167579
0.134135,400,48.357327
-1.864342,400,49.154557
0.500054,400,49.351822
-0.894401,400,49.543158
-0.20624,400,49.740418
-0.847707,400,49.961867
-0.504309,400,50.972385
0.359005,400,51.257035
-0.133847,400,51.491167
-1.371748,400,51.685586
0.140208,400,51.882243
0.085934,400,52.086907
0.304217,400,53.031971
0.198477,400,54.235887
-0.377751,400,54.470968
0.261206,400,54.73789
-0.910147,400,54.957083
