#{"t_start": 1755875406.0365734, "env_id": "None"}
r,l,t,episode_energy,success
-0.525248,400,6.746621,1.0574389425343074,False
-0.361854,400,6.869284,0.7692105983641292,False
-0.332453,400,6.995882,0.8599659730734769,False
-0.476524,400,7.117981,0.739107125277278,False
-0.648923,400,7.244598,0.8237939195576446,False
-0.037902,400,14.332937,0.9677408357846002,False
-0.099819,400,14.456884,1.016437613280121,False
-0.453129,400,14.586228,1.0471432350258834,False
-0.862761,400,14.712343,0.7934587362659722,False
-0.088332,400,14.835677,0.9296219921933643,False
0.142228,400,21.732552,1.9540425528357468,False
-0.498165,400,21.883083,1.1121042269303412,False
10.401033,173,21.935418,0.35312864440434844,True
-2.170624,400,22.060447,0.6818705265071342,False
-0.412308,400,22.184951,1.1111779473383478,False
0.16231,400,29.903628,1.508320072940942,False
0.229629,400,30.063811,1.6056034589613088,False
-0.953716,400,30.194702,1.1269057179660995,False
0.130163,400,30.34093,1.4074492097420914,False
0.222843,400,30.469444,1.5251913060175293,False
0.082528,400,37.269684,1.3067924079540691,False
-1.117762,400,37.410327,1.1061443743914798,False
0.03668,400,37.536546,1.2595669769136328,False
-1.12785,400,37.660558,1.021228559392473,False
-0.257281,400,37.786305,1.2088475791655142,False
10.590366,168,44.151498,1.0849810786610976,True
-1.177356,400,44.274549,1.412529334262428,False
-2.063558,400,44.400605,0.9405459480448678,False
-1.617175,400,44.524955,1.1647761443541895,False
-0.189577,400,44.650879,1.916741077147113,False
-1.40517,400,51.663177,0.924441268453511,False
-0.327952,400,51.787458,1.7700995091826484,False
0.617214,400,51.911439,1.1939687576437685,False
-1.360313,400,52.044383,0.9213842382567564,False
10.635559,180,52.09929,1.0204859458929212,True
-1.628236,400,58.686612,1.318193608027418,False
-0.194069,400,58.818673,1.8536824838382944,False
-0.186865,400,58.966148,1.895901715052809,False
-1.120324,400,59.094594,1.3111923046602583,False
-0.097363,400,59.231968,1.6675934169906412,False
10.819789,357,65.198246,0.9296026480657733,True
-0.209965,400,65.331952,1.6088193305997567,False
-0.338053,400,65.458269,1.6411037661698171,False
0.737251,400,65.588112,1.2179884966950716,False
0.6824,400,65.72776,1.026326600340869,False
-1.866956,400,72.227072,0.6672514728011429,False
0.104548,400,72.357752,1.208577747709188,False
0.542694,400,72.482096,1.0307689271959,False
0.280575,400,72.60603,0.9156044105841361,False
-0.122355,400,72.739868,1.061492637236526,False
-0.613069,400,79.22038,1.0848029974446358,False
-0.434569,400,79.344307,1.138522963347081,False
-0.235591,400,79.466047,1.3079554792767942,False
-2.301991,400,79.599802,0.6889539449177448,False
-1.431534,400,79.72439,0.8035211620217709,False
-0.49279,400,86.201747,2.1016127475241615,False
-0.113134,400,86.326516,2.1568490784235173,False
-0.509444,400,86.471776,2.031992897177163,False
-0.700322,400,86.597991,0.7314786157181342,False
-1.273642,400,86.723778,0.9044884127279946,False
10.372968,146,93.121884,0.6179618050299981,True
-0.241038,400,93.246811,0.9341613097422028,False
0.01466,400,93.381752,1.344451398023948,False
-0.409205,400,93.501953,1.0772196788455448,False
-0.470667,400,93.629569,0.9734295449095188,False
-0.058475,400,100.120901,2.1311229479031057,False
-0.27026,400,100.250725,2.250954501718062,False
-0.572892,400,100.375685,1.8743822574818882,False
-0.642989,400,100.500516,2.0150630243601078,False
-0.612656,400,100.643534,2.041135943558095,False
-0.466648,400,107.236644,1.5450950016135658,False
-0.045066,400,107.361916,1.7875953580354926,False
10.541075,149,107.410062,1.1472526221109642,True
-0.315896,400,107.53439,1.4198031074840058,False
-0.396564,400,107.664841,1.5678680429508485,False
-0.772358,400,114.192399,2.1352621245535155,False
0.009451,400,114.322082,2.5073522382040703,False
-1.320071,400,114.446357,1.9304393030261562,False
-0.091153,400,114.576853,2.2016126733128636,False
-0.73126,400,114.706852,1.9942044149814184,False
0.502799,400,121.191949,2.0465668304368227,False
-0.351198,400,121.321422,2.422944775240243,False
-0.360012,400,121.453704,1.736712264926702,False
-0.079422,400,121.593047,1.826245585653686,False
0.153621,400,121.720423,1.9107105345740816,False
0.249519,400,127.680168,1.4878832739256407,False
-0.2536,400,127.808609,1.0758234626069698,False
-0.245021,400,127.933479,0.787936487790541,False
0.191432,400,128.067345,1.5388774388472077,False
0.225979,400,128.199381,1.071103634316065,False
-1.195016,400,134.663442,1.2256046736298647,False
0.192359,400,134.792485,1.6740246723096768,False
-0.92358,400,134.915372,1.0873680296622716,False
-0.124261,400,135.04327,1.773202090613946,False
-0.981213,400,135.165174,2.0592004606030656,False
-1.322124,400,141.663955,1.7865460500430919,False
0.133975,400,141.788601,2.0789144790330165,False
0.390835,400,141.90782,2.280721377828639,False
-0.760056,400,142.031777,1.694740647117776,False
-0.529265,400,142.163635,1.5601015732641335,False
-0.682282,400,148.66286,1.5670556215855245,False
0.344152,400,148.79992,2.0907819022555523,False
0.281758,400,148.924616,2.129370979009059,False
-0.257118,400,149.054781,2.0338683351513804,False
-0.511475,400,149.176605,1.1923534297894165,False
-0.439411,400,155.706319,1.877428744679706,False
-0.229147,400,155.827549,1.2568768479927879,False
-0.504656,400,155.956198,1.7136713950378217,False
0.097232,400,156.081319,1.6031105405103259,False
-0.992139,400,156.20295,1.6856725090838336,False
0.096475,400,162.696923,1.5248808836806145,False
-0.296131,400,162.822659,1.5419384450017783,False
0.216311,400,162.956601,1.118471711654013,False
-1.30724,400,163.089007,1.7193436785806493,False
-0.746664,400,163.220259,1.9330891636948826,False
0.445274,400,169.708306,1.6980160544608767,False
-0.294357,400,169.829839,0.38144052634957926,False
-0.502263,400,169.95499,1.2969333118293809,False
0.061307,400,170.078356,2.0864830388076174,False
0.383142,400,170.211598,1.7700580121903717,False
-0.268034,400,176.662673,1.5165761777852913,False
0.091138,400,176.788523,2.0363710823580754,False
-0.074595,400,176.916509,1.6531817335678325,False
-0.693456,400,177.042411,0.804785881447455,False
-0.745646,400,177.182952,0.3902083018667125,False
0.076846,400,183.107762,1.9461592805240802,False
-0.400088,400,183.230853,1.1841992197678612,False
0.291378,400,183.352679,1.4919705195926436,False
-0.558244,400,183.48251,0.6370994846514797,False
0.153071,400,183.607552,1.3175700419107415,False
-0.816315,400,190.552808,0.5716465199104237,False
-0.311294,400,190.677239,0.8166779216801479,False
-0.063359,400,190.80307,1.113114933361859,False
-0.052075,400,190.932794,1.5830802362538363,False
