#{"t_start": 1754318452.6469662, "env_id": "None"}
r,l,t
0.1211,400,7.176123
-0.186339,400,7.357956
0.526541,400,7.53817
0.406468,400,7.720798
0.458934,400,7.887975
0.380547,400,15.574157
0.408661,400,15.74986
0.398813,400,15.916257
-0.645518,400,16.079653
-0.265005,400,16.247647
-0.907791,400,23.847781
0.35868,400,24.012784
0.383711,400,24.186646
-1.111468,400,24.353788
0.393077,400,24.531239
-0.16789,400,32.328356
-0.389656,400,32.501283
-0.10361,400,32.670041
0.11256,400,32.831641
0.002225,400,32.994205
-0.966663,400,40.693529
-0.147565,400,40.858933
-1.349249,400,41.035825
-0.699209,400,41.211383
0.352023,400,41.375418
-0.849876,400,49.156884
0.581589,400,49.339219
-0.93917,400,49.508821
0.104093,400,49.682459
0.299921,400,49.854395
-0.772842,400,57.4253
-0.292684,400,57.6223
-1.234763,400,57.803558
0.006151,400,57.972348
0.392961,400,58.142632
-1.038928,400,65.612211
0.089453,400,65.780086
0.148082,400,65.947313
-0.436186,400,66.113673
0.172,400,66.277692
0.018378,400,73.566606
0.044047,400,73.731389
-0.967523,400,73.895743
0.29176,400,74.059887
0.036247,400,74.231167
0.455973,400,81.989956
0.47087,400,82.152207
-0.045893,400,82.317
0.184868,400,82.48559
-0.995792,400,82.646452
9662
-0.094134,400,16.392609
-2.305853,400,17.248964
-1.309822,400,17.450314
-1.293204,400,17.634076
9.904418,124,17.693435
0.237081,400,17.891101
-0.337612,400,18.089739
0.276944,400,18.823763
-0.812813,400,19.045412
-0.669805,400,19.228964
0.251693,400,19.415569
0.037092,400,19.597463
0.274969,400,20.283709
-0.205349,400,20.474056
10.105961,70,20.507167
-0.810501,400,20.689352
0.163847,400,20.871055
0.325844,400,21.054662
-0.229543,400,21.735974
-1.149562,400,21.923154
0.267009,400,22.105319
-0.55279,400,22.290792
-0.690645,400,22.48696
0.190345,400,23.160055
-0.081102,400,23.338992
0.283328,400,23.540293
-0.104964,400,24.589484
-0.777486,400,24.771356
-0.333222,400,25.442722
0.429156,400,25.643299
0.094105,400,25.838238
0.13046,400,26.022723
0.056216,400,26.201679
0.26149,400,26.980992
-1.869165,400,27.222789
0.262757,400,27.437673
0.020391,400,27.629718
-0.785981,400,27.820449
0.019989,400,28.567844
0.384158,400,28.77832
-1.528637,400,28.972915
-1.398862,400,29.174914
0.304848,400,29.366438
-0.613143,400,30.113479
-0.861881,400,30.323612
-1.435078,400,30.515141
-0.808278,400,30.704206
-0.348744,400,30.898093
-0.210801,400,31.081042
0.410174,400,31.787553
0.115967,400,31.974026
-0.788096,400,33.046229
-0.379415,400,33.231188
-0.149325,400,33.421425
-0.058366,400,34.095242
0.32995,400,34.285446
0.200167,400,34.472348
-0.412877,400,34.67022
-0.144891,400,34.852676
0.317513,400,35.522495
-1.227684,400,35.730329
0.341681,400,35.913003
-0.205402,400,36.094163
0.097991,400,36.27174
0.373291,400,37.134666
-1.536893,400,37.334394
-1.019674,400,37.523261
-1.611074,400,37.718595
-0.607791,400,37.916659
0.407216,400,38.660912
0.334388,400,38.861854
0.190085,400,39.068278
0.252137,400,39.259687
-0.333929,400,39.447962
-1.482509,400,40.192334
-0.921932,400,40.387418
0.126523,400,41.426629
0.479633,400,41.615149
-1.063392,400,41.797312
0.362172,400,42.485697
0.300995,400,42.692371
0.283967,400,42.916051
9.388949,292,43.048648
-0.149386,400,43.231133
0.053126,400,43.421948
0.28559,400,44.098471
-0.119566,400,44.282062
0.46477,400,44.470844
-0.981458,400,44.66011
0.366959,400,44.84463
-1.225744,400,45.545027
0.036179,400,45.75841
10.274945,100,45.804423
-0.950412,400,45.982901
0.136798,400,46.17345
-0.193069,400,46.361704
-1.53065,400,47.146847
0.281408,400,47.382203
-0.903755,400,47.585202
-1.50665,400,47.782338
-1.076702,400,47.996608
0.404138,400,48.823889
-0.028039,400,49.902129
-0.30432,400,50.114447
0.303787,400,50.304893
-1.235804,400,50.487446
-0.935938,400,51.181022
-0.386186,400,51.373399
-1.110775,400,51.556935
0.474484,400,51.739799
-0.454343,400,51.919668
0.163227,400,52.591109
-0.172361,400,52.789502
-1.028493,400,52.982275
0.138056,400,53.171086
-0.771324,400,53.380601
-0.956621,400,54.063251
0.313455,400,54.256332
0.352363,400,54.454418
-0.784638,400,54.640212
0.452394,400,54.822289
-0.491259,400,55.506637
0.202339,400,55.706254
10.167598,360,55.873169
0.307099,400,56.056206
0.52894,400,56.237516
0.247777,400,56.420482
-0.548925,400,58.167186
-0.782558,400,58.37516
-0.140467,400,58.569895
-0.639664,400,58.75895
-1.765292,400,58.949059
-1.435561,400,59.634376
0.4234,400,59.826717
0.229568,400,60.024193
0.453546,400,60.209204
0.282115,400,60.404812
0.21032,400,61.077449
0.378343,400,61.265661
-1.493926,400,61.450751
0.306462,400,61.640059
-0.943342,400,61.817994
-1.374625,400,62.524185
0.264083,400,62.718579
10.096233,66,62.751743
-1.046456,400,62.93269
0.44272,400,63.120582
-0.132029,400,63.316643
0.468801,400,64.036532
-1.166174,400,64.230889
-0.321632,400,64.430027
-0.576827,400,64.619035
0.343632,400,64.79663
10.334101,219,65.391051
-0.929189,400,66.446023
0.429095,400,66.648622
-1.358975,400,66.83257
0.231005,400,67.035395
-0.327593,400,67.247328
-0.066964,400,68.080143
