#{"t_start": 1754321677.050881, "env_id": "None"}
r,l,t
-0.049078,400,5.137978
-0.792039,400,5.253884
-0.001687,400,5.368586
-0.324257,400,5.493583
0.310656,400,5.624647
0.66023,400,11.150604
0.58843,400,11.278915
0.245089,400,11.400157
-0.005315,400,11.522556
10.063878,112,11.555532
0.096677,400,18.366599
0.207756,400,18.485398
0.568355,400,18.601329
-0.21,400,18.714388
-0.022325,400,18.825262
-0.281274,400,24.339458
-0.401976,400,24.478786
0.556323,400,24.598575
-0.651564,400,24.715402
-1.000846,400,24.82657
0.213774,400,30.168291
0.100027,400,30.287522
-0.894015,400,30.39609
0.02863,400,30.51045
-0.32017,400,30.622476
-1.09184,400,37.327901
0.115,400,37.458178
-0.673297,400,37.574083
0.499006,400,37.68165
0.487653,400,37.794635
0.426222,400,43.278718
-0.239353,400,43.407039
-0.611285,400,43.5322
-0.601359,400,43.647303
-0.741996,400,43.764193
0.552741,400,49.158352
0.503812,400,49.278599
0.498431,400,49.39291
0.201494,400,49.508527
-0.266935,400,49.629655
0.473324,400,54.829111
0.205197,400,54.949074
0.458021,400,55.069431
0.08459,400,55.191833
0.205368,400,55.325725
-0.038424,400,64.288022
0.44133,400,64.533183
0.426761,400,64.769946
-0.246933,400,64.998599
-0.345661,400,65.233727
.717402
-2.307608,400,12.276522
-0.024533,400,12.412415
-1.284668,400,12.540531
-0.584518,400,12.666399
-0.06357,400,12.785964
-0.081033,400,13.312611
0.168145,400,13.457136
-1.277051,400,13.579139
-0.289555,400,13.707131
0.210111,400,13.832894
-0.691246,400,14.338479
-1.104458,400,14.510531
-0.35272,400,14.63178
-0.073031,400,14.760422
-0.077627,400,14.917249
-1.531465,400,15.669103
-1.440942,400,15.92031
-0.099158,400,16.217832
0.358999,400,16.52073
-0.381163,400,16.860318
0.197882,400,17.731822
-0.625086,400,17.924425
-0.34444,400,18.082011
-2.08048,400,18.240156
-0.042332,400,19.00521
0.457773,400,19.503082
-0.064462,400,19.690222
-0.603509,400,19.811989
-0.841991,400,19.945394
-1.218301,400,20.093294
-0.523108,400,20.556264
0.616642,400,20.735921
-0.123396,400,20.870257
-1.278243,400,21.003728
-0.176332,400,21.150832
0.449171,400,21.287392
0.292624,400,21.805557
-0.539564,400,21.946339
-0.693468,400,22.078676
0.269487,400,22.226108
-1.300259,400,22.371252
-1.304952,400,22.90467
0.398124,400,23.058942
-0.550305,400,23.192858
0.568486,400,23.327203
-0.631068,400,23.455857
-0.233009,400,23.95588
-0.150393,400,24.101014
0.284974,400,24.223224
-0.545664,400,24.971031
-1.1438,400,25.101111
-0.066382,400,25.616673
0.251576,400,25.772196
-0.647507,400,25.899644
-0.041705,400,26.026396
-0.505696,400,26.15334
-0.320855,400,26.663435
-0.977913,400,26.819971
0.03379,400,26.942337
-1.624322,400,27.068164
-0.014414,400,27.19617
-0.321773,400,27.668639
-0.923861,400,27.843536
-0.272632,400,27.970204
0.227595,400,28.09811
-0.015959,400,28.223995
0.211866,400,28.663223
0.155447,400,28.85304
0.134692,400,28.975663
0.382295,400,29.097653
0.172626,400,29.220499
-1.184302,400,29.730291
0.079432,400,29.929022
0.157933,400,30.068411
0.321311,400,30.77039
-0.046936,400,30.89913
-1.278086,400,31.044674
-0.086554,400,31.592788
-0.303294,400,31.738155
-1.650247,400,31.863983
-0.227761,400,31.999049
-0.229521,400,32.148936
-0.008048,400,32.650576
0.302321,400,32.791504
0.296061,400,32.93608
-1.7693,400,33.072958
-2.127934,400,33.215984
