#{"t_start": 1754404628.2174847, "env_id": "None"}
r,l,t
0.037901,400,8.339227
10.367608,115,8.384492
0.360162,400,8.533295
10.668579,119,8.588746
-0.412775,400,8.729627
10.724993,123,17.770184
10.527481,83,17.803593
0.188768,400,17.94851
10.598724,74,17.97112
0.322616,400,18.121705
0.290914,400,26.810801
0.584631,400,26.939309
10.419147,143,26.985934
10.966274,172,27.044873
0.203381,400,27.192548
0.663659,400,35.593753
0.410562,400,35.716552
10.466993,88,35.744248
0.469746,400,35.886844
-0.349966,400,36.009128
0.408844,400,45.171726
10.38726,80,45.206055
-0.384933,400,45.371034
10.948786,164,45.442711
10.636042,98,45.500939
-0.264447,400,53.731533
10.387884,112,53.771738
10.130087,79,53.798489
0.549166,400,53.946592
0.412384,400,54.091167
0.469547,400,62.750859
10.384751,133,62.792266
0.642845,400,62.919376
10.97303,173,62.969595
0.413411,400,63.095545
85,8.192385
0.226793,400,9.900116
0.04897,400,10.134605
10.646866,87,10.174977
10.139266,93,10.214851
-0.088472,400,10.372816
10.717018,82,10.406921
10.582295,134,10.468217
0.411938,400,10.668788
0.297987,400,11.882416
0.407402,400,12.148352
10.855803,214,12.247515
0.382215,400,12.392151
-0.266702,400,12.520107
10.76768,86,12.54971
0.220076,400,12.687518
0.647174,400,13.743324
10.157114,89,13.784545
-0.396638,400,13.999534
10.353221,103,14.044802
0.421427,400,14.226272
0.434287,400,14.383869
10.847888,169,14.449036
10.768798,133,14.506392
10.878913,171,15.358257
0.380098,400,15.529959
-0.192198,400,15.662556
10.936653,167,15.715543
10.636124,111,15.75113
0.357154,400,15.902258
10.716581,154,15.955138
-0.634078,400,16.931465
0.389971,400,17.152383
10.548116,49,17.179488
0.420591,400,17.421659
10.389244,94,17.472672
-0.134419,400,17.693545
0.089166,400,18.275934
10.367136,96,18.311248
-0.333883,400,19.406885
0.463954,400,19.566645
-0.393724,400,19.713803
10.703964,106,19.749269
10.695044,83,19.78414
10.684748,116,19.836886
0.117489,400,19.984869
10.533283,49,20.003519
10.894825,163,20.066825
10.755434,135,21.005865
10.701125,121,21.078923
10.558957,77,21.135603
10.811742,85,21.176005
0.506461,400,21.365503
-0.330071,400,21.519894
0.232021,400,21.667925
10.68472,117,21.710918
-0.391019,400,22.677164
10.546601,135,22.748778
10.689466,85,22.792843
0.348249,400,22.95569
10.623025,91,22.988245
10.563813,51,23.007275
-0.34625,400,23.18402
10.651106,80,23.217435
-0.252464,400,23.379124
