#{"t_start": 1754404213.049283, "env_id": "None"}
r,l,t
0.224219,400,7.542288
10.4917,79,7.565586
0.322241,400,7.714326
0.041376,400,7.842147
10.366729,114,7.876058
10.727731,119,16.007335
10.529935,86,16.033044
0.18623,400,16.149398
10.5958,76,16.17031
0.317349,400,16.287015
10.576561,97,23.625925
10.827585,90,23.65458
0.513848,400,23.780757
10.523523,77,23.804838
-0.326823,400,23.931034
10.288529,92,31.783463
10.169717,98,31.81313
0.13335,400,31.939508
10.395302,114,31.97975
0.452801,400,32.121803
0.409492,400,39.748929
10.38857,85,39.779142
-0.228355,400,39.935878
10.954061,173,40.000461
10.655503,94,40.0374
10.336595,92,47.831974
10.702604,159,47.87574
10.588915,48,47.889003
10.762072,141,47.926547
10.542698,135,47.965948
10.542462,81,55.379328
0.153944,400,55.541739
0.566519,400,55.699697
10.613218,85,55.734893
0.439523,400,55.922631
10.323145,133,64.451425
0.00921,400,64.598463
0.077771,400,64.723478
0.37716,400,64.852372
10.521193,80,64.878661

-0.079568,400,9.345803
10.70622,84,9.380535
10.602326,156,9.435526
0.391227,400,9.583713
0.261353,400,10.615639
0.406234,400,10.823666
-0.033971,400,10.985308
0.40348,400,11.148468
-0.249036,400,11.339252
10.770203,86,11.373875
0.191761,400,12.437179
10.155738,81,12.487373
-0.379167,400,12.648979
10.353046,98,12.685611
0.425683,400,12.836878
0.451532,400,13.001992
10.85216,167,13.071708
-0.392378,400,13.931634
0.40085,400,14.135344
-0.19075,400,14.269382
10.934368,163,14.325752
10.6377,127,14.367991
10.713996,91,14.400851
10.71313,130,14.444401
0.101768,400,14.601972
0.491314,400,15.50101
0.41071,400,15.669171
10.55094,49,15.684457
0.395112,400,15.815736
10.389825,90,15.844839
-0.021304,400,15.975901
0.073888,400,16.445012
10.363745,106,17.108429
0.487804,400,17.301864
10.668312,110,17.344882
10.681859,107,17.378109
10.698431,90,17.406206
10.686534,118,17.45042
0.124373,400,17.58707
10.535335,49,17.603644
10.908347,144,17.65042
10.789792,110,17.687203
0.195523,400,17.812248
0.061301,400,18.57907
10.684657,131,18.644238
10.564711,91,18.683228
10.826192,88,18.712325
0.512011,400,18.83678
-0.335327,400,18.964181
10.571357,80,18.988602
10.685082,119,19.027746
10.699225,100,19.057539
10.931557,191,19.120482
0.088716,400,19.988352
-0.392342,400,20.200223
0.279246,400,20.347404
0.380979,400,20.496213
10.61277,98,20.531765
10.549773,48,20.548284
-0.349213,400,20.686266
10.627869,90,21.532222
-0.754704,400,21.726275
0.48493,400,21.868563
-0.088418,400,22.025066
0.381683,400,22.172296
0.380369,400,22.318382
-0.25923,400,23.263274
0.153416,400,23.410997
10.788143,179,23.473895
10.281503,110,23.514268
-0.208278,400,23.99854
10.558549,151,24.055127
10.537029,73,24.082891
10.750725,130,24.134006
0.504554,400,24.936394
0.391216,400,25.131817
10.423027,122,25.179401
10.269389,118,25.231408
10.267807,84,25.269005
10.448682,84,25.30666
10.812857,163,25.366151
0.044157,400,25.51238
10.841839,167,25.569369
0.096572,400,26.374616
0.449084,400,26.635588
-0.261744,400,26.837152
10.306069,233,26.941652
0.05931,400,27.074853
-0.227211,400,27.213765
-0.037769,400,28.232141
11.00161,183,28.311497
10.549685,62,28.335574
0.428799,400,28.458003
-0.078045,400,28.58789
0.122049,400,28.739882
10.116765,78,28.767145
10.596784,75,28.791824
10.487195,52,28.808436
10.81403,137,28.853756
0.440056,400,29.812324
0.40797,400,29.962549
-0.018409,400,30.13429
-0.496831,400,30.27021
10.593265,82,30.300149
10.654336,99,30.332021
10.316937,41,30.345528
10.692697,108,30.380988
-0.429081,400,31.44786
10.929496,165,31.527731
-0.051597,400,31.668985
10.616187,93,31.70428
10.608608,80,31.733316
10.568043,74,31.762932
0.39215,400,32.29122
-0.447511,400,32.441157
-0.556113,400,33.361673
10.985021,94,33.407076
-0.352499,400,33.565938
10.749537,82,33.607622
-0.402177,400,33.76263
-0.729837,400,33.915044
-0.547442,400,34.065229
10.284384,116,34.924345
-0.089037,400,35.119875
0.394368,400,35.266531
10.644229,107,35.301652
10.815466,140,35.34642
-0.039074,400,35.501446
10.408928,126,35.544495
0.642234,400,35.677073
-0.725592,400,36.537186
0.141865,400,36.664497
0.160744,400,36.792433
0.39277,400,36.919439
10.671174,129,36.960972
0.6277,400,37.756855
0.546574,400,37.974957
10.777347,219,38.043412
0.415069,400,38.188504
10.713273,294,38.307775
10.734655,132,38.363393
-0.466523,400,38.531352
0.053082,400,39.418801
10.399161,45,39.438783
0.104565,400,39.585923
0.12058,400,40.169241
10.391994,117,40.218049
-0.172163,400,40.357325
10.238406,108,40.398913
-0.001032,400,41.387206
10.512321,50,41.417368
10.320775,199,41.532023
0.126946,400,41.689389
-0.468638,400,41.837426
-0.251278,400,41.990378
0.044878,400,42.144042
0.244468,400,43.15124
0.407557,400,43.324343
10.354627,138,43.380963
-0.136349,400,43.510036
10.761222,137,43.559193
10.825682,164,43.609619
10.636096,113,43.647053
10.768145,136,43.689424
10.183924,91,43.717239
-0.031717,400,44.602905
10.582933,89,44.650365
