#{"t_start": 1754392022.8957968, "env_id": "None"}
r,l,t
-0.033964,400,4.533397
-0.11065,400,4.659249
-0.140625,400,4.767713
-0.063705,400,4.881876
-0.092681,400,4.995731
-0.07319,400,9.803433
-0.108513,400,9.918968
-0.159482,400,10.037129
0.067745,400,10.161657
-0.256739,400,10.282795
0.511992,400,16.004337
0.227256,400,16.12704
0.526342,400,16.266724
0.026613,400,16.389788
-0.093815,400,16.515289
0.123919,400,22.523113
0.109135,400,22.667246
0.531604,400,22.806829
-0.52968,400,22.962785
10.122903,154,23.015385
0.235392,400,29.229743
0.167311,400,29.357683
10.319962,166,29.409544
0.130345,400,29.546025
-0.482572,400,29.675004
-0.857118,400,34.898575
0.077379,400,35.045738
-0.530601,400,35.164048
0.403519,400,35.280015
0.5017,400,35.395347
0.380231,400,41.590972
-0.031242,400,41.709387
-0.307298,400,41.832293
-0.447298,400,41.975112
-0.7131,400,42.100483
0.428725,400,48.108188
0.21425,400,48.274621
0.416528,400,48.417024
-0.057223,400,48.566145
-0.504684,400,48.704783
0.223709,400,55.264886
-0.035055,400,55.394095
0.399174,400,55.512554
-0.126078,400,55.627369
-0.07208,400,55.734717
400,9.264357
0.231166,400,9.407859
-0.370174,400,9.543893
-0.434035,400,9.692528
-0.484291,400,10.436799
-0.973088,400,10.972012
0.730655,400,11.115878
-0.201455,400,11.251114
-0.401434,400,11.387899
-0.044487,400,11.523941
-0.105058,400,12.109417
0.460234,400,12.260873
-0.30103,400,12.390264
-0.142064,400,12.530545
0.289493,400,12.664783
-0.210798,400,13.236526
-0.529634,400,13.398546
-0.559854,400,13.534849
-0.527493,400,13.675776
0.082245,400,13.808829
-0.344323,400,14.339206
-0.252334,400,14.51297
0.455363,400,14.642536
-0.608463,400,14.777555
0.430501,400,14.916397
0.370793,400,15.449321
-0.739041,400,15.623137
-0.474695,400,15.750656
-0.518974,400,15.88636
0.162168,400,16.684422
0.07358,400,17.24124
0.254907,400,17.438743
-0.063368,400,17.577489
-0.290582,400,17.717151
-0.997388,400,17.846668
-0.415888,400,18.440176
0.486009,400,18.636868
-0.45234,400,18.77127
-0.600826,400,18.910494
0.378487,400,19.041728
0.343454,400,19.181536
-0.575959,400,19.74884
0.187692,400,19.885825
-0.325033,400,20.016367
0.333852,400,20.155166
-0.765108,400,20.293427
-0.591768,400,20.903405
0.316328,400,21.044557
-0.287661,400,21.173625
0.407059,400,21.306963
-0.313401,400,21.442996
0.023141,400,22.071741
0.036164,400,22.223061
0.286979,400,22.366848
-0.265107,400,23.17773
-0.646181,400,23.316103
0.044202,400,23.824244
0.088613,400,23.999688
-0.629028,400,24.134443
-0.143982,400,24.272243
-0.719692,400,24.419872
0.000696,400,24.998376
-0.41247,400,25.199727
0.311609,400,25.33781
-0.014986,400,25.457929
0.072772,400,25.577245
-0.433087,400,26.206053
-0.012596,400,26.439614
-0.341724,400,26.613067
0.360379,400,26.803157
0.319958,400,26.970492
0.230692,400,27.547734
0.15261,400,27.73428
-0.193918,400,27.870749
0.333005,400,28.011521
0.38764,400,28.183837
-0.156626,400,28.774132
0.186237,400,28.9687
0.406448,400,29.113202
0.406253,400,29.825602
0.015329,400,29.949496
-0.106171,400,30.070738
0.311341,400,30.591419
-0.290687,400,30.726343
-0.574797,400,30.851534
0.00569,400,30.973676
0.19905,400,31.092846
0.305622,400,31.564032
0.248979,400,31.70842
0.399248,400,31.851491
-0.595393,400,31.988344
-0.369452,400,32.113483
-0.745513,400,32.585339
-0.897346,400,32.726376
-0.557672,400,32.861
0.31921,400,32.983787
0.236409,400,33.108063
-0.518405,400,33.568694
0.37399,400,33.719017
-0.835198,400,33.837906
-0.05395,400,33.972188
-0.896529,400,34.096895
-0.090218,400,34.560188
-0.407202,400,34.768006
0.240028,400,35.537745
-0.570867,400,35.761786
0.362804,400,35.938576
0.293048,400,36.55761
-0.03582,400,36.75527
-0.105655,400,36.903087
0.200141,400,37.084176
-0.135362,400,37.307215
-0.202311,400,37.872807
-0.1647,400,38.051507
-0.392776,400,38.192645
-0.376429,400,38.362457
0.222717,400,38.540165
-0.331846,400,39.184845
0.419056,400,39.400171
0.364864,400,39.564184
0.112719,400,39.713774
0.272936,400,39.848845
-0.015857,400,40.313933
0.25392,400,40.490427
0.238392,400,40.629636
-0.065031,400,40.747551
-0.436443,400,40.871267
-0.292518,400,40.991704
0.286265,400,41.470522
-0.216537,400,42.249491
0.115217,400,42.406587
0.068095,400,42.589838
0.207059,400,42.750359
-0.724363,400,43.34214
-0.17603,400,43.545528
-0.771709,400,43.70378
0.348578,400,43.849214
-0.012125,400,43.976114
-0.89588,400,44.493697
-0.114007,400,44.670967
-0.282904,400,44.806492
-0.772815,400,44.945689
0.27083,400,45.071315
0.233168,400,45.5535
0.056355,400,45.706408
-0.019263,400,45.824941
0.355525,400,45.97644
-0.06427,400,46.130985
10.156358,85,46.184381
0.204563,400,46.802959
0.344547,400,46.982902
10.109679,61,47.009064
-1.007262,400,47.187035
0.282772,400,47.334594
0.18306,400,47.469026
-0.274315,400,48.780005
0.419179,400,48.97679
-0.267467,400,49.112355
0.071468,400,49.252733
0.01137,400,49.400836
0.036914,400,49.935609
0.345132,400,50.090588
0.364607,400,50.21212
-0.521954,400,50.385733
0.13176,400,50.513054
-0.627663,400,50.9767
-0.788684,400,51.159782
-0.525029,400,51.319919
0.216075,400,51.454325
-0.997689,400,51.590124
-0.247708,400,52.994271
-0.636412,400,53.226342
0.247166,400,53.371114
0.261779,400,53.552001
0.239021,400,53.71962
-0.85236,400,54.343028
-0.296714,400,54.543296
-0.389307,400,54.713598
-0.042088,400,54.851117
0.196856,400,54.986429
-0.329445,400,56.214004
-0.353332,400,56.451684
-0.155811,400,56.595745
-0.560875,400,56.732331
-0.029295,400,56.852523
-0.025324,400,56.981668
-0.301934,400,57.590985
0.15153,400,57.754143
0.310056,400,57.9611
-0.928481,400,58.122452
-0.266571,400,58.267099
-0.852262,400,58.834817
0.011261,400,59.028138
-0.017285,400,59.226423
-0.834504,400,59.385276
-0.854443,400,59.504406
0.089335,400,60.0539
-0.660659,400,60.194096
