#{"t_start": 1754318952.4075599, "env_id": "None"}
r,l,t
0.123655,400,7.203453
-1.052012,400,7.365481
0.539275,400,7.532972
0.415418,400,7.698669
0.467317,400,7.865007
0.396042,400,15.753687
0.424705,400,15.930969
0.429939,400,16.108294
10.498529,345,16.251586
-0.175922,400,16.417973
-0.951775,400,24.279371
0.48751,400,24.449516
0.493984,400,24.6263
-1.182118,400,24.785273
0.483177,400,24.95173
-0.019314,400,32.386408
-0.327938,400,32.55127
0.264525,400,32.717437
-0.233372,400,32.881602
0.730914,400,33.046861
10.079502,76,40.545252
-0.276985,400,40.718009
-0.896186,400,40.889188
0.017356,400,41.056596
0.304871,400,41.246845
400,8.558628
-0.535157,400,8.733225
-0.447612,400,8.927945
-0.259502,400,9.14429
-0.003121,400,9.355927
-1.10987,400,10.19997
0.409457,400,10.411767
-1.175949,400,10.596882
-0.272235,400,10.789543
-0.578242,400,10.97902
0.281934,400,11.775292
-0.93214,400,11.986546
-1.802314,400,12.175951
-0.357488,400,12.41794
-0.48628,400,12.633678
-1.142418,400,13.356685
-1.311689,400,13.569733
0.262127,400,13.76131
0.056955,400,13.94545
-0.048525,400,14.131536
-1.736485,400,14.310142
0.188111,400,15.022115
0.068578,400,15.212792
0.336682,400,15.404958
-0.738059,400,15.582952
-0.083481,400,16.631441
-1.401148,400,17.35284
-1.500377,400,17.54459
-1.503131,400,17.726611
10.056231,61,17.755994
-0.663195,400,17.951419
-0.894086,400,18.137493
0.262398,400,18.82369
-0.575209,400,19.056828
-0.843766,400,19.266962
0.224368,400,19.479309
0.445721,400,19.692985
0.31782,400,20.519307
-0.598588,400,20.723104
-1.391369,400,20.918309
-0.485354,400,21.115304
0.224466,400,21.335176
0.281478,400,22.119928
-1.211178,400,22.352777
-0.40383,400,22.54183
-0.887254,400,22.731399
-0.896998,400,22.911428
0.240342,400,23.602296
-0.092472,400,23.79335
0.365338,400,23.979374
-0.094015,400,25.004091
10.253651,187,25.093023
0.042371,400,25.272777
-0.337811,400,25.977238
0.124426,400,26.164127
-0.007857,400,26.347563
-0.108508,400,26.526334
-0.015473,400,26.722755
-0.032307,400,27.402697
-1.954044,400,27.592361
0.19659,400,27.781908
-0.16636,400,27.978837
-1.082044,400,28.156296
0.032108,400,28.826691
0.179035,400,29.053102
-1.383969,400,29.27053
-0.935439,400,29.461253
-0.094208,400,29.654389
-0.921196,400,30.364951
10.114935,187,30.463945
10.151574,154,30.531992
-0.913833,400,30.720097
-0.440175,400,30.901217
-0.193585,400,31.085259
0.436048,400,31.753641
0.414016,400,31.94392
-0.321369,400,32.126189
-0.654255,400,33.166622
-0.166002,400,33.362944
-0.847334,400,34.042761
0.167587,400,34.23696
-0.042183,400,34.424599
-0.441611,400,34.623111
-0.044931,400,34.806182
0.293794,400,34.990648
-0.272721,400,35.648697
-0.895901,400,35.829212
0.340737,400,36.009008
-0.32621,400,36.199591
-0.773766,400,36.401495
0.30957,400,37.115758
-1.873138,400,37.318832
-0.10163,400,37.499221
-1.168551,400,37.682297
-0.493216,400,37.896925
0.425431,400,38.580903
0.371746,400,38.769185
-0.855172,400,38.977926
-0.071568,400,39.165017
-0.688531,400,39.393011
-1.012731,400,40.22013
-0.986279,400,40.424551
-0.816326,400,41.365093
0.390731,400,41.565313
-0.357714,400,41.765175
0.4027,400,42.575675
0.149291,400,42.780312
0.371743,400,42.961862
-1.933456,400,43.157361
-0.777972,400,43.348965
0.015402,400,44.076226
-0.132417,400,44.272337
0.381898,400,44.462723
-0.314586,400,44.670308
0.333912,400,44.852781
-1.485361,400,45.507629
0.069958,400,45.720276
-0.678251,400,45.912929
0.292971,400,46.095607
-0.259167,400,46.272748
-0.310716,400,47.073278
0.32788,400,47.293546
0.006604,400,47.48375
-1.19834,400,47.689796
-0.670969,400,47.898668
0.326101,400,48.10008
