#{"t_start": 1754404093.6002693, "env_id": "None"}
r,l,t
10.493095,80,7.857556
0.312111,400,7.997597
0.039444,400,8.124302
10.363812,119,8.162994
0.432658,400,8.357036
10.72639,118,16.640121
10.529805,83,16.665565
0.184815,400,16.78195
10.583937,82,16.807582
10.39823,49,16.822791
10.579511,94,24.856732
10.832312,87,24.885049
0.506771,400,25.020768
10.529583,75,25.0453
10.869308,179,25.114313
10.607636,79,33.447334
-0.700156,400,33.573071
0.408096,400,33.703779
10.289361,90,33.733999
-0.16582,400,33.865902
10.934618,177,43.757303
-0.366824,400,43.937697
0.147884,400,44.06715
10.553329,93,44.096686
10.439521,78,44.119723
0.156055,400,53.970017
0.087986,400,54.145647
-0.403483,400,54.31363
10.482195,118,54.362544
0.475044,400,54.539731
10.909674,185,63.302816
10.467721,107,63.353205
10.450638,45,63.3708
10.325687,104,63.413442
-0.06465,400,63.581648
11.114649,94,72.041824
-0.186109,400,72.208415
10.80281,163,72.27943
10.431748,72,72.307316
0.520456,400,72.446956
10.758889,82,79.733563
-0.517362,400,79.869357
10.747334,121,79.909195
0.024241,400,80.049934
10.218427,86,80.084138
-0.023509,400,88.226954
-0.484977,400,88.353068
10.530953,52,88.370566
10.270461,86,88.40094
10.714215,83,88.427606
0.663676,400,96.673437
10.74351,136,96.743644
-0.057539,400,96.890103
-0.701221,400,97.0237
10.854998,238,97.105837
10.829174,142,105.806626
0.005221,400,105.950462
10.757688,81,105.973845
0.438427,400,106.108004
10.200479,91,106.143773
,400,14.544426
0.414043,400,14.723514
-0.19367,400,14.8864
10.91637,155,14.944861
10.625918,118,14.986759
10.715049,86,15.021854
10.723813,169,15.099076
0.096007,400,15.271511
10.82004,91,16.020402
0.394176,400,16.229206
10.543601,50,16.25115
0.385707,400,16.400307
10.396929,68,16.422989
-0.452626,400,16.561676
0.05707,400,16.933214
10.367043,74,16.961347
10.525019,81,16.996518
0.466155,400,18.003099
0.466556,400,18.180136
-0.415095,400,18.33033
-0.703799,400,18.502176
10.68861,107,18.538101
10.67544,118,18.58238
0.120092,400,19.484452
10.69318,126,19.562086
10.564437,80,19.61621
10.810904,85,19.660695
0.503304,400,19.812546
-0.327872,400,19.945586
10.571311,86,19.973708
10.684433,119,20.013275
-0.781933,400,20.144833
10.905925,161,20.200317
0.079494,400,21.241174
10.539221,113,21.285194
10.697537,87,21.316932
0.402052,400,21.468176
10.624177,120,21.515425
-0.694955,400,21.650809
-0.356431,400,21.788385
-0.747753,400,22.730886
10.613141,58,22.760932
0.459654,400,22.957071
-0.008569,400,23.109699
0.399088,400,23.249583
0.40667,400,23.385491
10.44708,75,23.413447
10.500269,48,23.431595
0.39887,400,24.425678
10.528351,79,24.472276
-0.976075,400,24.624286
-0.089729,400,24.784878
10.865044,159,25.134069
10.575125,100,25.184173
-0.80781,400,25.330643
10.76237,129,25.380258
0.494023,400,26.354518
0.393471,400,26.514041
10.418159,149,26.56346
10.269233,104,26.596287
10.274637,82,26.627248
10.441982,78,26.655769
10.827726,158,26.712078
10.604135,82,26.745095
-0.317825,400,26.903142
0.077332,400,27.893138
0.44768,400,28.095578
10.772578,136,28.142884
10.344472,108,28.187013
0.222086,400,28.329516
-0.193126,400,28.472133
-0.042792,400,28.62023
10.868083,181,29.60305
0.05435,400,29.811522
-0.526553,400,29.954423
0.41173,400,30.120479
-0.064709,400,30.280429
0.119184,400,31.344769
0.404501,400,31.560189
0.008441,400,31.707515
-0.494378,400,31.873114
10.583092,93,31.914775
10.638622,104,31.950164
10.327787,46,31.965996
-0.529373,400,32.11568
-0.434328,400,33.105903
10.924699,178,33.19092
-0.057125,400,33.335198
-0.389376,400,33.939268
10.374875,158,33.996901
10.808897,88,34.026037
10.755314,149,34.076871
10.750886,127,34.127151
10.616099,100,34.166332
10.905758,166,34.224607
10.484002,51,34.985745
10.981786,95,35.03523
10.327467,66,35.071367
10.754047,83,35.11756
-0.3973,400,35.300786
10.608652,85,35.332586
10.228215,71,35.358467
10.270953,124,35.404321
0.450224,400,35.550815
0.439105,400,35.702892
0.380906,400,36.685125
10.475077,54,36.720365
0.396989,400,36.925437
10.671276,103,36.96921
10.818583,153,37.034678
-0.030136,400,37.18602
10.401732,129,37.230715
0.641647,400,37.380087
-0.705494,400,38.924746
0.123683,400,39.236065
0.164763,400,39.432551
0.409147,400,39.58429
10.667517,134,39.631604
0.620334,400,39.813151
10.518672,139,39.889517
-0.008695,400,41.268509
0.603269,400,41.452169
10.76636,231,41.556433
0.393298,400,41.751296
-0.159585,400,41.955554
-0.251208,400,43.264022
10.754989,95,43.322594
-0.365507,400,43.555024
-0.239844,400,44.199893
10.628633,91,44.243499
-0.803667,400,44.410449
0.009416,400,44.619495
0.385213,400,45.907125
0.213744,400,46.117856
10.39928,44,46.136534
0.440961,400,46.330562
-0.174044,400,46.53203
0.475808,400,46.78897
-0.052094,400,48.014936
0.612687,400,48.227688
0.407862,400,48.430971
0.125707,400,48.620877
10.485079,79,48.662459
10.289706,73,48.702581
10.790887,238,48.825532
10.73536,128,48.888828
10.769761,143,50.040962
10.237832,98,50.101945
10.402742,82,50.15426
0.105657,400,50.423497
0.440132,400,50.581609
10.672431,145,50.632755
-0.062162,400,50.774194
10.265362,90,50.809752
10.572043,89,50.842443
10.348637,87,50.874507
0.115923,400,51.861316
0.07869,400,52.062331
10.293689,135,52.122639
10.602498,83,52.155058
10.228629,83,52.182697
10.884264,93,52.217508
10.218719,91,52.250144
0.397668,400,52.397874
-0.222318,400,52.538856
10.874199,162,52.595899
0.064239,400,53.72282
-0.644998,400,54.624373
10.345425,112,54.668061
10.37885,73,54.697501
0.01725,400,54.875791
10.930838,172,54.998415
10.34972,204,55.095371
10.588026,151,55.153048
-0.047336,400,56.186687
10.625748,95,56.233611
-0.92262,400,56.397355
-0.606468,400,56.562452
10.77032,133,56.612753
0.127005,400,56.748892
10.882058,165,56.804219
0.05711,400,57.696189
10.668988,149,57.771075
10.533037,88,57.810912
10.437263,99,57.843348
-0.716405,400,57.978422
10.46391,84,58.005015
10.596028,48,58.022312
10.385768,81,58.049227
10.637501,93,58.078606
10.379955,75,58.103497
0.083019,400,58.237159
10.874592,163,58.29392
0.52836,400,59.280552
10.70947,120,59.340957
0.464829,400,59.588674
-0.325729,400,59.768691
10.634782,98,59.804565
10.649594,94,59.837368
0.375774,400,60.001795
0.385095,400,61.016923
0.139648,400,61.263791
10.868995,86,61.309134
10.792697,86,61.351334
10.425865,75,61.379514
0.403845,400,61.559527
10.749691,224,61.661911
0.287201,400,61.857317
0.169965,400,63.077859
-0.821468,400,63.668672
0.567945,400,63.843882
0.359548,400,64.008133
10.715759,113,64.067988
10.303618,89,64.150716
10.750384,135,64.220994
10.913667,165,64.283573
10.611142,95,64.323943
10.86529,85,64.356425
0.402376,400,65.404829
0.057845,400,65.569768
10.610111,81,65.607722
-0.035047,400,65.765591
10.975723,149,65.820134
10.259605,90,65.853315
0.6126,400,66.006874
0.421708,400,66.986383
10.6563,113,67.05123
0.085621,400,67.213681
0.193652,400,67.361614
0.33974,400,67.50758
0.548623,400,67.680266
10.857083,151,68.66334
0.01721,400,68.882516
10.719995,136,68.940468
10.856492,220,69.030889
10.725695,119,69.074153
-0.125029,400,69.231592
0.552486,400,69.380842
10.234934,73,69.408759
-0.628421,400,70.373163
0.399836,400,70.56939
-0.232753,400,70.7149
0.041999,400,70.861724
0.397924,400,71.016633
0.42133,400,71.981652
0.455023,400,72.598939
10.686473,77,72.62702
10.805261,90,72.656908
10.501098,82,72.690558
10.791047,145,72.744993
-0.128032,400,72.898215
10.308083,66,72.922425
0.392359,400,73.068037
-0.450223,400,74.04679
-0.455965,400,74.261077
0.381083,400,74.411738
-0.184426,400,74.579014
0.558823,400,74.733142
-0.037982,400,75.695122
-0.397651,400,75.90504
10.313369,112,75.944777
0.414846,400,76.097247
-0.465268,400,76.240718
10.531877,91,76.273496
0.366657,400,76.437224
10.417214,87,76.470507
10.257811,102,76.507492
0.097614,400,77.509749
10.344951,47,77.529096
0.378946,400,77.67933
0.403304,400,77.83262
0.104247,400,78.00245
10.235099,88,78.034924
0.398107,400,78.94401
-0.934179,400,79.158847
10.505436,71,79.188503
10.738787,119,79.237195
10.746242,131,79.286541
10.695812,83,79.317971
0.482812,400,79.466065
