#{"t_start": 1754321834.2551413, "env_id": "None"}
r,l,t
0.064369,400,5.294299
-0.06697,400,5.40993
0.065807,400,5.521873
-0.042937,400,5.63311
0.31275,400,5.746321
0.661088,400,11.470972
0.619879,400,11.601582
-0.140915,400,11.727823
0.508471,400,11.865727
10.043516,188,11.921517
0.19374,400,17.610961
0.253496,400,17.728968
0.554695,400,17.848487
0.106119,400,17.965329
0.187752,400,18.083874
-0.312167,400,23.770985
-0.434504,400,23.893643
0.564925,400,24.025024
-0.626136,400,24.144784
-1.013331,400,24.272333
0.141794,400,31.589888
0.040897,400,31.709205
-0.914387,400,31.838344
0.010504,400,31.971852
-0.308686,400,32.104984
-1.171846,400,38.103574
-0.12987,400,38.219167
-0.782239,400,38.351306
0.477599,400,38.472667
0.457446,400,38.593103
0.298057,400,44.822644
-0.277743,400,44.954572
-0.711488,400,45.080628
-0.578627,400,45.207531
-0.558407,400,45.35721
8
-1.127278,400,8.642839
-0.3054,400,8.769339
-0.752856,400,8.899286
0.310726,400,9.042148
0.186822,400,9.543286
0.342637,400,9.737656
-0.307567,400,9.864902
0.058878,400,9.994733
-0.619116,400,10.125291
-0.631921,400,10.257727
-0.623185,400,10.880936
0.152758,400,11.02902
-1.725921,400,11.198344
0.100386,400,11.347755
-1.025778,400,12.066263
-1.623831,400,12.604505
-0.089105,400,12.784868
-1.429918,400,12.937973
-0.667764,400,13.067416
-0.109879,400,13.195175
-0.278942,400,13.71247
-0.046381,400,13.869603
-1.260091,400,14.01472
-0.428489,400,14.142733
0.238498,400,14.275404
-0.689593,400,14.806957
-1.014116,400,14.980391
-0.352208,400,15.137182
-0.158714,400,15.27419
-0.024786,400,15.412867
-1.406932,400,15.947151
-1.437681,400,16.123672
-0.128418,400,16.271696
0.349786,400,16.397286
-0.695753,400,16.531123
-0.820498,400,17.051072
-0.653703,400,17.229232
-0.348321,400,17.36673
-1.565212,400,17.500386
0.025072,400,18.234624
0.03631,400,18.765093
-0.127502,400,18.946656
-0.789249,400,19.07406
-0.993933,400,19.20976
-1.434277,400,19.342181
-0.098818,400,19.875914
0.024905,400,20.081271
-0.284896,400,20.210138
-1.28534,400,20.344114
0.262064,400,20.473962
0.524485,400,20.619303
0.306068,400,21.211011
-0.264286,400,21.351287
-0.872871,400,21.473646
0.276662,400,21.604722
-1.419654,400,21.740297
-1.936809,400,22.269027
0.385319,400,22.416823
-0.463175,400,22.546453
0.474361,400,22.67599
-0.961672,400,22.807838
-0.605651,400,23.352833
-0.12788,400,23.513271
0.273471,400,23.650969
-0.484168,400,24.421903
-1.157785,400,24.561665
-0.086025,400,25.175487
0.262835,400,25.332819
-0.455816,400,25.471566
-0.020802,400,25.599341
-0.717082,400,25.742299
-0.875516,400,26.288813
-0.975317,400,26.454594
-0.154928,400,26.582872
-1.605217,400,26.781659
-0.071186,400,27.060886
-0.356503,400,27.962794
-0.831447,400,28.232177
-0.23034,400,28.523573
0.296474,400,28.787226
-0.017736,400,29.064044
0.122913,400,29.936362
0.157012,400,30.152736
0.119968,400,30.27701
0.247433,400,30.417739
0.40216,400,30.560037
-1.346408,400,31.131492
0.064384,400,31.328791
-0.728386,400,31.466224
0.349061,400,32.257273
-0.495024,400,32.39478
-0.861777,400,32.528247
-0.331247,400,33.13025
-0.392615,400,33.264735
-2.251039,400,33.39166
-0.358308,400,33.531217
-0.29546,400,33.681169
0.041565,400,34.324975
0.217152,400,34.46246
0.277481,400,34.598018
-2.253437,400,34.729711
-2.18086,400,34.865808
-0.713416,400,35.437076
-1.575835,400,35.608026
-0.649698,400,35.745135
0.222656,400,35.87823
0.184204,400,36.019108
-0.65051,400,36.651865
0.294072,400,36.818693
-0.953058,400,36.968785
-0.23292,400,37.114907
-2.079437,400,37.253754
0.076218,400,37.828534
-0.310983,400,37.992901
0.11897,400,38.748618
-1.085682,400,38.881629
0.362188,400,39.013816
0.115239,400,39.537043
-1.549527,400,39.711757
-1.506853,400,39.850759
-0.702338,400,40.009739
-0.616266,400,40.158919
-1.113958,400,40.677456
-0.144224,400,40.873785
-1.893326,400,41.180923
10.148759,399,41.339555
-0.068835,400,41.474836
-0.931146,400,42.068412
0.276399,400,42.276463
0.287831,400,42.443105
-0.329215,400,42.609376
0.221335,400,42.765915
-0.221895,400,43.326631
0.168808,400,43.526037
0.18325,400,43.658878
0.007046,400,43.798398
-0.205999,400,43.936075
-0.402474,400,44.085592
0.190086,400,44.69677
-1.389281,400,45.525252
0.266136,400,45.670299
0.06893,400,45.814606
-0.740186,400,45.955687
-0.824284,400,46.551572
-0.708091,400,46.700958
-0.797399,400,46.8437
-0.052218,400,46.983095
0.182867,400,47.123653
-0.779241,400,47.719703
-0.580827,400,47.867114
-1.279668,400,48.009347
-1.19741,400,48.143768
0.282069,400,48.276391
-0.12547,400,48.904831
-0.51405,400,49.069969
-0.230016,400,49.257979
0.262786,400,49.459924
-0.394212,400,49.625102
-1.900495,400,50.336605
0.188773,400,50.515998
-1.87926,400,50.662114
