#{"t_start": 1754400824.7820642, "env_id": "None"}
r,l,t
10.492087,81,7.985406
0.335678,400,8.180243
0.036633,400,8.381702
10.369253,114,8.447548
0.361499,400,8.666796
10.718622,117,15.990557
10.530533,84,16.02269
0.198764,400,16.214809
-0.760671,400,16.390244
0.363791,400,16.559799
10.650887,82,23.584599
10.574832,122,23.635427
-0.666106,400,23.794997
10.758877,130,23.848571
0.481977,400,24.014875
-0.704827,400,30.97585
-0.775483,400,31.170013
0.418196,400,31.337396
10.287331,92,31.373764
10.170907,101,31.414014
0.409026,400,38.441476
10.385746,82,38.475268
10.714491,117,38.524618
-0.161846,400,38.694532
10.622087,100,38.734703
0.397881,400,45.993616
10.31537,93,46.030617
10.346564,82,46.062635
10.386099,115,46.108937
10.130125,78,46.139617
10.615321,88,54.115399
0.49929,400,54.293773
10.398598,77,54.332983
0.401234,400,54.525302
0.412889,400,54.69234
10.298022,83,62.397209
-0.409247,400,62.573267
10.322054,129,62.627385
0.011354,400,62.791045
0.094301,400,62.957416
10.493062,79,69.36473
-0.602726,400,69.529606
10.716886,79,69.563997
0.585111,400,69.731355
10.735218,130,69.78417
10.392867,81,76.638515
-1.090213,400,76.806221
0.56418,400,76.971933
0.244492,400,77.13687
0.036153,400,77.301877
0.405346,400,84.169369
10.28983,142,84.236997
10.236761,85,84.273544
10.435485,72,84.301065
-0.771013,400,84.462659
10.477569,83,91.221195
-0.998764,400,91.385007
0.398502,400,91.549757
-0.979469,400,91.710785
0.425698,400,91.878415
10.375861,230,98.764628
10.5715,75,98.794761
10.724202,77,98.826876
10.802635,155,98.893877
0.443558,400,99.056742
10.879837,81,105.81666
-0.58865,400,105.984437
-0.976299,400,106.146211
-0.176523,400,106.326241
0.399555,400,106.499447
0.114933,400,113.393771
0.104566,400,113.557678
-0.407463,400,113.744652
-0.853216,400,113.910817
10.775229,80,113.943549
-0.147103,400,120.788642
10.480413,43,120.805278
-0.328888,400,120.975566
-0.716708,400,121.153383
10.44906,69,121.183092
10.236676,75,129.186167
10.583885,71,129.231011
10.822145,81,129.281806
10.888149,236,129.447103
-1.03819,400,129.684727
10.504191,42,137.191766
10.878901,173,137.264103
0.38207,400,137.421926
0.197861,400,137.601762
10.608715,110,137.645517
10.821753,78,144.870761
-0.995092,400,145.032871
11.072241,89,145.067252
0.173995,400,145.227938
10.786751,77,145.258123
-0.04399,400,152.758653
-0.088098,400,152.937897
0.372828,400,153.110729
10.263436,39,153.127008
-1.094975,400,153.298668
-0.144203,400,160.947918
-0.91723,400,161.129143
-0.459568,400,161.302108
-1.278848,400,161.481816
0.065904,400,161.667516
10.383,40,169.041788
10.221686,322,169.187033
0.387378,400,169.379426
0.423261,400,169.558746
0.115246,400,169.733378
10.569384,44,177.193302
-0.651636,400,177.363055
-0.774978,400,177.537969
0.427267,400,177.715824
0.458112,400,177.894983
10.577727,72,185.313962
10.730828,132,185.370447
10.529868,69,185.41373
-0.377719,400,185.623752
10.030986,353,185.7796

0.041716,400,25.640386
10.839659,145,25.703999
0.0488,400,26.276936
0.45994,400,26.462899
10.751132,122,26.518688
10.329488,169,26.596167
0.058449,400,26.803934
-0.25157,400,26.985475
-0.064097,400,27.57022
-0.073575,400,27.771316
-0.71752,400,27.971125
0.42804,400,28.153556
10.204954,102,28.201429
0.159672,400,28.382173
10.118891,73,28.417101
-0.825755,400,29.062809
0.421771,400,29.248776
10.436518,81,29.285697
-0.525245,400,29.470102
-0.635283,400,29.658554
10.640958,102,29.703086
10.337992,43,29.723278
10.674865,108,29.775041
-0.707845,400,30.378641
-0.351343,400,30.576576
-0.054468,400,30.765767
-0.78562,400,31.572981
10.389727,48,31.595125
0.448161,400,31.78533
10.745107,148,31.864656
10.751239,119,32.308926
10.978764,92,32.351776
10.336177,71,32.387795
0.308687,400,32.580317
-0.39633,400,32.7754
-0.774853,400,32.967601
10.222776,82,33.006107
10.273014,151,33.080798
0.516163,400,33.2708
0.414419,400,33.88612
-0.700189,400,34.069466
0.400747,400,34.256516
10.646489,105,34.304985
10.826311,143,34.375255
-0.014621,400,34.576583
10.412852,110,34.628133
0.646996,400,35.206701
10.401463,225,35.316653
10.736383,80,35.352643
0.399575,400,35.550606
10.691382,120,35.603969
0.595773,400,35.784821
10.496744,104,35.833761
0.025664,400,36.019286
0.409467,400,36.607025
0.551554,400,36.7999
10.778451,222,36.900759
0.378519,400,37.089379
10.74687,241,37.199866
10.715322,124,37.258249
-0.412816,400,37.90936
10.388242,42,37.931716
0.060451,400,38.160242
0.175154,400,38.82629
10.391192,103,38.894513
-0.167118,400,39.121628
10.238247,98,39.169902
10.384915,155,39.241274
0.232856,400,39.841683
-0.914571,400,40.063403
10.363285,42,40.081818
0.102125,400,40.264794
-0.486586,400,40.45213
-0.244981,400,40.636782
-0.048898,400,41.200948
0.411626,400,41.404647
10.346522,139,41.46949
10.465245,49,41.491898
10.739219,135,41.550735
10.812201,174,41.628244
10.630004,116,41.681596
10.73562,133,41.739448
10.192416,88,41.777457
10.223273,74,41.810221
10.430969,46,41.830105
10.729452,142,41.894477
10.733254,120,41.946624
-1.020752,400,42.537022
-0.970781,400,42.798478
10.508735,73,42.832106
10.431649,155,42.910803
-0.431811,400,43.118312
0.434259,400,43.344672
10.771343,148,43.416334
10.813199,93,43.464942
10.609314,88,43.509213
0.513998,400,44.168452
10.262895,109,44.227365
10.455757,72,44.264717
0.053943,400,44.478822
10.726219,132,44.545687
0.408413,400,44.731972
0.467089,400,44.933488
10.890976,154,45.006743
10.29644,41,45.025467
10.725763,128,45.08701
10.489502,46,45.108721
-0.755267,400,45.733562
-0.661584,400,46.246815
0.399048,400,46.438725
-0.104471,400,46.677249
10.628777,102,46.731695
-0.766596,400,47.503456
10.655893,106,47.579552
10.837528,192,47.719329
-0.849946,400,47.96309
0.59239,400,48.170626
0.187007,400,48.384329
-0.66333,400,48.586184
11.076818,98,48.635724
-0.580464,400,49.358855
10.652485,82,49.397325
10.468083,87,49.43994
-0.66121,400,49.639189
-0.402216,400,49.848116
10.569102,45,49.873615
0.049433,400,50.079962
-0.041821,400,50.804109
11.02215,95,50.863
-0.732568,400,51.091064
10.752586,177,51.180832
0.413782,400,51.391991
0.153428,400,51.600791
10.526635,69,51.634964
0.39651,400,52.413602
10.591241,82,52.460832
0.271724,400,52.687402
0.486339,400,52.900006
10.26321,116,52.960557
10.355613,76,52.996755
0.003509,400,53.202731
10.405576,43,53.223777
10.712729,143,53.311521
0.422981,400,53.928389
10.596855,82,53.972587
10.5264,104,54.029653
