#{"t_start": 1754393857.9202664, "env_id": "None"}
r,l,t
0.088244,400,7.610086
-0.104843,400,7.786818
0.251819,400,7.975961
0.052995,400,8.155136
0.588238,400,8.378653
0.162895,400,16.074328
-0.014128,400,16.248366
0.519081,400,16.421804
0.004291,400,16.596019
10.276981,183,16.673579
0.431901,400,24.105278
0.321238,400,24.283253
0.147523,400,24.465705
0.49685,400,24.641449
-0.116292,400,24.833799
0.149961,400,32.230643
0.137182,400,32.403671
0.551999,400,32.580626
-0.509367,400,32.772604
-0.79559,400,32.950721
-0.194261,400,40.437603
0.515778,400,40.627944
-0.34206,400,40.803183
-0.039307,400,40.983
0.384209,400,41.160575
-0.216029,400,48.567795
-0.376897,400,48.74419
-0.150157,400,48.930306
0.226175,400,49.107923
0.492798,400,49.293293
-0.051618,400,57.192929
-0.574459,400,57.367257
0.36491,400,57.541728
0.117216,400,57.720082
0.499395,400,57.895349
0.595134,400,65.666547
0.160589,400,65.838779
0.147755,400,66.034131
0.365695,400,66.234708
-0.373694,400,66.412959
0.069033,400,74.322247
0.341121,400,74.520853
0.084852,400,74.718391
0.358466,400,74.935106
0.066334,400,75.128844
0.536463,400,82.707958
0.396933,400,82.879664
10.300063,373,83.045274
0.137677,400,83.21461
0.574451,400,83.387208
0.361351,400,90.974998
10.173128,188,91.057028
0.514024,400,91.231702
0.488447,400,91.413878
0.558475,400,91.610068
0.437707,400,100.029064
0.535523,400,100.210025
-0.066778,400,100.406139
0.496441,400,100.578375
-0.073628,400,100.749893
0.500426,400,108.486549
0.492224,400,108.669889
10.589781,223,108.770817
0.397291,400,108.958169
0.012114,400,109.162247
0.518852,400,116.845947
0.536913,400,117.044272
0.520832,400,117.225522
0.553,400,117.393786
0.569122,400,117.571405
-0.325547,400,125.582051
10.468448,161,125.657505
0.048492,400,125.865151
0.095813,400,126.057006
0.095168,400,126.244799
0.024528,400,133.734605
0.435719,400,133.90651
-0.959866,400,134.082571
10.544457,156,134.146853
0.265475,400,134.317468
0.451977,400,141.7095
0.619056,400,141.883958
10.251757,101,141.929773
10.702376,264,142.047394
0.562547,400,142.236395
0.602919,400,149.325545
10.274665,108,149.376542
0.445034,400,149.570206
10.248682,107,149.616821
0.501863,400,149.798282
0.004663,400,158.089796
-0.512557,400,158.287724
10.842826,382,158.465541
0.547681,400,158.663322
0.08114,400,158.858842
10.217626,109,166.674823
0.257119,400,166.868055
0.573428,400,167.065105
-0.252751,400,167.243843
10.879581,357,167.402662
0.264854,400,174.842328
0.527671,400,175.018287
0.12156,400,175.191536
0.1045,400,175.367985
0.615232,400,175.542281
-1.185288,400,183.064524
0.146364,400,183.238214
0.519336,400,183.416764
0.558714,400,183.596426
0.439278,400,183.780982
-0.963824,400,191.466894
0.154521,400,191.670624
0.536614,400,191.868535
-0.72322,400,192.054141
0.516321,400,192.243944
-0.688021,400,200.584054
0.379198,400,200.756189
-0.577584,400,200.924418
0.232695,400,201.083725
-0.531742,400,201.267038
0.536019,400,208.904181
-0.195204,400,209.078276
0.388066,400,209.242307
-1.133607,400,209.406926
0.320648,400,209.567892
-0.106152,400,216.30499
-0.147841,400,216.504609
0.550305,400,216.737521
-1.083716,400,216.982982
0.139993,400,217.198427
-0.659898,400,224.857221
-0.878728,400,225.031395
0.256758,400,225.23348
0.067321,400,225.416282
0.157946,400,225.615845
0.490002,400,233.068403
0.548768,400,233.242767
0.572545,400,233.436833
-1.555531,400,233.608162
-0.684141,400,233.775632
6651,400,46.063796
0.263835,400,46.6826
10.244528,71,46.732579
-0.380993,400,46.934387
-0.728442,400,47.151683
-0.038298,400,47.35173
0.416765,400,47.544518
0.201373,400,48.187564
-0.308797,400,48.399095
-0.315941,400,49.516702
0.373545,400,49.713237
0.246636,400,49.915304
0.361477,400,50.570189
0.340412,400,50.799224
-0.22342,400,51.000977
-0.015941,400,51.200226
0.306536,400,51.410523
0.290717,400,52.163377
-0.559446,400,52.375741
0.176396,400,52.570709
0.021387,400,52.794037
0.11556,400,52.990125
-0.182313,400,53.777668
0.327822,400,53.995761
0.147078,400,54.1945
-0.268689,400,54.41107
0.375771,400,54.621031
0.06903,400,54.812464
-0.181775,400,55.507242
-0.104036,400,55.707142
-0.153678,400,55.910997
-0.036112,400,56.12193
-0.504079,400,56.32929
-0.683605,400,56.994242
-0.210897,400,58.119644
-0.125887,400,58.350326
0.291374,400,58.566049
-0.162467,400,58.747437
0.152866,400,59.451478
-0.26712,400,59.679445
0.279063,400,59.884671
0.39335,400,60.095893
0.335984,400,60.306464
0.262072,400,60.966334
0.004115,400,61.181999
-0.113028,400,61.388156
-0.486007,400,61.60279
-0.780578,400,61.790053
0.423295,400,62.463088
-0.556409,400,62.703083
-0.642087,400,62.899804
-0.586936,400,63.105849
-0.050588,400,63.328923
0.417965,400,63.973646
-0.185719,400,64.183018
-0.645891,400,64.38732
-0.187806,400,64.598429
-0.067941,400,64.809262
10.346388,73,64.853405
-0.348761,400,66.462403
0.251816,400,66.668472
-0.205447,400,66.865573
0.386001,400,67.079428
0.288002,400,67.268764
-0.106882,400,67.928044
-0.179835,400,68.147627
-0.076103,400,68.351934
-0.3153,400,68.548367
0.080104,400,68.753865
0.018525,400,69.520813
-0.287806,400,69.741571
0.486077,400,69.967004
0.26794,400,70.19389
-0.326711,400,70.441799
0.350061,400,71.247657
-0.200961,400,71.542461
-0.21957,400,71.753315
0.415218,400,71.971304
-0.629396,400,72.196162
0.204457,400,72.398393
0.058182,400,73.295845
-0.284359,400,73.510871
0.400353,400,73.737467
10.457084,82,73.793533
-0.22807,400,73.99552
-0.24235,400,75.791653
0.426761,400,76.07219
9.962578,400,76.280921
-0.155773,400,76.472955
-0.089298,400,76.663847
0.155202,400,76.854811
0.180185,400,77.504507
0.124355,400,77.706131
-0.133715,400,77.904263
-0.112235,400,78.092862
0.061467,400,78.301677
-0.170798,400,78.930962
0.473968,400,79.127919
0.430055,400,79.339229
0.172034,400,79.535339
-0.304101,400,79.730608
0.247842,400,80.351674
0.491759,400,80.563066
-0.08075,400,80.751605
10.235102,270,80.881991
0.173244,400,81.075365
0.057003,400,81.725089
0.253028,400,81.932038
0.433758,400,82.13284
10.230839,257,82.257224
0.027651,400,82.450303
0.106104,400,83.53918
0.450744,400,84.145485
0.439741,400,84.34626
0.076396,400,84.543686
0.466852,400,84.739656
-0.223255,400,84.94154
-0.427842,400,85.564266
0.20758,400,85.767057
10.306224,129,85.828962
0.466791,400,86.041818
10.215217,161,86.127107
0.419478,400,86.330023
0.339139,400,86.972646
0.497068,400,87.18704
0.196651,400,87.38984
-0.01567,400,87.580396
-0.117631,400,87.763448
10.450892,93,87.810967
10.056532,283,88.390752
0.367247,400,88.608342
0.452425,400,88.802414
0.067567,400,88.995596
-0.234731,400,89.19138
-0.155266,400,89.409949
9.967465,400,90.219242
0.076701,400,90.472993
-0.069909,400,90.677842
0.388196,400,91.696934
0.310173,400,91.893843
0.341532,400,92.581236
0.352174,400,92.788958
0.345258,400,92.980971
0.363597,400,93.183642
-0.682098,400,93.39344
-0.0319,400,94.072099
-0.312461,400,94.271853
0.420966,400,94.47758
0.119461,400,94.69637
0.028025,400,94.931299
0.053362,400,95.633741
0.334895,400,95.836008
-1.00178,400,96.063871
10.391548,98,96.124522
0.385182,400,96.365602
0.297573,400,96.599617
-0.502083,400,97.517257
-1.150128,400,97.718049
0.344394,400,97.914651
-0.198167,400,98.141507
-0.494178,400,98.371789
0.36648,400,99.186041
-0.862955,400,99.513608
0.249942,400,99.752245
-0.305621,400,100.879493
-0.533541,400,101.076207
0.35918,400,101.755939
10.430237,333,101.930735
0.0748,400,102.125704
0.069071,400,102.326678
0.410081,400,102.535162
0.197859,400,103.185911
0.247058,400,103.415045
-1.308122,400,103.614467
0.110585,400,103.829569
0.366352,400,104.025732
-0.255056,400,104.651369
10.405862,371,104.864693
0.249247,400,105.068547
0.375239,400,105.276394
0.43903,400,105.478633
10.603976,249,105.601424
-0.413739,400,106.246923
-1.201333,400,106.476868
0.146691,400,106.674974
0.402463,400,106.878557
10.081204,45,106.90208
0.431221,400,107.122776
0.401149,400,107.845354
-0.937564,400,108.083622
-0.284765,400,109.190838
0.08815,400,109.44916
-0.048641,400,109.709994
0.230273,400,110.426386
-0.877123,400,110.634052
